S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-57 LILO,3W,T,DC,26,54 A -57 LILO,,0.9,27,"6°28'7"" ",13.00936111,80.08577778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08577777777778 13.009361111111112, 80.08697222222222 13.011194444444444)"
2,T.NO-53,,S,DA,26,57 LILO - 53,242.14252,1.9,27,,13.01119444,80.08697222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08697222222222 13.011194444444444, 80.08858333333333 13.013694444444445)"
3,T.NO-52,,S,DA,26,53-52,326.4980858,,27,,13.01369444,80.08858333,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08858333333333 13.013694444444445, 80.09016666666666 13.01613888888889)"
4,T.NO-51,,S,DA,26,52-51,319.5950563,,26,,13.01613889,80.09016667,GOOD,GOOD,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09016666666666 13.01613888888889, 80.09172222222222 13.018583333333334)"
5,T.NO-50,,S,DA,26,51-50,320.9750769,,27,,13.01858333,80.09172222,GOOD,GOOD,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09172222222222 13.018583333333334, 80.09316666666666 13.020861111111111)"
6,T.NO-49,,T,DC,32,50-49,294.1513216,2.9,28,,13.02086111,80.09316667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09316666666666 13.020861111111111, 80.09386111111111 13.021972222222223)"
7,T.NO-48,,T,DC,32,49-48,144.8033149,3.4,27,,13.02197222,80.09386111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09386111111111 13.021972222222223, 80.0948611111111 13.023527777777778)"
8,T.NO-47,,S,DA,26,48-47,202.7856011,2.07,31,,13.02352778,80.09486111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0948611111111 13.023527777777778, 80.09636111111111 13.025916666666667)"
9,T.NO-46,,S,DA,26,47-46,311.1173412,,31,,13.02591667,80.09636111,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09636111111111 13.025916666666667, 80.09788888888889 13.02827777777778)"
10,T.NO-45,,T,DC,26,46-45,307.0928198,,31,"22°29'36"" ",13.02827778,80.09788889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09788888888889 13.02827777777778, 80.10024999999999 13.02988888888889)"
11,T.NO-44,,S,DA,26,45-44,313.7658363,,31,,13.02988889,80.10025,GOOD,GOOD,11KV-1,TAR ROAD-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10024999999999 13.02988888888889, 80.10252777777777 13.031500000000001)"
12,T.NO-43,,S,DA,26,44-43,304.3451987,,23,,13.0315,80.10252778,GOOD,GOOD,"11KV-4,LT-3",TAR ROAD-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10252777777777 13.031500000000001, 80.1048611111111 13.033166666666668)"
13,T.NO-42 TAPPING,3W,S,DA,26,43-42,312.2466973,3.9,23,,13.03316667,80.10486111,GOOD,GOOD,"11KV-1,LT-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1048611111111 13.033166666666668, 80.10722222222222 13.034777777777778)"
14,T.NO-41,,S,DA,26,42-41,312.6227759,,27,,13.03477778,80.10722222,GOOD,GOOD,11KV-3,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10722222222222 13.034777777777778, 80.10972222222222 13.0365)"
15,T.NO-40,,S,DA,26,41-40,331.7890896,,27,,13.0365,80.10972222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10972222222222 13.0365, 80.11230555555555 13.038277777777777)"
16,T.NO-39,,S,DA,26,40-39,340.9648076,,25,,13.03827778,80.11230556,GOOD,GOOD,"110KV-1 XING BELOW,11KV-1",TAR ROAD-1,PLAIN,INSIDE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11230555555555 13.038277777777777, 80.11455555555555 13.039916666666667)"
17,T.NO-38,,S,DA,26,39-38,305.0409809,,25,,13.03991667,80.11455556,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11455555555555 13.039916666666667, 80.11697222222222 13.041555555555556)"
18,T.NO-37,,T,DC,26,38-37,320.4028714,,26,"33°5'3"" ",13.04155556,80.11697222,GOOD,GOOD,"11KV-1,LT-1",,PLAIN,INSIDE COMPOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11697222222222 13.041555555555556, 80.11813888888888 13.04438888888889)"
19,T.NO-36,,T,DC,26,37-36,337.7839546,5.01,25,,13.04438889,80.11813889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11813888888888 13.04438888888889, 80.11925 13.047)"
20,T.NO-35,,T,DC,26,36-35,310.5430727,,28,"1°26'23"" ",13.047,80.11925,GOOD,GOOD,11KV-1,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11925 13.047, 80.12052777777777 13.050194444444445)"
21,T.NO-34,2W,T,DC,26,35-34,379.3810749,,24,,13.05019444,80.12052778,GOOD,EARTH WIRE JOINT,11KV-1,TAR ROAD-1,PLAIN,INSIDE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12052777777777 13.050194444444445, 80.12163888888888 13.053027777777778)"
