S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,TN - 10,T,DC,28,"=CONCATENATE(B15,"" : "",B16)",277.620402751513,7.2,28,22°45'39''RT,13.1568302493542,80.1348782423883,,,,,GOOD,AVAILABLE,11KV -4N,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1348782423883 13.1568302493542, 80.1355316955596 13.1546536367386)"
12,TN - 11,S,DC,28,"=CONCATENATE(B16,"" : "",B17)",253.93473043879627,7.62,26,,13.1546536367386,80.1355316955596,,,,,GOOD,AVAILABLE,11KV -2N,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1355316955596 13.1546536367386, 80.1363387051969 13.152014426887)"
13,TN - 12,S,DC,28,"=CONCATENATE(B17,"" : "",B18)",307.71905035253496,-,26,,13.152014426887,80.1363387051969,,,,,RUSTED,AVAILABLE,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1363387051969 13.152014426887, 80.1369815133512 13.1498689111322)"
14,TN - 13,S,DC,28,"=CONCATENATE(B18,"" : "",B19)",250.30986623966865,-,26,,13.1498689111322,80.1369815133512,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1369815133512 13.1498689111322, 80.1374691724777 13.1483226176351)"
15,TN - 14,T,DC,28,"=CONCATENATE(B19,"" : "",B20)",182.0010639560474,-,26,29°32'32''RT,13.1483226176351,80.1374691724777,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1374691724777 13.1483226176351, 80.139240855351 13.14667314291)"
16,TN - 15,S,DC,28,"=CONCATENATE(B20,"" : "",B21)",267.87111019005886,-,26,,13.14667314291,80.139240855351,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.139240855351 13.14667314291, 80.1408775057643 13.1451549287885)"
17,TN - 16,S,DC,28,"=CONCATENATE(B21,"" : "",B22)",247.2623222934129,-,26,,13.1451549287885,80.1408775057643,,,,,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1408775057643 13.1451549287885, 80.142713394016 13.1434565037488)"
18,TN - 17,S,DC,28,"=CONCATENATE(B22,"" : "",B23)",276.6482600525422,-,26,,13.1434565037488,80.142713394016,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.142713394016 13.1434565037488, 80.1446009986102 13.1416955497115)"
19,TN - 18,T,DC,28,"=CONCATENATE(B23,"" : "",B24)",285.47508312379983,-,26,16°32'37''LT,13.1416955497115,80.1446009986102,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1446009986102 13.1416955497115, 80.1455111056566 13.1401470769196)"
20,TN - 19,T,DC,28,"=CONCATENATE(B24,"" : "",B25)",200.6393391079612,-,26,6°54'10''LT,13.1401470769196,80.1455111056566,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1455111056566 13.1401470769196, 80.1462288480252 13.1384996976703)"
21,LILO : 20,T,DC,28,"=CONCATENATE(B25,"" : "",B26)",201.1132116892438,-,26,85°32'37''LT,13.1384996976703,80.1462288480252,2W,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1462288480252 13.1384996976703, 80.144231 13.137753)"
22,TN - 15,S,SC,26,"=CONCATENATE(B26,"" : "",B27)",232,-,26,,13.137753,80.144231,,,,,RUSTED,OPGW,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.144231 13.137753, 80.14256 13.13712)"
23,TN - 14,S,SC,26,"=CONCATENATE(B27,"" : "",B28)",198,-,28,,13.13712,80.14256,,,,,RUSTED,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14256 13.13712, 80.140328 13.136286)"
24,TN - 13,T,SC,27,"=CONCATENATE(B28,"" : "",B29)",265,7.6,31,,13.136286,80.140328,3W,,,,RUSTED,OPGW,,,PLAIN,JOINT BOX IS AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
