S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 126 LILO PONNIMANGADU ,3W,T,DC,26,,,,79,,79.62069444,13.17761111,GOOD,GOOD,,,PLAIN,PONNIMANGADU LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62069444444444 13.17761111111111, 79.62194444444444 13.176694444444443)"
2,T.NO 125,,T,DB,24,126-125,169.6001186,6.85,86,"17°21'23""",79.62194444,13.17669444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62194444444444 13.176694444444443, 79.62469444444444 13.175777777777776)"
3,T.NO 124,,S,DA,26,125-124,317.5706872,4.05,79,,79.62469444,13.17577778,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62469444444444 13.175777777777776, 79.62694444444443 13.174999999999999)"
4,T.NO 123,,T,DB,24,124-123,258.1633722,3..95,79,"0°19'8""",79.62694444,13.175,GOOD,GOOD,LT1,"ROAD1,SEWAGE WATER LOCKED",WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62694444444443 13.174999999999999, 79.62966666666667 13.174083333333332)"
5,T.NO 122,,T,DC,26,123-122,315.3533044,6.16,78,"18°9'5""",79.62966667,13.17408333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62966666666667 13.174083333333332, 79.63266666666667 13.174027777777777)"
6,T.NO 121,,S,DA,26,122-121,325.1249759,3.35,77,,79.63266667,13.17402778,GOOD,GOOD,LT2,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63266666666667 13.174027777777777, 79.63402777777779 13.174027777777777)"
7,T.NO 120/1 LILO THIRUVALLUR,2W,T,DD,28,121-1,147.0034246,2.83,75,"99°37'40""",79.63402778,13.17402778,GOOD,GOOD,,,CULTIVACTION,THIRUVALLUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63402777777779 13.174027777777777, 79.63380555555557 13.175277777777778)"
8,T.NO 2,,T,DC,26,01-Feb,140.5886815,2.83,77,"19°34'22""",79.63380556,13.17527778,GOOD,GOOD,,CANAL1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63380555555557 13.175277777777778, 79.63313888888888 13.176499999999999)"
9,T.NO 3,,T,DD,28,02-Mar,155.3534904,3.22,76,"52°5'54""",79.63313889,13.1765,GOOD,GOOD,,CANAL1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63313888888888 13.176499999999999, 79.634 13.178472222222222)"
10,T.NO 4,,S,DA,26,03-Apr,239.2015953,5.48,78,,79.634,13.17847222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.634 13.178472222222222, 79.6348888888889 13.180499999999999)"
11,T.NO 5,,S,DA,26,04-May,244.1830586,4.17,78,,79.63488889,13.1805,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6348888888889 13.180499999999999, 79.63577777777779 13.182416666666667)"
12,T.NO 6,,T,DD,28,05-Jun,233.7230113,3.45,78,"31°36'41""",79.63577778,13.18241667,GOOD,GOOD,,MUD ROAD1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63577777777779 13.182416666666667, 79.6353888888889 13.185027777777778)"
13,T.NO 7,,T,DB,24,06-Jul,290.6377047,4.89,74,"12°3'16""",79.63538889,13.18502778,GOOD,GOOD,LT2,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6353888888889 13.185027777777778, 79.63452777777779 13.18725)"
14,T.NO 8,,S,DA,26,07-Aug,267.1522121,2.17,77,,79.63452778,13.18725,GOOD,GOOD,,TAAR ROAD,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63452777777779 13.18725, 79.63372222222223 13.189416666666666)"
15,T.NO 9,,S,DA,26,08-Sep,253.3885893,3.17,77,,79.63372222,13.18941667,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63372222222223 13.189416666666666, 79.63316666666665 13.190888888888889)"
16,T.NO 10,,S,DA,26,09-Oct,176.2312757,4.57,76,,79.63316667,13.19088889,GOOD,GOOD,"HT1,LT1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63316666666665 13.190888888888889, 79.63247222222222 13.19288888888889)"
17,T.NO 11,,S,DA,26,10-Nov,233.1120419,4.17,80,,79.63247222,13.19288889,GOOD,GOOD,"HT1,LT1",ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63247222222222 13.19288888888889, 79.63169444444443 13.194944444444445)"
18,T.NO 12,,S,DA,26,11-Dec,243.3922441,2.25,77,,79.63169444,13.19494444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63169444444443 13.194944444444445, 79.63091666666666 13.197027777777778)"
19,T.NO 13,2W,T,DC,26,Dec-13,247.4000812,3.02,77,"28°1'14""",79.63091667,13.19702778,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63091666666666 13.197027777777778, 79.63122222222222 13.199416666666666)"
20,T.NO 14,,S,DA,26,13-14,266.452444,3.5,77,,79.63122222,13.19941667,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63122222222222 13.199416666666666, 79.6316111111111 13.202166666666667)"
