S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,MR Puram Gantry,2W,,Gantry,15,-,-,-,216,,13.00348611,79.28888611,GOOD,-,-,-,Plain,No Peak Available On Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28888611111111 13.003486111111112, 79.28889444444444 13.003269444444445)"
2,1,,Tension,SD+0,28,4-5,32,3.8,212,"103° 34’1.27""LT",13.00326944,79.28889444,GOOD,NO E/W,-,"Road, Canal",Plain,LILO Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28889444444444 13.003269444444445, 79.2902388888889 13.00375)"
3,2,,Tension,SB+0,24,5-6,157,3.2,212,0°53’56.01”LT,13.00375,79.29023889,GOOD,GOOD,"Four HT, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2902388888889 13.00375, 79.2929861111111 13.004780555555556)"
4,3,,Suspension,SA+0,26,6-7,323,1.2,213,,13.00478056,79.29298611,GOOD,GOOD,"LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2929861111111 13.004780555555556, 79.29575555555556 13.005836111111112)"
5,4,,Suspension,SA+0,26,7-8,327,2.1,213,,13.00583611,79.29575556,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29575555555556 13.005836111111112, 79.29856944444444 13.006877777777778)"
6,5,,Suspension,SA+0,26,8-9,327,3.5,218,,13.00687778,79.29856944,GOOD,GOOD,Two LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29856944444444 13.006877777777778, 79.30116944444444 13.007852777777778)"
7,6,,Tension,SD+9,37,9-10,310,2.7,218,0°10’26.67”LT,13.00785278,79.30116944,GOOD,GOOD,HT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30116944444444 13.007852777777778, 79.30405833333333 13.008938888888888)"
8,7,,Tension,SD+9,37,10-11,337,0.3,218,0°48’9.83”RT,13.00893889,79.30405833,GOOD,GOOD,Eight LT,"State Highway, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30405833333333 13.008938888888888, 79.30664999999999 13.009866666666667)"
9,8,,Tension,SB+0,24,11-12,306,5,226,0°28’35.21”LT,13.00986667,79.30665,GOOD,GOOD,"HT, LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30664999999999 13.009866666666667, 79.30918888888888 13.010825)"
10,9,,Suspension,SA+0,26,12-13,297,2.6,232,,13.010825,79.30918889,GOOD,GOOD,"LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30918888888888 13.010825, 79.31184722222221 13.011808333333333)"
