S.No ,Tower No,Tower Type  (T/S),Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,SPAN LENGTH ,Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 230KV T.V.MALAI SS,T,GT,GT,20,,,,,12.20565,79.03841,GOOD,MISSING,,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03841 12.20565, 79.038412 12.20565)"
2,T.NO 1,T,KCR Special X arm ,DD,28,GT-1,50,204,"82°27'54""",12.20565,79.038412,GOOD,GOOD,HT 1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.038412 12.20565, 79.039692 12.208462)"
3,T.NO 2,T,KCR Special X arm ,DD,28,1-2,90,203,"49°45'59""",12.208462,79.039692,GOOD,GOOD,HT 1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.039692 12.208462, 79.03967 12.208465)"
4,T.NO 3,T,HCR,DB,26,2-3,255,201,"82°27'54""",12.208465,79.03967,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03967 12.208465, 79.03989 12.208487)"
5,T.NO 4,T,HCR,DB,26,3-4,270,198,"20°24'17""",12.208487,79.03989,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03989 12.208487, 79.033953 12.204248)"
6,T.NO 5,T,HCR +3,DB,=26+3,4-5,200,197,"82°27'54""",12.204248,79.033953,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.033953 12.204248, 79.031705 12.203919)"
7,T.NO 6,T,HCR +3,DB,=26+3,5-6,250,195,"6°13'3""",12.203919,79.031705,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.031705 12.203919, 79.031704 12.203919)"
8,T.NO 7,S,GCR,DA,26,6-7,300,199,,12.203919,79.031704,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.031704 12.203919, 78.94408643 12.2243288)"
9,T.NO 8,T,KCR ,DC,26,7-8,270,185,"39°55'58""",12.203771,79.027677,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94408643 12.2243288, 79.02365 12.203623)"
10,T.NO 9,S,GCR,DA,26,8-9,290,187,"0°25'43""",12.203623,79.02365,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02365 12.203623, 79.022407 12.20463)"
11,T.NO 10,T,KCR,DC,26,9-10,270,201,"82°27'54""",12.204297,79.022268,GOOD,GOOD,"LT 2 , HT 1 ",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.022407 12.20463, 79.020822 12.20592)"
12,T.NO 11,T,DP1,DC,5,10-11,30,198,"28°23'7""",12.204971,79.020885,GOOD,GOOD,,,PLAIN,110KV TV MALAI - VINNANOOR- VELUPURAM LINE CROSSING BELOW OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.020822 12.20592, 78.943312 12.196756)"
13,T.NO 12,T,DP2,DC,5,11-12,30,197,"82°27'54""",12.205645,79.019503,GOOD,GOOD,,,PLAIN,110KV TV MALAI - VINNANOOR- VELUPURAM LINE CROSSING BELOW OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.943312 12.196756, 79.060647 12.263587)"
14,T.NO 13,T,KCR,DC,26,12-13,30,195,"15°9'34""",12.206319,79.018121,GOOD,GOOD,,,PLAIN,110KV TV MALAI - VINNANOOR- VELUPURAM LINE CROSSING BELOW OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.060647 12.263587, 79.06067 12.26358)"
15,T.NO 14,T,HCR,DB,26,13-14,175,199,"30°19'58""",12.206993,79.016738,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06067 12.26358, 79.015356 12.207667)"
16,T.NO 15,S,GCR,DA,26,14-15,230,185,,12.207667,79.015356,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.015356 12.207667, 79.013606 12.208138)"
17,T.NO 16,T,HCR,DB,26,15-16,240,195,"53°0'2""",12.208138,79.013606,GOOD,GOOD,"LT 2, HT 1",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.013606 12.208138, 79.01367 12.20815)"
18,T.NO 17,S,GCR,DA,26,16-17,270,198,"80°53'34""",12.20815,79.01367,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01367 12.20815, 79.060647 12.263587)"
19,T.NO 18,S,GCR,DA,26,17-18,290,197,"6°59'49""",12.209630,79.010121,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.060647 12.263587, 79.006572 12.21111)"
20,T.NO 19,S,GCR,DA,26,18-19,270,201,,12.21111,79.006572,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.006572 12.21111, 79.005618 12.2220418)"
21,T.NO 20,T,HCR,DB,26,19-20,260,198,"82°27'54""",12.211804,79.004585,GOOD,GOOD,LT 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.005618 12.2220418, 79.002598 12.212497)"
22,T.NO 21,S,GCR,DA,26,20-21,260,197,,12.217574,79.004164,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.002598 12.212497, 79.00271 12.213106)"
23,T.NO 22,T,HCR,DB,26,21-22,200,195,"4°11'11""",12.213106,79.00271,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00271 12.213106, 79.818564 12.2350263)"
24,T.NO 23,S,GCR,DA,26,22-23,280,199,,12.214537,79.000152,GOOD,GOOD,LT 1 ,Mud Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.818564 12.2350263, 78.1997069 12.220447)"
25,T.NO 24,S,GCR,DA,26,23-24,280,185,,12.215968,78.997593,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1997069 12.220447, 78.19966 12.22044)"
26,T.NO 25,T,KCR,DC,26,24-25,240,204,"82°27'54""",12.217399,78.995035,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19966 12.22044, 78.992477 12.21883)"
27,T.NO 26,S,GCR +3,DA,=26+3,25-26,310,203,"12°33'50""",12.21883,78.992477,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.992477 12.21883, 78.991113 12.221372)"
28,T.NO 27,T,HCR,DB,26,26-27,310,201,"82°27'54""",12.221372,78.991113,GOOD,GOOD,LT 3 ,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.991113 12.221372, 79.171008 13.104201)"
29,T.NO 28,S,GCR,DA,26,27-28,330,198,,12.223349,78.989276,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.171008 13.104201, 80.2123 12.910842)"
30,T.NO 29,S,GCR,DA,26,28-29,270,197,"7°58'39""",12.225325,78.987438,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2123 12.910842, 78.985601 12.227302)"
31,T.NO 30,S,GCR,DA,26,29-30,290,195,,12.227302,78.985601,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.985601 12.227302, 78.983729 12.229105)"
32,T.NO 31,T,HCR,DB,26,30-31,290,204,"47°16'55""",12.229105,78.983729,GOOD,GOOD,LT 2,Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.983729 12.229105, 80.206524 12.904763)"
33,T.NO 32,T,KCR,DC,26,31-32,245,203,"27°55'15""",12.230853,78.983110,GOOD,GOOD,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.206524 12.904763, 78.982491 12.2326)"
34,T.NO 33,S,GCR,DA,26,32-33,220,201,,12.2326,78.982491,GOOD,GOOD,LT 1 ,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.982491 12.2326, 78.982551 12.235094)"
35,T.NO 34,S,GCR,DA,26,33-34,230,198,,12.235094,78.982551,GOOD,GOOD,LT 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.982551 12.235094, 78.982611 12.237495)"
36,T.NO 35,T,KCR,DC,26,34-35,280,197,"82°27'54""",12.237495,78.982611,GOOD,GOOD,LT 3 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.982611 12.237495, 78.984006 12.239851)"
37,T.NO 36,T,KCR,DC,26,35-36,290,195,"82°27'54""",12.239851,78.984006,GOOD,GOOD,LT 1 ,Lake,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.984006 12.239851, 79.71008 13.10104201)"
38,T.NO 37,S,GCR,DA,26,36-37,200,203,"6°37'21""",12.241568,78.983723,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71008 13.10104201, 78.983441 12.243285)"
39,T.NO 38,T,KCR,DC,26,37-38,190,201,"82°27'54""",12.243285,78.983441,GOOD,GOOD,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.983441 12.243285, 78.981738 12.244893)"
40,T.NO 39,T,HCR,DB,26,38-39,270,198,"49°45'59""",12.244893,78.981738,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.981738 12.244893, 80.2323 12.910842)"
41,T.NO 40,S,GCR +3,DA,=26+3,39-40,310,201,"15°48'30""",12.250075,78.980114,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2323 12.910842, 78.97849 12.255257)"
42,T.NO 41,S,GCR,DA,26,40-41,300,198,,12.248531,78.976992,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97849 12.255257, 78.97387 12.246986)"
43,T.NO 42,T,HCR,DB,26,41-42,270,197,"49°45'59""",12.251098,78.974857,GOOD,GOOD,LT 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97387 12.246986, 78.971225 12.246938)"
44,T.NO 43,S,GCR +3,DA,=26+3,42-43,310,195,"17°4'34""",12.246938,78.971225,GOOD,GOOD,"LT 2,HT 1",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.971225 12.246938, 78.968465 12.2466919)"
45,T.NO 44 ,T,KCR,DC,26,43-44,310,199,"57°2'24""",12.2466919,78.968465,GOOD,GOOD,LT 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.968465 12.2466919, 78.96695 12.248332)"
46,T.NO 45,T,KCR,DC,26,44-45,240,185,"4°27'11""",12.248332,78.96695,GOOD,GOOD,LT 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96695 12.248332, 78.964618 12.247787)"
47,T.NO 46,T,HCR,DB,26,45-46,245,203,"4°27'11""",12.247787,78.964618,GOOD,GOOD,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.964618 12.247787, 78.962312 12.246683)"
48,T.NO 47,S,GCR,DA,26,46-47,250,201,,12.246683,78.962312,GOOD,GOOD,,Mud Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.962312 12.246683, 79.060647 12.263587)"
49,T.NO 48,S,GCR,DA,26,47-48,280,198,,12.246680,78.960500,GOOD,GOOD,LT 2,Mud Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.060647 12.263587, 78.958689 12.246676)"
50,T.NO 49,T,HCR,DB,26,48-49,240,197,,12.246676,78.958689,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.958689 12.246676, 78.95563 12.24368)"
51,T.NO 50,S,GCR +3,DA,=26+3,49-50,310,195,,12.24368,78.95563,GOOD,GOOD,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95563 12.24368, 78.95032 12.242735)"
52,T.NO 51,T,HCR,DB,26,50-51,310,204,"4°27'11""",12.242735,78.95032,GOOD,GOOD,LT 4,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95032 12.242735, 78.950986 12.24089)"
53,T.NO 52,S,GCR +3,DA,=26+3,51-52,310,203,"9°29'59""",12.24089,78.950986,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.950986 12.24089, 78.9506 12.2409)"
54,T.NO 53,S,GCR +3,DA,=26+3,52-53,300,201,,12.2409,78.9506,GOOD,GOOD,LT 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9506 12.2409, 78.947057 12.237354)"
55,T.NO 54,T,KCR,DC,26,53-54,280,198,"4°27'11""",12.237354,78.947057,GOOD,GOOD,LT 1 ,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.947057 12.237354, 78.946451 12.23465)"
56,T.NO 55,S,GCR,DA,26,54-55,310,197,,12.23465,78.946451,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.946451 12.23465, 78.9459 12.232118)"
57,T.NO 56,S,GCR +3,DA,=26+3,55-56,290,195,,12.232118,78.9459,GOOD,GOOD,HT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9459 12.232118, 78.945434 12.229491)"
58,T.NO 57,T,HCR,DB,26,56-57,300,197,,12.229491,78.945434,GOOD,GOOD,HT 1 ,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.945434 12.229491, 79.606647 12.263587)"
59,T.NO 58,S,GCR,DA,26,57-58,280,195,,12.226909,78.944759,GOOD,GOOD,HT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.606647 12.263587, 78.944083 12.224326)"
60,T.NO 59,S,GCR,DA,26,58-59,300,204,,12.224326,78.944083,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.944083 12.224326, 78.943536 12.221796)"
61,T.NO 60,S,GCR,DA,26,59-60,290,203,,12.221796,78.943536,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.943536 12.221796, 78.968436 12.246916)"
62,T.NO 61,T,HCR ,DB,26,60-61,220,201,,12.219677,78.942908,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.968436 12.246916, 78.942281 12.217559)"
63,T.NO 62,T,HCR ,DB,26,61-62,265,198,,12.217559,78.942281,GOOD,GOOD,"LT 2 , HT 1 ",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.942281 12.217559, 78.9422 12.216235)"
64,T.NO 63,T,KCR+7.5,DC,=26+7.5,62-63,140,197,"4°27'11""",12.216235,78.9422,GOOD,GOOD,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9422 12.216235, 78.940785 12.215829)"
65,T.NO 64,T,KCR+7.5,DC,=26+7.5,63-64,165,195,,12.215829,78.940785,GOOD,GOOD,HT 1,,PLAIN,110KV VINNANOOR - THANDARAMPET  LINE CROSSING BELOW OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.940785 12.215829, 78.94025 12.210456)"
66,T.NO 65,T,HCR,DB,26,64-65,310,195,"6°11'48""",12.210456,78.94025,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94025 12.210456, 78.943312 12.196756)"
67,T.NO 66,S,GCR,DA,26,65-66,280,,,12.205296,78.941084,GOOD,GOOD,,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.943312 12.196756, 79.060647 12.263587)"
68,T.NO 67,S,GCR,DA,26,66-67,280,204,,12.200137,78.941918,GOOD,GOOD,HT 1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.060647 12.263587, 78.940524 12.203518)"
69,T.NO 68,S,GCR,DA,26,67-68,250,203,,12.203518,78.940524,GOOD,GOOD,,RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.940524 12.203518, 78.941541 12.20134)"
70,T.NO 69,T,HCR,DB,26,68-69,270,201,"57°2'24""",12.197448,78.942817,GOOD,GOOD,HT 1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.941541 12.20134, 78.945111 12.191378)"
71,T.NO 70,S,GCR,DA,26,69-70,240,198,,12.199023,78.942440,GOOD,GOOD,LT 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.945111 12.191378, 78.943338 12.196707)"
72,T.NO 71,T,HCR,DB,26,70-71,240,197,"6°11'48""",12.196707,78.943338,GOOD,GOOD,,RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.943338 12.196707, 78.944278 12.194048)"
73,T.NO 72,S,GCR,DA,26,71-72,300,195,,12.194048,78.944278,GOOD,GOOD,LT 2,RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.944278 12.194048, 78.94514 12.19142)"
74,T.NO 73,S,GCR +3,DA,=26+3,72-73,330,195,,12.19142,78.94514,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94514 12.19142, 78.94547 12.188424)"
75,T.NO 74,T,HCR,DB,26,73-74,315,195,"57°2'24""",12.188424,78.94547,GOOD,GOOD,LT 1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94547 12.188424, 78.945737 12.185868)"
76,T.NO 75,S,GCR +3,DA,=26+3,74-75,330,203,,12.185868,78.945737,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.945737 12.185868, 78.945803 12.185862)"
77,T.NO 76,T,HCR,DB,26,75-76,290,201,"57°2'24""",12.185862,78.945803,GOOD,GOOD,"HT 1, LT 4",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.945803 12.185862, 80.2123 12.910842)"
