S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY  (110KV VANDHAVASI SS ),T,GT,15,,,,78,,79.61966666666666,12.501261111111111,GOOD,MISSING,,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61966666666666 12.501261111111111, 79.619625 12.500722222222223)"
2,T.NO 83,T,DD,28,GT-83,207.78113485107352,4.82,81,"137°2'55""",79.619625,12.500722222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.619625 12.500722222222223, 79.62152777777777 12.501222222222221)"
3,T.NO 82,T,SD,28,83-82,329.8620923962012,5.15,77,"100°54'58""",79.62152777777777,12.501222222222221,GOOD,GOOD,6NOS HT,"MUDROAD, CEMENT ROAD","PLAIN,CANAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62152777777777 12.501222222222221, 79.62319444444444 12.49936111111111)"
4,T.NO 81,S,SA,26,82-81,272.15069355046666,16.15,75,,79.62319444444444,12.49936111111111,GOOD,GOOD,"2NOS LT,3NOS HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62319444444444 12.49936111111111, 79.62491666666666 12.497499999999999)"
5,T.NO 80,S,SA,26,81-80,279.7016267382083,6.15,79,,79.62491666666666,12.497499999999999,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62491666666666 12.497499999999999, 79.62669444444444 12.49547222222222)"
6,T.NO 79,S,SA,26,80-79,293.7277651159318,4.95,80,,79.62669444444444,12.49547222222222,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62669444444444 12.49547222222222, 79.62847222222221 12.493527777777777)"
7,T.NO 78,S,SA,26,79-78,290.410054922346,6.85,78,,79.62847222222221,12.493527777777777,GOOD,GOOD,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62847222222221 12.493527777777777, 79.63030555555555 12.491472222222221)"
8,T.NO 77,S,SA,26,78-77,302.72925197278175,17.15,81,,79.63030555555555,12.491472222222221,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63030555555555 12.491472222222221, 79.6321111111111 12.489472222222222)"
9,T.NO 76,S,SA,26,77-76,296.23301639081353,4.62,77,,79.6321111111111,12.489472222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6321111111111 12.489472222222222, 79.63377777777778 12.48761111111111)"
10,T.NO 75,S,SA,26,76-75,273.6603734558586,5.95,75,,79.63377777777778,12.48761111111111,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63377777777778 12.48761111111111, 79.63527777777779 12.485916666666666)"
11,T.NO 74,T,SC,26,75-74,248.82323042674292,6.28,79,"20°20'5""",79.63527777777779,12.485916666666666,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63527777777779 12.485916666666666, 79.63775000000001 12.48461111111111)"
12,T.NO 73,S,SA,26,74-73,304.7113388110131,WATER,80,,79.63775000000001,12.48461111111111,GOOD,GOOD,,"ROAD, MUDROAD","CANAL,POND,WATER LOGGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63775000000001 12.48461111111111, 79.64016666666667 12.483305555555555)"
13,T.NO 72,S,SA,26,73-72,299.8416248621929,17.98,78,,79.64016666666667,12.483305555555555,GOOD,GOOD,,,"POND,WATER LOGGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64016666666667 12.483305555555555, 79.64261111111112 12.482)"
14,T.NO 71,S,SA,26,72-71,301.6819517306264,WATER,81,,79.64261111111112,12.482,GOOD,GOOD,,,"POND,WATER LOGGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64261111111112 12.482, 79.64502777777778 12.480722222222223)"
15,T.NO 70,S,SA,26,71-70,299.44782517159814,WATER,77,,79.64502777777778,12.480722222222223,GOOD,GOOD,,,"POND,WATER LOGGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64502777777778 12.480722222222223, 79.64750000000001 12.479416666666667)"
16,T.NO 69,S,SA,26,70-69,303.8321905262838,WATER,78,,79.64750000000001,12.479416666666667,GOOD,GOOD,,,"POND,WATER LOGGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64750000000001 12.479416666666667, 79.64991666666667 12.47813888888889)"
17,T.NO 68,S,SA,26,69-68,300.24156940703597,WATER,81,,79.64991666666667,12.47813888888889,GOOD,GOOD,,,"POND,WATER LOGGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64991666666667 12.47813888888889, 79.6523888888889 12.476833333333333)"
18,T.NO 67,S,SA,26,68-67,304.7113388110131,18.15,77,,79.6523888888889,12.476833333333333,GOOD,GOOD,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6523888888889 12.476833333333333, 79.65475 12.47563888888889)"
19,T.NO 66,S,SA,26,67-66,286.2516375499012,5.18,75,,79.65475,12.47563888888889,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65475 12.47563888888889, 79.65711111111112 12.474361111111111)"
20,T.NO 65,T,SB,24,66-65,293.2319900692965,16.28,79,"13°35'40""",79.65711111111112,12.474361111111111,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65711111111112 12.474361111111111, 79.65986111111111 12.473666666666666)"
21,T.NO 64,S,SA,26,65-64,309.2604080706096,10.67,80,,79.65986111111111,12.473666666666666,GOOD,GOOD,2NOS LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65986111111111 12.473666666666666, 79.66263888888889 12.472944444444444)"
22,T.NO 63,S,SA,26,64-63,311.7081968765018,8.77,78,,79.66263888888889,12.472944444444444,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66263888888889 12.472944444444444, 79.66558333333334 12.472194444444444)"
23,T.NO 62,S,SA,26,63-62,332.32062830946865,15.73,81,,79.66558333333334,12.472194444444444,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66558333333334 12.472194444444444, 79.66833333333334 12.4715)"
24,T.NO 61,S,SA,26,62-61,307.7872641939559,16.22,77,,79.66833333333334,12.4715,GOOD,GOOD,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66833333333334 12.4715, 79.671 12.470805555555556)"
25,T.NO 60,S,SA,26,61-60,299.60307074527793,4.65,75,,79.671,12.470805555555556,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.671 12.470805555555556, 79.67394444444444 12.470027777777778)"
26,T.NO 59,T,SB,24,60-59,332.58081724597406,8.75,67,"1°51'52""",79.67394444444444,12.470027777777778,GOOD,GOOD,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67394444444444 12.470027777777778, 79.67655555555557 12.469472222222223)"
27,T.NO 58,S,SA,26,59-58,287.9756934187328,6.9,66,,79.67655555555557,12.469472222222223,GOOD,GOOD,"2NOS LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67655555555557 12.469472222222223, 79.67925000000001 12.468861111111112)"
28,T.NO 57,S,SA,26,58-57,302.21846402892066,18.05,68,,79.67925000000001,12.468861111111112,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67925000000001 12.468861111111112, 79.68197222222223 12.468277777777779)"
29,T.NO 56,S,SA,26,57-56,302.51280964613716,9.8,68,,79.68197222222223,12.468277777777779,GOOD,GOOD,,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68197222222223 12.468277777777779, 79.68475000000001 12.467666666666666)"
30,T.NO 55,S,SA,26,56-55,309.5609794531604,6.82,61,,79.68475000000001,12.467666666666666,GOOD,GOOD,HT,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68475000000001 12.467666666666666, 79.68733333333334 12.467055555555556)"
31,T.NO 54,T,SB,24,55-54,288.61739379323626,16.18,60,"6°24'6""",79.68733333333334,12.467055555555556,GOOD,GOOD,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68733333333334 12.467055555555556, 79.68997222222222 12.466166666666666)"
32,T.NO 53,S,SA,26,54-53,304.54063768239536,,60,,79.68997222222222,12.466166666666666,GOOD,GOOD,,,"WATER LOGGED,POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68997222222222 12.466166666666666, 79.69261111111112 12.465277777777777)"
33,T.NO 52,S,SA,26,53-52,302.32432915661946,,62,,79.69261111111112,12.465277777777777,GOOD,GOOD,,,"WATER LOGGED,POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69261111111112 12.465277777777777, 79.69519444444445 12.464388888888887)"
