Tower No,Tower Type  (T/S),"Joint Box
",Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),,Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GT 230KV S.P KOIL SS,,2W,GT,15,,,,49,,,79.99666667,12.74452778,Yes,,GOOD,MISSING,,,S.S,230KV S.P KOIL SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99666666666667 12.744527777777776, 79.99647222222222 12.744138888888887)"
T.NO 1,T,,DB,24,GT-1,48.85394446,9.213333333,50,"4°13'37""",,79.99647222,12.74413889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99647222222222 12.744138888888887, 79.99602777777778 12.743388888888887)"
T.NO 2,T,,DD,28,01-Feb,98.24710793,9.013333333,46,"91°57'25""",,79.99602778,12.74338889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99602777777778 12.743388888888887, 79.99441666666667 12.744361111111111)"
T.NO 3,T,,DC,26,02-Mar,205.4749373,8.813333333,45,"21°18'51""",,79.99441667,12.74436111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99441666666667 12.744361111111111, 79.99294444444445 12.746305555555555)"
T.NO 4,S,,DA,26,03-Apr,271.2036269,4.33333,45,,,79.99294444,12.74630556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99294444444445 12.746305555555555, 79.99108333333334 12.74875)"
T.NO 5,T,,DB,24,04-May,336.4116873,8.413333333,42,"13°7'5""",,79.99108333,12.74875,,,GOOD,GOOD,2nos HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99108333333334 12.74875, 79.99041666666666 12.749305555555555)"
T.NO 6,T,,DB,24,05-Jun,98.18538985,6.34,43,"1°48'45""",,79.99041667,12.74930556,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99041666666666 12.749305555555555, 79.98822222222222 12.751055555555556)"
T.NO 7,S,,DA,26,06-Jul,306.7907781,BUSHESS,37,,,79.98822222,12.75105556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98822222222222 12.751055555555556, 79.98636111111111 12.752527777777777)"
T.NO 8,S,,DA,26,07-Aug,260.1466766,7.813333333,37,,,79.98636111,12.75252778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98636111111111 12.752527777777777, 79.98422222222223 12.754111111111111)"
T.NO 9,T,,DD,28,08-Sep,292.2043956,5.43,37,"40°7'33""",,79.98422222,12.75411111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98422222222223 12.754111111111111, 79.98166666666667 12.754027777777777)"
T.NO 10,S,,DA,26,09-Oct,280.1146718,7.413333333,40,,,79.98166667,12.75402778,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98166666666667 12.754027777777777, 79.97911111111111 12.753944444444445)"
T.NO 11,S,,DA,26,10-Nov,278.1804466,BUSHESS,38,,,79.97911111,12.75394444,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97911111111111 12.753944444444445, 79.97644444444444 12.75388888888889)"
T.NO 12,S,,DA,26,11-Dec,290.0432494,7.013333333,41,,,79.97644444,12.75388889,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97644444444444 12.75388888888889, 79.9738888888889 12.753805555555555)"
T.NO 13,T,,DB,24,Dec-13,280.0877998,4.43,39,"29°17'1""",,79.97388889,12.75380556,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9738888888889 12.753805555555555, 79.97183333333334 12.752611111111111)"
T.NO 14,T,,DD,28,13-14,260.6497641,6.613333333,42,"30°34'5""",,79.97183333,12.75261111,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97183333333334 12.752611111111111, 79.97030555555556 12.749805555555554)"
T.NO 15,S,,DA,26,14-15,352.717216,6.413333333,37,,,79.97030556,12.74980556,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97030555555556 12.749805555555554, 79.96880555555556 12.747083333333332)"
T.NO 16,S,,DA,26,15-16,343.778354,4.4,37,,,79.96880556,12.74708333,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96880555555556 12.747083333333332, 79.96747222222223 12.744666666666665)"
T.NO 17,T,2W,DB,24,16-17,304.433683,6.013333333,39,"4°19'23""",,79.96747222,12.74466667,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96747222222223 12.744666666666665, 79.96613888888889 12.741805555555555)"
