S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,JB Location,Earthing Location,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 20,S,DA,26,19-20,272.3692346796899,,172,,79.56297222222221,12.533916666666666,,,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56297222222221 12.533916666666666, 79.56452777777777 12.535916666666667)"
21,T.NO 21,T,DC,26,20-21,278.8207309365643,,171,"17°20'40""",79.56452777777777,12.535916666666667,,,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56452777777777 12.535916666666667, 79.56663888888889 12.53736111111111)"
22,T.NO 22,T,DC,26,21-22,277.6508598942204,4.85,173,"19°15'29""",79.56663888888889,12.53736111111111,,,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56663888888889 12.53736111111111, 79.56816666666666 12.539444444444444)"
23,T.NO 23,T,DD,28,22-23,285.41373477812874,18.05,172,"31°20'46""",79.56816666666666,12.539444444444444,,,GOOD,GOOD,"LT-1, HT-1","MUD ROAD-1, CANAL-1",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56816666666666 12.539444444444444, 79.5705 12.540388888888888)"
24,T.NO 24,T,DC,26,23-24,273.5415873317986,,167,"25°13'7""",79.5705,12.540388888888888,,,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5705 12.540388888888888, 79.57305555555556 12.540277777777778)"
25,T.NO 25,T,DD,28,24-25,279.35103364763125,,161,"61°54'32""",79.57305555555556,12.540277777777778,Yes,,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57305555555556 12.540277777777778, 79.57322222222221 12.540555555555555)"
26,T.NO 26,DP,DP,15,25-26,34.9857113690718,,159,,79.57322222222221,12.540555555555555,,,GOOD,MISSING,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57322222222221 12.540555555555555, 79.57341666666666 12.540777777777778)"
27,T.NO 27,DP,DP,15,26-27,31.89043743820395,,157,,79.57341666666666,12.540777777777778,,,GOOD,MISSING,110KV CROSSING ABOVE OUR LINE,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57341666666666 12.540777777777778, 79.57374999999999 12.541055555555555)"
28,T.NO 28,DP,DP,24,27-28,46.75467891024384,17.89,157,"1°25'37""",79.57374999999999,12.541055555555555,,,GOOD,MISSING,,,WATER LOGGED,ANOTHER CKT. NO  NEED TO CONSIDER FOR OPGW LAYING PURPOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57374999999999 12.541055555555555, 79.5753611111111 12.5425)"
31,T.NO 31,S,DA,26,30-31,237.92856070678022,4.63,154,,79.5753611111111,12.5425,,,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5753611111111 12.5425, 79.57694444444444 12.544)"
32,T.NO 32,S,DA,26,31-32,239.10667075596197,7.12,154,,79.57694444444444,12.544,,,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57694444444444 12.544, 79.57852777777778 12.5455)"
33,T.NO 33,T,DB,24,32-33,237.65521244020718,16.28,157,"12°45'49""",79.57852777777778,12.5455,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57852777777778 12.5455, 79.58066666666666 12.546722222222222)"
34,T.NO 34,T,DD,28,33-34,268.41944787961995,5.43,162,"76°3'0""",79.58066666666666,12.546722222222222,,,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58066666666666 12.546722222222222, 79.58127777777777 12.546111111111111)"
35,T.NO 35,T,DD,28,34-35,94.76286192385707,3.26,163,"96°23'53""",79.58127777777777,12.546111111111111,,,GOOD,GOOD,,MUD ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58127777777777 12.546111111111111, 79.581 12.54588888888889)"
36,GANTRY  (110KV ECHUR SS ),T,GT,15,35-GT,39.20459156782532,,164,,79.581,12.54588888888889,Yes,,GOOD,MISSING,,,PLAIN,110KV ECHUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G39),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
