S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude.,Longitude.,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Power Line,"Rail, Road, River, Car Track",Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,66kv,Tension,DD+9,37,,-,9.2,362,-,12.676922222222222,78.63096944444443,OK,-,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63096944444443 12.676922222222222, 78.63098888888888 12.677780555555556)"
2,90,Tension,SD+9,37,66kv-90,99,11,362," 15°20'17.49""LT",12.677780555555556,78.63098888888888,OK,NO,-,-,Plain,No Direct Earthwire Between 66kv tower and T.No-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63098888888888 12.677780555555556, 78.63059722222222 12.679330555555556)"
3,91,Tension,SD+9,37,90-91,181,13,360," 28°52'46.17""RT",12.679330555555556,78.63059722222222,OK,OK,Two LT,SH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63059722222222 12.679330555555556, 78.63083888888889 12.680211111111111)"
4,92,Tension,SD+0,28,91-92,105,10.2,357,"35°3'40.43""RT",12.680211111111111,78.63083888888889,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63083888888889 12.680211111111111, 78.63257222222222 12.681691666666666)"
5,93,Suspension,SA+0,26,92-93,253,15.4,357,,12.681691666666666,78.63257222222222,OK,OK,"LT, Two 11kv","Two CTR, Boundary Wall",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63257222222222 12.681691666666666, 78.63451666666667 12.683397222222222)"
6,94,Suspension,SA+0,26,93-94,285,9.02,358,,12.683397222222222,78.63451666666667,OK,OK,11kv,Two CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63451666666667 12.683397222222222, 78.63672222222223 12.685283333333334)"
7,95,Tension,SB+0,24,94-95,322,4.3,363,"13°31'42.03""LT",12.685283333333334,78.63672222222223,OK,OK,LT,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63672222222223 12.685283333333334, 78.6380888888889 12.687097222222222)"
8,96,Suspension,SA+0,26,95-96,256,7.2,361,,12.687097222222222,78.6380888888889,OK,OK,Two LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6380888888889 12.687097222222222, 78.63958055555557 12.689105555555555)"
9,97,Suspension,SA+0,26,96-97,275,4.8,358,,12.689105555555555,78.63958055555557,OK,OK,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63958055555557 12.689105555555555, 78.64106111111111 12.69106388888889)"
10,98,Suspension,SA+0,26,97-98,273,6,354,,12.69106388888889,78.64106111111111,OK,OK,Four 11kv,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64106111111111 12.69106388888889, 78.64236111111111 12.692791666666666)"
11,99,Tension,SB+0,24,98-99,243,7.2,355,"12°9’38.81""RT",12.692791666666666,78.64236111111111,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64236111111111 12.692791666666666, 78.64380555555556 12.694033333333334)"
12,100,Suspension,SA+0,26,99-100,212,5,352,,12.694033333333334,78.64380555555556,OK,OK,-,"Two CTR, Fencing Wire",Plain,Girisamudram Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64380555555556 12.694033333333334, 78.64525555555556 12.695275)"
13,101,Tension,SB+0,24,100-101,214,4.1,351,"6°28'22.74""LT",12.695275,78.64525555555556,OK,OK,LT,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64525555555556 12.695275, 78.64721666666668 12.697425)"
14,102,Suspension,SA+0,26,101-102,320,8.2,358,,12.697425,78.64721666666668,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64721666666668 12.697425, 78.64881111111112 12.699111111111112)"
15,103,Tension,SC+0,26,102-103,256,7.7,355,"21°32’21.06""RT",12.699111111111112,78.64881111111112,OK,OK,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64881111111112 12.699111111111112, 78.6502138888889 12.699772222222222)"
16,104,Suspension,SA+0,26,103-104,176,8.4,357,,12.699772222222222,78.6502138888889,OK,OK,11kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6502138888889 12.699772222222222, 78.65160555555556 12.700427777777778)"
17,105,Tension,SD+0,28,104-105,171,6.35,361,"42°8'59.98""LT",12.700427777777778,78.65160555555556,OK,OK,Three LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65160555555556 12.700427777777778, 78.65225555555556 12.701869444444444)"
18,106,Suspension,SA+0,26,105-106,179,7.38,358,,12.701869444444444,78.65225555555556,OK,OK,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65225555555556 12.701869444444444, 78.65285 12.703319444444444)"
19,107,Tension,SC+0,26,106-107,176,8.1,357,"27°22’30.89""RT",12.703319444444444,78.65285,OK,OK,"LT, 11kv",CTR,Plain,Purushottakuppam Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65285 12.703319444444444, 78.65501388888889 12.705163888888888)"
20,108,Suspension,SA+0,26,107-108,316,9.3,360,,12.705163888888888,78.65501388888889,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65501388888889 12.705163888888888, 78.65665833333334 12.706616666666665)"
