S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( 230kV Kadaperi SS ),2W,T,H-Pole,15,,,,60.624001,,12.94685704,80.13054103,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1305410265922 12.9468570370227, 80.1305759791284 12.9470090009272)"
2,124,,T,DC,28,Gantry - 124,21.72926072,4.17,58.1082,150°30'38''RT,12.947009,80.13057598,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1305759791284 12.9470090009272, 80.1303589716553 12.9477150086313)"
3,123,,T,DC,28,124 - 123,86.05424211,2.26,55.044052,38°59'49''LT,12.94771501,80.13035897,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1303589716553 12.9477150086313, 80.1285140309482 12.9489459749311)"
4,122,,T,DC,28,123 - 122,246.5480975,5.19,53.541191,23°59'58''RT,12.94894597,80.12851403,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1285140309482 12.9489459749311, 80.1276449952274 12.9503220319747)"
5,121,,T,DC,28,122 - 121,183.5200246,3.07,41.125122,40°15'47''LT,12.95032203,80.127645,GOOD,AVAILABLE,"LT-3, HT-2",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1276449952274 12.9503220319747, 80.1256259623914 12.9509640019387)"
6,120,,S,DC,28,121 - 120,234.7353208,6.22,38.370205,2°44'39''LT,12.950964,80.12562596,GOOD,AVAILABLE,LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1256259623914 12.9509640019387, 80.1231556478887 12.951623070985)"
7,119,,S,DC,28,120 - 119,282.2033819,-,38.370205,0°26'56''RT,12.95162307,80.12315565,GOOD,NO E/W,LT-3,,Water Logged,Tower inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1231556478887 12.951623070985, 80.1204513944685 12.9523668810725)"
8,118,,S,DC,28,119 - 118,309.1587928,-,38.370205,0°21'39''LT,12.95236688,80.12045139,GOOD,NO E/W,,,Water Logged,Tower inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1204513944685 12.9523668810725, 80.1189842261374 12.9527606628835)"
9,117,,T,DC,28,118 - 117,169.5012617,-,38.370205,1°23'13''LT,12.95276066,80.11898423,GOOD,NO E/W,,,Water Logged,Tower inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1189842261374 12.9527606628835, 80.1185689866542 12.9528615809977)"
10,116,2W,T,MC,52,117 - 116,50.90498774,-,38.370205,28°15'50''RT,12.95286158,80.11856899,GOOD,NO E/W,,,Water Logged,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1185689866542 12.9528615809977, 80.1173690333962 12.9539280105382)"
11,115,,T,MC,52,116 - 115,180.152091,1.72,31.21917,7°41'19''RT,12.95392801,80.11736903,GOOD,OPGW AVAILABLE,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1173690333962 12.9539280105382, 80.1165679749101 12.9548599943518)"
12,114,,T,MC,52,115 - 114,139.3151988,3.41,30.810535,2°0'53''RT,12.95485999,80.11656797,GOOD,OPGW AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1165679749101 12.9548599943518, 80.1158400066196 12.9557700175791)"
13,113,,T,MC,52,114 - 113,132.4269729,0.89,30.332943,4°43'2''LT,12.95577002,80.11584001,GOOD,OPGW AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1158400066196 12.9557700175791, 80.1147510297596 12.956922026351)"
14,112,,S,MC,52,113 - 112,178.2433071,2.33,31.2906,0°47'40''LT,12.95692203,80.11475103,GOOD,OPGW AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1147510297596 12.956922026351, 80.1135410182178 12.9581669904291)"
15,111,,S,MC,52,112 - 111,194.7264256,6.5,27.483101,1°29'56''LT,12.95816699,80.11354102,GOOD,OPGW AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1135410182178 12.9581669904291, 80.1115797366946 12.9600820038467)"
16,110,,S,MC,52,111 - 110,304.6965081,2.36,27.483101,0°50'26''RT,12.960082,80.11157974,GOOD,OPGW AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1115797366946 12.9600820038467, 80.1101212017238 12.9615485016256)"
17,109,,T,MC,52,110 - 109,231.0753391,5.62,27.483101,48°28'56''LT,12.9615485,80.1101212,GOOD,OPGW AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1101212017238 12.9615485016256, 80.1074753701686 12.9614229407161)"
18,108,,S,MC,52,109 - 108,291.8307148,2.95,27.483101,0°7'10''LT,12.96142294,80.10747537,GOOD,OPGW AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1074753701686 12.9614229407161, 80.1052425149828 12.9613123834133)"
19,107,,S,MC,52,108 - 107,247.0078687,6.54,27.562798,0°29'35''LT,12.96131238,80.10524251,GOOD,OPGW AVAILABLE,,,PLAIN,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1052425149828 12.9613123834133, 80.1018210221081 12.9611139837652)"
20,106,,S,MC,52,107 - 106,376.2804045,5.11,26.195292,0°16'39''RT,12.96111398,80.10182102,GOOD,OPGW AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1018210221081 12.9611139837652, 80.099885975942 12.9610109701752)"
21,105,,S,MC,52,106 - 105,214.7053935,2.03,25.332848,0°23'55''RT,12.96101097,80.09988598,GOOD,OPGW AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.099885975942 12.9610109701752, 80.0970430020242 12.9608790390193)"
22,104,,T,MC,52,105 - 104,313.2256003,7.1,24.301302,0°33'2''RT,12.96087904,80.097043,GOOD,OPGW AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0970430020242 12.9608790390193, 80.0943909678608 12.9607809707522)"
23,103,,S,MC,52,104 - 103,292.3738759,4.03,27.24482,2°18'3''RT,12.96078097,80.09439097,GOOD,OPGW AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0943909678608 12.9607809707522, 80.091051030904 12.9607890173792)"
24,102,2W,T,MC,52,103 - 102,366.7885995,1.92,26.616068,6°24'43''LT,12.96078902,80.09105103,GOOD,OPGW AVAILABLE,"110KV, HT, LT",,PLAIN,"DOWN LINE, JOINT BOX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.091051030904 12.9607890173792, 80.0894179847091 12.9606129974126)"
25,101,,T,MC,52,102 - 101,182.7054623,3.8,26.187511,2°13'27''RT,12.960613,80.08941798,GOOD,OPGW AVAILABLE,HT,"NH, BRIDGE",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0894179847091 12.9606129974126, 80.0863060355186 12.9603969957679)"
26,100,,T,MC,52,101 - 100,342.9024762,6.25,26.037724,23°52'55''LT,12.960397,80.08630604,GOOD,OPGW AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0863060355186 12.9603969957679, 80.084501998499 12.959458976984)"
27,99,,S,MC,52,100 - 99,225.9868702,5.9,24.717178,0°39'1''LT,12.95945898,80.084502,GOOD,OPGW AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.084501998499 12.959458976984, 80.0826940219849 12.9584929626435)"
28,98,,T,MC,52,99 - 98,227.8298703,4.13,22.994484,42°25'27''LT,12.95849296,80.08269402,GOOD,OPGW AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0826940219849 12.9584929626435, 80.0818239804357 12.9560140147805)"
29,97,,S,MC,52,98 - 97,294.4589206,3.1,24.522068,4°43'40''LT,12.95601401,80.08182398,GOOD,OPGW AVAILABLE,LT,,AGRI,2 OPGW AVAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0818239804357 12.9560140147805, 80.0813700165599 12.9542630352079)"
30,96,,S,MC,52,97 - 96,204.3201054,4.75,27.348635,2°47'9''RT,12.95426304,80.08137002,GOOD,OPGW AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0813700165599 12.9542630352079, 80.0810059905052 12.9530990403145)"
31,95,3W,T,MC,52,96 - 95,139.1570985,2.1,25.727207,1°57'59''RT,12.95309904,80.08100599,GOOD,OPGW AVAILABLE,,ROAD,PLAIN,JOINT BOX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0810059905052 12.9530990403145, 80.0809609796851 12.952970964834)"
32,94,,T,DC,28,95 - 94 LILO,19.48294608,6.03,25.599546,84°34'34''RT,12.95297096,80.08096098,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0809609796851 12.952970964834, 80.0807436369359 12.9530225135385)"
33,94 A,,T,H-Pole,15,94 LILO - 94 A,28.7558218,-,21,38°37'42''RT,12.95302251,80.08074364,GOOD,NO E/W,,,PLAIN,no need to lay opgw through H -pole. We can connect directly from T.no.94 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0807436369359 12.9530225135385, 80.081021497026 12.9526708927005)"
34,94 B,,T,H-Pole,15,94 A - 94 B,53.70197167,-,22,16°40'4''LT,12.95267089,80.0810215,GOOD,NO E/W,"110KV, 230KV",,PLAIN,UP LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.081021497026 12.9526708927005, 80.0812525022774 12.9525089543312)"
35,1,,T,DC,28,94 B - 1,35.300965,3.54,21,14°13'31''LT,12.95250895,80.0812525,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0812525022774 12.9525089543312, 80.0836397521197 12.9515946563333)"
36,2,,S,DC,28,01-Feb,282.5011609,2.96,21,0°40'30''LT,12.95159466,80.08363975,GOOD,AVAILABLE,"LT, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0836397521197 12.9515946563333, 80.0859882775694 12.9507262911647)"
