S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 230KV ARANI  SS,2W,T,GT,15,,,,157,,79.27439444,12.64869444,GOOD,MISSING,,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27439444444444 12.648694444444445, 79.27413888888888 12.648361111111111)"
2,T.NO 7,,T,DD,28,GT-7,94.11163584,3.95,156,"34°40'5""",79.27413889,12.64836111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27413888888888 12.648361111111111, 79.27330555555555 12.646027777777777)"
3,T.NO 8,,T,DD,28,07-Aug,273.3093485,5.73,158,"43°54'53""",79.27330556,12.64602778,GOOD,GOOD,HT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27330555555555 12.646027777777777, 79.27433333333333 12.643805555555556)"
4,T.NO 9,,S,DA,26,08-Sep,271.3005713,17.05,154,,79.27433333,12.64380556,GOOD,GOOD,4NOS LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27433333333333 12.643805555555556, 79.27538888888888 12.641583333333333)"
5,T.NO 10,,S,DA,26,09-Oct,272.1176216,6.18,153,,79.27538889,12.64158333,GOOD,GOOD,2NOS HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27538888888888 12.641583333333333, 79.27633333333333 12.639472222222222)"
6,T.NO 11,,S,DA,26,10-Nov,253.4324368,,152,,79.27633333,12.63947222,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27633333333333 12.639472222222222, 79.27744444444444 12.637027777777778)"
7,T.NO 12,,S,DA,26,11-Dec,296.3798239,,150,,79.27744444,12.63702778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27744444444444 12.637027777777778, 79.27875 12.634277777777777)"
8,T.NO 13,,S,DA,26,Dec-13,337.4151745,5.08,154,,79.27875,12.63427778,GOOD,GOOD,2NOS LT,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27875 12.634277777777777, 79.28008333333334 12.631361111111111)"
9,T.NO 14,2W,T,DB,24,13-14,352.8356558,4.37,151,"0°3'12""",79.28008333,12.63136111,GOOD,GOOD,"LT,HT",ROAD,"CANAL,PLAIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28008333333334 12.631361111111111, 79.28127777777777 12.628777777777778)"
10,T.NO 15,,S,DA,26,14-15,314.6585451,7.58,153,,79.28127778,12.62877778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28127777777777 12.628777777777778, 79.28230555555555 12.626583333333334)"
