S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-45A LILO,T,DD,28,,,1.07,210,,79.1639,12.9451,GOOD,GOOD,"11KV-1,LT-1",TAR-1,PLAIN,OPGW AND JOINT BOX AVAILABLE FOR 110KV VELLUR TO SATHUVACHERI 110KV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1639 12.9451, 79.1664 12.9459)"
2,T.NO-45,S,DA,26,45A-45,284.92981591964013,3.17,210,,79.1664,12.9459,GOOD,GOOD,"11KV-1,LT-2","CC-1,MUD-1",PLAIN,INISIDE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1664 12.9459, 79.1688 12.9468)"
3,T.NO-44,S,DA,26,45-44,273.86493021195685,19.2,212,,79.1688,12.9468,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1688 12.9468, 79.1712 12.9475)"
4,T.NO-43,T,DD,28,44-43,277.39682766751315,18.4,217,"9°42'55"" ",79.1712,12.9475,GOOD,GOOD,"LT-2,11KV-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1712 12.9475, 79.1736 12.9478)"
5,T.NO-42,S,DA,26,43-42,261.22212769977966,,217,,79.1736,12.9478,GOOD,GOOD,,,PLAIN,WATER LOGGED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1736 12.9478, 79.176 12.9482)"
6,T.NO-41,S,DA,26,42-41,261.6295090390226,,217,,79.176,12.9482,GOOD,GOOD,,,PLAIN,WATER LOGGED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.176 12.9482, 79.1786 12.9485)"
7,T.NO-40,S,DA,26,41-40,287.2646863086377,3.91,217,,79.1786,12.9485,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1786 12.9485, 79.1811 12.9489)"
8,T.NO-39,S,DA,26,40-39,274.2425933366296,,220,,79.1811,12.9489,GOOD,GOOD,,,PLAIN,WATER LOGGED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1811 12.9489, 79.1836 12.9492)"
9,T.NO-38,S,DA,26,39-38,274.64158461529456,,220,,79.1836,12.9492,GOOD,GOOD,LT-2,TAR-1,PLAIN,WATER LOGGED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1836 12.9492, 79.186 12.9496)"
10,T.NO-37,T,DD,28,38-37,263.07793522072507,16.1,206,"4°10'7"" ",79.186,12.9496,GOOD,GOOD,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.186 12.9496, 79.1883 12.9497)"
11,T.NO-36,S,DA,26,37-36,245.34465553584002,5.19,205,,79.1883,12.9497,GOOD,GOOD,LT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1883 12.9497, 79.1908 12.9498)"
12,T.NO-35,S,DA,26,36-35,271.4148116813082,6.17,206,,79.1908,12.9498,GOOD,GOOD,LT-2,TAR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1908 12.9498, 79.1932 12.95)"
13,T.NO-34,S,DA,26,35-34,271.4719138327205,5.47,202,,79.1932,12.95,GOOD,GOOD,LT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1932 12.95, 79.1954 12.9501)"
14,T.NO-33,S,DA,26,34-33,236.4148895480147,5.19,201,,79.1954,12.9501,GOOD,GOOD,LT-1,MUD-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1954 12.9501, 79.1978 12.9502)"
15,T.NO-32,T,DD,28,33-32,254.09643838511394,3.94,202,"55°37'30"" ",79.1978,12.9502,GOOD,GOOD,,"TAR-1,CANAL-1,RIVER-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1978 12.9502, 79.1994 12.9528)"
16,T.NO-31,T,DD,34,32-31,337.85351855500926,3.93,202,"3°38'42"" ",79.1994,12.9528,GOOD,GOOD,,,PLAIN,INSIDE RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1994 12.9528, 79.2007 12.9551)"
17,T.NO-30,T,DD,34,31-30,287.4038969812344,3,201,"1°29'57"" ",79.2007,12.9551,GOOD,GOOD,,,PLAIN,INSIDE RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2007 12.9551, 79.2017 12.9568)"
18,T.NO-29,T,DD,28,30-29,219.69296757065302,2.19,200,"9°46'13"" ",79.2017,12.9568,GOOD,GOOD,LT-2,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2017 12.9568, 79.2036 12.9589)"
19,T.NO-28 ,T,DD,28,29-28,309.9951612525589,2.27,200,"40°7'1"" ",79.2036,12.9589,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2036 12.9589, 79.2039 12.959)"
20,T.NO-27 GT,GT,GT,15,28-27GT,42.579337712087536,,201,,79.2039,12.959,GOOD,GOOD,230KV-1 XING ABOVE,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2039 12.959, 79.2045 12.9592)"
21,T.NO-26 GT,GT,GT,15,27GT-26GT,63.324560795950255,,201,,79.2045,12.9592,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2045 12.9592, 79.2053 12.9594)"
22,T.NO-25,T,DD,28,26GT-25,89.19641248391103,2.12,200,"15°8'1"" ",79.2053,12.9594,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2053 12.9594, 79.2074 12.9609)"
23,T.NO-24,S,DA,26,25-24,275.1817581163403,3.9,200,,79.2074,12.9609,GOOD,GOOD,11KV-1,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2074 12.9609, 79.2094 12.9623)"
24,T.NO-23,S,DA,26,24-23,274.36107595648474,2.92,200,,79.2094,12.9623,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2094 12.9623, 79.2115 12.9638)"
25,T.NO-22,S,DA,26,23-22,275.6320010448714,3.92,200,,79.2115,12.9638,GOOD,GOOD,,CANAL-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2115 12.9638, 79.2138 12.9654)"
26,T.NO-21,T,DD,28,22-21,307.7092783781471,3.47,200,"19°15'1"" ",79.2138,12.9654,GOOD,GOOD,LT-1,,PLAIN,INSIDE VILLA (PRIVATE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2138 12.9654, 79.2148 12.9669)"
27,T.NO-20,S,DA,26,21-20,203.66639388961548,3.1,200,,79.2148,12.9669,GOOD,GOOD,,NALA-1,PLAIN,INSIDE VILLA (PRIVATE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2148 12.9669, 79.2158 12.9683)"
28,T.NO-19 A,T,DD,28,20-19A,181.81859090863068,4.11,207,"13°35'6"" ",79.2158,12.9683,GOOD,NO EARTH WIRE,,,PLAIN,INSIDE VILLA (PRIVATE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2158 12.9683, 79.216 12.9684)"
29,T.NO-19 ,T,DD,37,19A-19,26.248809496813376,,206,,79.216,12.9684,GOOD,NO EARTH WIRE,33KV-1,,INSIDE SS,OPGW AND JOINT BOX AVAILABLE FOR TVLM- KRM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.216 12.9684, 79.2161 12.9685)"
30,GANTRY KARNAMPET 110KV SS,GT,GT,15,19-GT,19.849433241279208,,206,,79.2161,12.9685,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
