S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT MOSUR 230 SS,2W,T,GANTRY,15,,,,99,,79.68533333,13.09663889,GOOD,MISSING,,,PLAIN,230KV MOSUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68533333333333 13.09663888888889, 79.68525000000001 13.096472222222223)"
2,T NO 1,,T,DD,28,GT-1,22.02379604,4.32,88,"67°28'26""",79.68525,13.09647222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68525000000001 13.096472222222223, 79.6833888888889 13.096555555555556)"
3,T NO 2,,T,DD,28,01-Feb,204.2461562,5.98,83,"36°29'25""",79.68338889,13.09655556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6833888888889 13.096555555555556, 79.682 13.09763888888889)"
4,T NO 3,,T,DC,26,02-Mar,193.5746608,3.21,84,"17°14'33""",79.682,13.09763889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.682 13.09763888888889, 79.68166666666667 13.097777777777779)"
5,T NO 4 DP,,T,DP,15,03-Apr,40.92492956,DP,85,,79.68166667,13.09777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68166666666667 13.097777777777779, 79.68169444444445 13.098055555555556)"
6,T NO 5 DP,,T,DP,15,04-May,33.38826948,DP,84,,79.68169444,13.09805556,GOOD,MISSING,230KV,,PLAIN,MOSUR - THIRUVALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68169444444445 13.098055555555556, 79.68183333333334 13.098444444444445)"
7,T NO 6,,T,DD,28,05-Jun,44.01162634,5.3,83,"33°27'56""",79.68183333,13.09844444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68183333333334 13.098444444444445, 79.68111111111112 13.100861111111112)"
8,T NO 7,,S,DA,26,06-Jul,280.2597357,4.2,83,,79.68111111,13.10086111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68111111111112 13.100861111111112, 79.68041666666667 13.103166666666667)"
9,T NO 8,,T,DC,26,07-Aug,266.520244,3.15,82,"21°3'24""",79.68041667,13.10316667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68041666666667 13.103166666666667, 79.67936111111112 13.104555555555555)"
10,T NO 9,,T,DD,28,08-Sep,192.4001045,3.76,79,"45°13'1""",79.67936111,13.10455556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67936111111112 13.104555555555555, 79.67908333333334 13.104583333333332)"
11,T NO 10 DP,,T,DP,15,09-Oct,30.27456234,DP,77,,79.67908333,13.10458333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67908333333334 13.104583333333332, 79.67875000000001 13.104527777777777)"
12,T NO 11 DP,,T,DP,15,10-Nov,36.22782991,DP,78,,79.67875,13.10452778,GOOD,MISSING,110KV,,PLAIN,MOSUR-THIRUTTANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67875000000001 13.104527777777777, 79.67855555555556 13.104722222222222)"
13,T.NO 12,,T,DC,26,11-Dec,32.144823,3.21,79,"16°47'6""",79.67855556,13.10472222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67855555555556 13.104722222222222, 79.67633333333333 13.105722222222221)"
14,T.NO 13,,S,DA,26,Dec-13,264.0988407,3.75,81,,79.67633333,13.10572222,GOOD,GOOD,,"RIVER,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67633333333333 13.105722222222221, 79.67466666666667 13.1065)"
15,T.NO 14,,S,DA,26,13-14,201.8233054,4.55,72,,79.67466667,13.1065,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67466666666667 13.1065, 79.67305555555556 13.107277777777778)"
16,T.NO 15,,S,DA,26,14-15,195.0953374,4.66,80,,79.67305556,13.10727778,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67305555555556 13.107277777777778, 79.67069444444445 13.10836111111111)"
17,T.NO 16,2W,T,DD,28,15-16,284.5842027,5.13,82,"75°18'12""",79.67069444,13.10836111,GOOD,GOOD,LT,2nos ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67069444444445 13.10836111111111, 79.67097222222223 13.109972222222222)"
18,T.NO 17,,S,DA,26,16-17,181.6792739,2.37,80,,79.67097222,13.10997222,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67097222222223 13.109972222222222, 79.67119444444445 13.110888888888889)"
19,T.NO 18,,T,DD,28,17-18,105.560987,1.89,79,"50°38'5""",79.67119444,13.11088889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67119444444445 13.110888888888889, 79.67 13.112361111111111)"
20,T.NO 19,,S,DA,26,18-19,207.3055986,2.16,80,,79.67,13.11236111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67 13.112361111111111, 79.66855555555556 13.113972222222221)"
21,T.NO 20,,S,DA,26,19-20,237.2392855,2.35,81,,79.66855556,13.11397222,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66855555555556 13.113972222222221, 79.66716666666667 13.115583333333333)"
22,T.NO 21,,T,DC,26,20-21,234.5401464,2.02,82,"17°38'15""",79.66716667,13.11558333,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66716666666667 13.115583333333333, 79.66622222222223 13.117833333333333)"
23,T.NO 22,,S,DA,26,21-22,271.9335712,2.88,83,,79.66622222,13.11783333,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66622222222223 13.117833333333333, 79.66530555555556 13.120027777777779)"
24,T.NO 23,,T,DC,26,22-23,262.0900228,4.48,83,"17°55'41""",79.66530556,13.12002778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66530555555556 13.120027777777779, 79.66380555555556 13.121777777777778)"
25,T.NO 24,,T,DD,28,23-24,252.9781737,5.62,81,"44°24'12""",79.66380556,13.12177778,GOOD,GOOD,2nos LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66380555555556 13.121777777777778, 79.66252777777778 13.12188888888889)"
26,T.NO 25,,S,DA,26,24-25,139.8128236,4.55,80,,79.66252778,13.12188889,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66252777777778 13.12188888888889, 79.66041666666668 13.122083333333334)"
27,T.NO 26,,T,DB,24,25-26,231.9567059,3.18,79,"3°42'53""",79.66041667,13.12208333,GOOD,GOOD,HT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66041666666668 13.122083333333334, 79.65827777777778 13.122416666666668)"
28,T.NO 27,,T,DC,26,26-27,236.0914716,4.22,79,"17°13'13""",79.65827778,13.12241667,GOOD,GOOD,"LT,HT",CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65827777777778 13.122416666666668, 79.655 13.121944444444445)"
29,T.NO 28,,S,DA,26,27-28,357.2485088,4.97,78,,79.655,13.12194444,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.655 13.121944444444445, 79.65302777777778 13.121666666666668)"
30,T.NO 29,,T,DC,26,28-29,218.2233873,3.75,77,"21°31'16""",79.65302778,13.12166667,GOOD,GOOD,"LT,HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65302777777778 13.121666666666668, 79.65075 13.120333333333333)"
31,T.NO 30,,S,DA,26,29-30,288.4334706,5.17,77,,79.65075,13.12033333,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65075 13.120333333333333, 79.64880555555557 13.119250000000001)"
32,T.NO 31,,S,DA,26,30-31,244.115199,4.33,76,,79.64880556,13.11925,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64880555555557 13.119250000000001, 79.6468888888889 13.118222222222222)"
33,T.NO 32,,T,DB,24,31-32,237.6474171,2.05,77,"4°14'17""",79.64688889,13.11822222,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6468888888889 13.118222222222222, 79.64533333333334 13.1175)"
34,T.NO 33,2W,T,DC,26,32-33,188.8829423,3.85,87,"16°21'32""",79.64533333,13.1175,GOOD,GOOD,,"HW TAAR ROAD,RAILWAY TRACK ",CULTIVACTION LAND,RAILWAY CROSSING NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64533333333334 13.1175, 79.64444444444445 13.116722222222222)"
35,T.NO 34,,T,DB,24,33-34,130.6341005,4.72,88,"1°12'31""",79.64444444,13.11672222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64444444444445 13.116722222222222, 79.64333333333335 13.115694444444443)"
36,T.NO 35,,T,DB,24,34-35,164.4655927,5.05,88,"6°52'0""",79.64333333,13.11569444,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64333333333335 13.115694444444443, 79.6423888888889 13.114611111111111)"
37,T.NO 36,,T,DB,24,35-36,158.492857,6.1,89,"9°57'36""",79.64238889,13.11461111,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6423888888889 13.114611111111111, 79.64041666666667 13.112972222222222)"
38,T.NO 37,,T,DB,24,36-37,282.9379364,4.95,90,"7°8'0""",79.64041667,13.11297222,GOOD,GOOD,"HT,LT","CANAL,TAAR ROAD,CEMENT ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64041666666667 13.112972222222222, 79.63930555555557 13.111833333333333)"
39,T.NO 38,,S,DA,26,37-38,174.971262,5.45,94,,79.63930556,13.11183333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63930555555557 13.111833333333333, 79.63808333333334 13.110555555555555)"
40,T.NO 39,,S,DA,26,38-39,194.8762492,5.15,95,,79.63808333,13.11055556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63808333333334 13.110555555555555, 79.63702777777779 13.109416666666666)"
41,T.NO 40,,T,DB,24,39-40,170.8528775,4.32,97,"5°52'47""",79.63702778,13.10941667,GOOD,GOOD,3nos LT,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63702777777779 13.109416666666666, 79.63544444444445 13.10736111111111)"
42,T.NO 41,,T,DD,28,40-41,286.4084792,3.8,98,"52°1'31""",79.63544444,13.10736111,GOOD,GOOD,3nos LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63544444444445 13.10736111111111, 79.63372222222223 13.107333333333333)"
43,T.NO 42,,S,DA,26,41-42,188,5.3,99,,79.63372222,13.10733333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63372222222223 13.107333333333333, 79.63119444444443 13.107277777777778)"
44,T.NO 43,,S,DA,26,42-43,275.0894015,4.15,99,,79.63119444,13.10727778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63119444444443 13.107277777777778, 79.62908333333333 13.10725)"
45,T.NO 44 ,,T,DC,26,43-44,231.0021739,3.86,98,"17°12'55""",79.62908333,13.10725,GOOD,GOOD,HT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62908333333333 13.10725, 79.62791666666666 13.10688888888889)"
46,T.NO 44A/1 LILO ICHIPUDUR,3W,T,DD,28,44-1,131.2919798,3.2,96,"79°36'37""",79.62791667,13.10688889,GOOD,GOOD,,,PLAIN,ICHIPUDUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62791666666666 13.10688888888889, 79.62686111111111 13.108777777777778)"
47,T.NO 2,,T,DB,24,01-Feb,241.7072911,3.75,104,"2°54'28""",79.62686111,13.10877778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62686111111111 13.108777777777778, 79.62591666666665 13.110777777777777)"
48,T.NO 3,,S,DA,26,02-Mar,243.0123964,2.36,91,,79.62591667,13.11077778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62591666666665 13.110777777777777, 79.62488888888888 13.112805555555555)"
49,T.NO 4,,S,DA,26,03-Apr,253.2478939,3.19,89,,79.62488889,13.11280556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62488888888888 13.112805555555555, 79.62388888888889 13.11486111111111)"
50,T.NO 5,,T,DD,28,04-May,251.5294394,3.52,92,"52°7'23""",79.62388889,13.11486111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62388888888889 13.11486111111111, 79.62497222222221 13.116972222222223)"
51,T.NO 6,,T,DC,26,05-Jun,260.8326384,3.71,86,"19°50'41""",79.62497222,13.11697222,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62497222222221 13.116972222222223, 79.62519444444443 13.11913888888889)"
52,T.NO 7,,S,DA,26,06-Jul,243.5077318,4.14,89,,79.62519444,13.11913889,GOOD,GOOD,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62519444444443 13.11913888888889, 79.62552777777778 13.12188888888889)"
