S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 230KV KORATTUR SS,2W,T,GANTRY,15,,,,16,,80.18147222,13.09972222,GOOD,MISSING,,,PLAIN,230KV KORATTUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18147222222223 13.099722222222223, 80.18111111111112 13.099333333333334)"
2,T.NO 1,,T,DC,24,GT-1,57.98275606,7.76,18,"26°11'17""",80.18111111,13.09933333,GOOD,GOOD,,,PLAIN, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18111111111112 13.099333333333334, 80.18027777777779 13.099055555555557)"
3,T.NO 2,,T,DB,24,01-????????,96.13532129,8.9,16,"14°10'19""",80.18027778,13.09905556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18027777777779 13.099055555555557, 80.17888888888889 13.098166666666668)"
4,T.NO 3,,T,DD,28,02-??????,180.0138884,6.17,22,"40°5'2""",80.17888889,13.09816667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17888888888889 13.098166666666668, 80.17627777777778 13.098472222222222)"
5,T.NO 4,,T,DC,26,03-??????,283.1713262,5.33,13,"28°28'14""",80.17627778,13.09847222,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17627777777778 13.098472222222222, 80.17502777777779 13.097972222222223)"
6,T.NO 5,,T,DD,28,04-??,148.1890684,6.12,10,"32°11'49""",80.17502778,13.09797222,GOOD,GOOD,2nos HT,3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17502777777779 13.097972222222223, 80.17305555555556 13.098277777777778)"
7,T.NO 6,,S,DA,26,05-????,214.869728,5.41,9,,80.17305556,13.09827778,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17305555555556 13.098277777777778, 80.1703888888889 13.098833333333333)"
8,T.NO 7,,T,DB,24,06-????,296.3460815,5.27,13,"14°48'32""",80.17038889,13.09883333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1703888888889 13.098833333333333, 80.16891666666668 13.098722222222223)"
9,T.NO 8,,T,DC,26,07-??????,158.3824485,,29,"16°19'12""",80.16891667,13.09872222,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16891666666668 13.098722222222223, 80.167 13.098)"
10,T.NO 9,,S,DA,26,08-??????????,224.147273,,15,,80.167,13.098,GOOD,GOOD,,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.167 13.098, 80.16502777777778 13.09738888888889)"
