S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,
1,T.NO 12 LILO AMBATHUR I.E 110KV SS,T ,DC,26,,,2.39,18,,13.088527777777779,80.1645,3W,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1645 13.088527777777779, 80.16469444444445 13.089305555555557)",
2,T.NO 1,T,DB,24,12-1,89.49860334105779,,16,"6°28'29""",13.089305555555557,80.16469444444445,,,,,GOOD,GOOD,HT 1,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16469444444445 13.089305555555557, 80.16497222222223 13.091472222222222)",
3,T.NO 2,T,DB,24,1-2,242.86004199950224,3.39,13,"4°7'9""",13.091472222222222,80.16497222222223,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16497222222223 13.091472222222222, 80.16508333333334 13.09375)",
4,T.NO 3,T ,DC,26,2-3,250.3377718203947,4.87,17,"21°24'42""",13.09375,80.16508333333334,,,,,GOOD,GOOD,,CEMENT ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16508333333334 13.09375, 80.16472222222222 13.094805555555556)",
5,T.NO 4,T,DB,24,3-4,123.3288287465668,5.61,34,"13°8'42""",13.094805555555556,80.16472222222222,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16472222222222 13.094805555555556, 80.16466666666668 13.095277777777778)",
6,GT 110KV AMBATTUR I.E SS,T,GT,20,4-GT,54.230987451824994,,27,,13.095277777777778,80.16466666666668,2W,,,,GOOD,MISSING,,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,,=SUM(G6:G11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
