S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Thiruvalam Gantry,2W,,Gantry,15,-,-,-,218,,12.99901111,79.24280833,GOOD,-,-,-,Plain,No peak available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24280833333333 12.99901111111111, 79.24246111111111 12.998738888888887)"
2,1,,Tension,DD+0,28,3-4,52,1.2,214,"6°28'8.5""RT",12.99873889,79.24246111,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24246111111111 12.998738888888887, 79.24165277777777 12.998219444444443)"
3,1A,,Tension,DD+0,28,4-5,108,5.4,208,"4°37’20.2""RT",12.99821944,79.24165278,GOOD,GOOD,"LT, HT",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24165277777777 12.998219444444443, 79.24039444444445 12.99758611111111)"
4,2,,Suspension,DA+0,26,5-6,157,11,207,,12.99758611,79.24039444,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24039444444445 12.99758611111111, 79.238475 12.996541666666666)"
5,3,,Suspension,DA+0,26,6-7,243,3.6,212,,12.99654167,79.238475,GOOD,GOOD,-,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.238475 12.996541666666666, 79.23653888888889 12.995552777777776)"
6,4,,Tension,DC+0,26,7-8,240,2.5,207,"17°53'40.74""LT",12.99555278,79.23653889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23653888888889 12.995552777777776, 79.234525 12.993533333333332)"
7,5,,Suspension,DA+0,26,8-9,319,8.4,203,,12.99353333,79.234525,GOOD,GOOD,Two LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.234525 12.993533333333332, 79.232675 12.99158611111111)"
8,6,,Suspension,DA+0,26,9-10,297,14.5,202,,12.99158611,79.232675,GOOD,GOOD,Two LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.232675 12.99158611111111, 79.23095555555555 12.989830555555555)"
9,7,,Suspension,DA+0,26,10-11,272,4.8,201,,12.98983056,79.23095556,GOOD,GOOD,Two LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23095555555555 12.989830555555555, 79.2292638888889 12.988091666666666)"
10,8,,Suspension,DA+0,26,11-12,272,2.6,202,,12.98809167,79.22926389,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2292638888889 12.988091666666666, 79.22744166666666 12.986244444444443)"
11,9,,Tension,DB+0,24,12-13,290,0.3,206,"0°27'0.9""LT",12.98624444,79.22744167,GOOD,GOOD,-,"Two CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22744166666666 12.986244444444443, 79.22550277777778 12.984233333333332)"
12,10,,Suspension,DA+0,26,13-14,309,5.4,205,,12.98423333,79.22550278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22550277777778 12.984233333333332, 79.2234888888889 12.982158333333333)"
