S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT MOSUR 230KV SS,2W,T,GANTRY,15,,,,84,,79.68547222,13.09655556,GOOD,MISSING,,,PLAIN,230KV MOSUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68547222222223 13.096555555555556, 79.68536111111112 13.096166666666667)"
2,T.NO 1,,T,DD,28,GT-1,45.64302857,2.35,92,"   81°20'8""",79.68536111,13.09616667,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68536111111112 13.096166666666667, 79.68291666666667 13.096444444444446)"
3,T.NO 2,,S,SA,26,01-Feb,268.9178979,2.1,93,,79.68291667,13.09644444,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68291666666667 13.096444444444446, 79.68075 13.096694444444445)"
4,T.NO 3,,T,SD,28,02-Mar,238.7751038,3.44,91,"68°30'49""",79.68075,13.09669444,GOOD,GOOD,HT-3,POND,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68075 13.096694444444445, 79.68033333333334 13.098222222222223)"
5,T.NO 4,,S,SA,26,03-Apr,174.6663468,3.7,90,,79.68033333,13.09822222,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68033333333334 13.098222222222223, 79.67991666666667 13.099722222222223)"
6,T.NO 5,,T,SC,26,04-May,173.4470933,4.12,89,"23°19'0""",79.67991667,13.09972222,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67991666666667 13.099722222222223, 79.67980555555556 13.09988888888889)"
7,DP1,,T,DP,15,5-DP1,23.8035085,DP,90,,79.67980556,13.09988889,GOOD,GOOD,,POND,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67980555555556 13.09988888888889, 79.67975 13.100166666666667)"
8,DP2,,T,DP,15,DP1-DP2,32.25699922,DP,93,,79.67975,13.10016667,GOOD,MISSING,230KV,,WATERLOGGED,MOSUR-THIRUVALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67975 13.100166666666667, 79.67958333333334 13.100944444444444)"
9,T.NO 6,,S,SA,26,DP2-6,90.05054744,3.19,91,,79.67958333,13.10094444,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67958333333334 13.100944444444444, 79.67922222222222 13.102444444444444)"
10,T.NO 7,,S,SA,26,06-Jul,171.0735135,4.1,92,,79.67922222,13.10244444,GOOD,GOOD,,"ROAD1,CANAL1,POND",WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67922222222222 13.102444444444444, 79.67897222222223 13.104472222222222)"
11,T.NO 8,,S,SA,26,07-Aug,225.6285823,3.28,90,,79.67897222,13.10447222,GOOD,GOOD,,POND,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67897222222223 13.104472222222222, 79.67869444444445 13.106416666666666)"
12,T.NO 9,,T,SB,24,08-Sep,218.8072542,5.05,93,"2°12'50""",79.67869444,13.10641667,GOOD,GOOD,110KV,POND,CULTIVACTION,MOSUR-ICHIPUDUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67869444444445 13.106416666666666, 79.67827777777778 13.10838888888889)"
13,T.NO 10,,S,SA,26,09-Oct,224.1815405,3.56,91,,79.67827778,13.10838889,GOOD,GOOD,,MUD ROAD1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67827777777778 13.10838888888889, 79.67786111111111 13.110444444444443)"
14,T.NO 11,,S,SA,26,10-Nov,231.633909,4.24,92,,79.67786111,13.11044444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67786111111111 13.110444444444443, 79.67744444444445 13.112361111111111)"
15,T.NO 12,,T,SC,26,11-Dec,219.2773465,5.34,93,"25°27'12""",79.67744444,13.11236111,GOOD,GOOD,,MUD ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67744444444445 13.112361111111111, 79.67602777777778 13.114194444444443)"
