S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ( SMRC SS ),,T,H-POLE,15,,,,24,,13.03991796,80.14627621,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1462762057781 13.039917955175, 80.1463539060205 13.0400700028985)"
2,10,,T,SC,24,GANTRY  - 10,23.80887174,2.11,23.867292,24°17'40''RT,13.04007,80.14635391,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1463539060205 13.0400700028985, 80.1487405691295 13.0419711861759)"
3,11,,T,SC,24,10-???????,338.4497748,7.33,22.450874,24°42'45''RT,13.04197119,80.14874057,GOOD,AVAILABLE,"LT, HT",ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1487405691295 13.0419711861759, 80.1510910224169 13.0425620265305)"
4,12,,T,DC,28,11-????????,268.1136167,5.1,20.48951,71°41'58''LT,13.04256203,80.15109102,GOOD,AVAILABLE,"LT-3NO, HT",ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1510910224169 13.0425620265305, 80.1511099655181 13.04283301346)"
5,13,,T,DC,28,????????-13,35.0409713,2.01,19.43029,78°33'16''RT,13.04283301,80.15110997,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1511099655181 13.04283301346, 80.1532949600368 13.0431159865111)"
6,14,,T,DC,28,13 - 14,243.9857795,6.34,20.135548,8°5'7''LT,13.04311599,80.15329496,GOOD,AVAILABLE,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1532949600368 13.0431159865111, 80.1539739780128 13.0433019809424)"
7,15,,S,SC,25,14 - 15,81.44811338,1.7,19.661995,,13.04330198,80.15397398,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1539739780128 13.0433019809424, 80.156429959461 13.0439889617264)"
8,16,,S,SC,25,15 - 16,281.9373998,3.92,20.469275,,13.04398896,80.15642996,GOOD,AVAILABLE,"LT-2NO, HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.156429959461 13.0439889617264, 80.1591020263731 13.0446949694305)"
9,17,,S,SC,25,16 - 17,305.0779545,5.18,19.120739,,13.04469497,80.15910203,GOOD,AVAILABLE,LT-2NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1591020263731 13.0446949694305, 80.1617979817092 13.0453820340335)"
10,18,,S,SC,25,17 - 18,307.044919,-,19.438984,,13.04538203,80.16179798,GOOD,AVAILABLE,LT -4 NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1617979817092 13.0453820340335, 80.1644780114293 13.0460870359092)"
11,19,,T,SC,24,18 - 19,305.8809178,4.07,20.692116,54°59'15''RT,13.04608704,80.16447801,GOOD,AVAILABLE,LT- 3NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1644780114293 13.0460870359092, 80.1661379635334 13.0447229649871)"
12,20,,S,SC,25,19 - 20,239.8556675,-,16.448055,,13.04472296,80.16613796,GOOD,AVAILABLE,LT -4 NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1661379635334 13.0447229649871, 80.1679900288581 13.0432179942727)"
13,21,,T,SC,24,20 - 21,265.8356226,-,19.551483,129°6'55''LT,13.04321799,80.16799003,GOOD,AVAILABLE,LT -4 NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1679900288581 13.0432179942727, 80.1679649669677 13.0405979789793)"
14,22,,S,SC,25,21 - 22,294.7804818,-,23.516838,,13.04059798,80.16796497,GOOD,AVAILABLE,LT -5 NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1679649669677 13.0405979789793, 80.167965972796 13.0379020236432)"
15,23,,T,SC,24,22 - 23,303.1664954,9.1,24.109365,91°23'16''RT,13.03790202,80.16796597,GOOD,AVAILABLE,LT -3NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.167965972796 13.0379020236432, 80.1705740019679 13.0378410033881)"
16,24,,T,DC,28,23 - 24,287.8841956,9.45,20.488859,86°32'3''LT,13.037841,80.170574,GOOD,AVAILABLE,LT - 2NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1705740019679 13.0378410033881, 80.1704099681228 13.0359389819204)"
17,25,,S,SC,25,24 - 25,216.1097162,7.69,21.727285,,13.03593898,80.17040997,GOOD,AVAILABLE,LT ,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1704099681228 13.0359389819204, 80.1702829822897 13.0341060273349)"
18,26,,T,SC,24,25 - 26,208.1875205,5.22,22.825272,156°19'41''RT,13.03410603,80.17028298,GOOD,AVAILABLE,LT -3NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1702829822897 13.0341060273349, 80.1711790077388 13.0316639598459)"
19,27,,T,SC,24,26 - 27,292.0322749,2.06,23.717932,39°36'12''LT,13.03166396,80.17117901,GOOD,AVAILABLE,LT,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1711790077388 13.0316639598459, 80.1724649593234 13.0309179704636)"
20,28,,T,SC,24,27 - 28,167.0259458,5.19,23.693926,5°10'10''LT,13.03091797,80.17246496,GOOD,AVAILABLE,LT -3NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1724649593234 13.0309179704636, 80.1748360320925 13.0298119783401)"
21,29,,S,SC,25,28 - 29,289.7299041,4.84,25.930555,,13.02981198,80.17483603,GOOD,AVAILABLE,LT -5 NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1748360320925 13.0298119783401, 80.17682204023 13.0290609598159)"
22,30,,T,SC,24,29 - 30,235.8236779,6.08,26.123619,13°36'7''LT,13.02906096,80.17682204,GOOD,AVAILABLE,LT -3NO,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17682204023 13.0290609598159, 80.1789010036736 13.0287929903715)"
23,31,,S,SC,25,30 - 31,232.3813443,-,26.646677,,13.02879299,80.178901,GOOD,AVAILABLE,LT,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1789010036736 13.0287929903715, 80.1801010407507 13.028514040634)"
24,32,,T,SC,24,31 - 32,138.7384967,4.01,28.77368,31°19'7''RT,13.02851404,80.18010104,GOOD,AVAILABLE,,,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1801010407507 13.028514040634, 80.1816989667713 13.0269659869372)"
25,33,,T,SC,24,32 - 33,248.5952012,3.7,27.581453,15°20'25''RT,13.02696599,80.18169897,GOOD,AVAILABLE,LT -5 NO,,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1816989667713 13.0269659869372, 80.1829480379819 13.0248450301587)"
26,34,,T,SC,24,33 - 34,275.8702791,5.09,22.184448,37°20'10''LT,13.02484503,80.18294804,GOOD,AVAILABLE,LT -2NO,,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1829480379819 13.0248450301587, 80.183852026239 13.0244749691337)"
27,35,,T,SC,24,34 - 35,111.2302583,1.53,22.651733,31°53'33''LT,13.02447497,80.18385203,GOOD,AVAILABLE,LT -2NO,,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.183852026239 13.0244749691337, 80.1856030058115 13.0247540026903)"
28,36,,S,SC,24,35 - 36,197.3697109,4.61,17.624104,,13.024754,80.18560301,GOOD,AVAILABLE,,,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1856030058115 13.0247540026903, 80.1875180192291 13.0250929668545)"
29,LILO : 37,,T,DC,28,36 - 37,216.0225475,2.59,22.491261,88°38'26''RT,13.02509297,80.18751802,GOOD,AVAILABLE,LT,,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1875180192291 13.0250929668545, 80.1873809751123 13.0257480125874)"
30,38,,T,DC,28,37 - 38,78.95469947,3.5,25.015226,151°19'42''LT,13.02574801,80.18738098,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1873809751123 13.0257480125874, 80.1874480303376 13.0259620025753)"
31,GANTRY ( RAMAPURAM SS ),1,T,H-POLE,15,38 - GANTRY ,29.75855275,-,25.346476,,13.025962,80.18744803,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
