S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV PUNNAI SS,2W,T,GANTRY,15,,,,95,,79.60344444,12.99002778,GOOD,MISSING,,,PLAIN,110KV PUNNAI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60344444444443 12.990027777777778, 79.60352777777777 12.990388888888887)"
2,T.NO 44,,T,DD,28,GT-44,43.75511665,2.62,98,"96°17'59""",79.60352778,12.99038889,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60352777777777 12.990388888888887, 79.60305555555556 12.990444444444444)"
3,T.NO 43,,T,DD,28,44-43,52.15662225,3.15,98,"57°19'56""",79.60305556,12.99044444,GOOD,GOOD,LT,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60305555555556 12.990444444444444, 79.60169444444443 12.988666666666665)"
4,T.NO 42,,T,DC,26,43-42,244.4029581,3.86,100,"25°1'43""",79.60169444,12.98866667,GOOD,GOOD,HT-2,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60169444444443 12.988666666666665, 79.60144444444444 12.987444444444444)"
5,T.NO 41,,T,DB,24,42-41,139.0796871,4.22,101,"14°36'13""",79.60144444,12.98744444,GOOD,GOOD,LT-3,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60144444444444 12.987444444444444, 79.60155555555555 12.985166666666666)"
6,T.NO 40,,T,DB,24,41-40,255.2380774,1.79,99,"0°55'32""",79.60155556,12.98516667,GOOD,GOOD,"LT,HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60155555555555 12.985166666666666, 79.60163888888889 12.982833333333334)"
7,T.NO 39,,T,DB,24,40-39,259.0949438,2.62,104,"0°0'22""",79.60163889,12.98283333,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60163888888889 12.982833333333334, 79.60172222222222 12.9805)"
8,T.NO 38,,T,DC,26,39-38,258.0953131,3.28,102,"25°47'23""",79.60172222,12.9805,GOOD,GOOD,"LT,HT-2",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60172222222222 12.9805, 79.60324999999999 12.977611111111111)"
9,T.NO 37,,T,DB,24,38-37,360.1462098,1.76,99,"6°39'35""",79.60325,12.97761111,GOOD,GOOD,,MUDROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60324999999999 12.977611111111111, 79.60408333333332 12.9755)"
10,T.NO 36,,S,DA,26,37-36,252.2886786,1.31,99,,79.60408333,12.9755,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60408333333332 12.9755, 79.60472222222222 12.973833333333333)"
