S. No,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Long.,Lat.,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Power Line,"Rail,TAAR ROAD,River",Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 62A/1 LILO K.G KANDIGAI,T,DD,28,62-1,174,4.04,105,"96°6'32""",79.5895,13.099361111111111,GOOD,GOOD,LT,,PLAIN,K.G KANDIGAI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5895 13.099361111111111, 79.58841666666666 13.099944444444445)"
21,T.NO 2,T,DC,26,1-2,134,5.44,104,"24°34'31""",79.58841666666666,13.099944444444445,GOOD,GOOD,LILO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58841666666666 13.099944444444445, 79.58655555555555 13.100055555555555)"
22,T.NO 3,S,DA,26,2-3,204,4.38,105,,79.58655555555555,13.100055555555555,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58655555555555 13.100055555555555, 79.58425 13.100222222222222)"
23,T.NO 4,S,DA,26,3-4,253,4.05,102,,79.58425,13.100222222222222,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58425 13.100222222222222, 79.582 13.100416666666666)"
24,T.NO 5,T,DB,24,4-5,244,3.9,102,"0°1'2""",79.582,13.100416666666666,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.582 13.100416666666666, 79.57974999999999 13.100583333333333)"
25,T.NO 6,S,DA,26,5-6,246,4.65,103,,79.57974999999999,13.100583333333333,GOOD,GOOD,"LT,HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57974999999999 13.100583333333333, 79.57741666666666 13.100777777777777)"
26,T.NO 7,S,DA,26,6-7,257,6.25,105,,79.57741666666666,13.100777777777777,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57741666666666 13.100777777777777, 79.57488888888888 13.100944444444444)"
27,T.NO 8,T,DB,24,7-8,274,4.58,109,"0°21'50""",79.57488888888888,13.100944444444444,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57488888888888 13.100944444444444, 79.57238888888888 13.101166666666666)"
28,T.NO 9,S,DA,26,8-9,275,4.95,107,,79.57238888888888,13.101166666666666,GOOD,GOOD,LT,HW TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57238888888888 13.101166666666666, 79.57052777777777 13.101222222222221)"
29,T.NO 10,S,DA,26,9-10,201,3.35,110,,79.57052777777777,13.101222222222221,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57052777777777 13.101222222222221, 79.56788888888889 13.101444444444445)"
