,Tower No, Supspension / Tenion,,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
72,T.NO-46/1 LILO KODAVASAL,T,LILO,DC,24,47-46/1,YES,182.17573932881405,3.22,21,"1°25'32.37""",79.52663888888888,10.794944444444445,GOOD,GOOD,NO,"11KV, LT","CANAL, TAAR TOAD",CULTIVATION,"(NEED JUCTION BOX) 2 EARTH WIRE. 1 E/W CONNECT TO KODAVASAL  110KV T.NO-46/2, OUR E/W CONTINUE TO OUR  T.NO- 46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52663888888888 10.794944444444445, 79.52758333333333 10.794972222222222)"
73,T.NO-46,S,SA,SC,26,46/1-46,YES,105.01904589168576,3.91,20,,79.52758333333333,10.794972222222222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52758333333333 10.794972222222222, 79.53025 10.795111111111112)"
74,T.NO-45,T,SB,SC,24,46-45,YES,292.33542378576016,2.89,21,"1°39'13.46""",79.53025,10.795111111111112,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53025 10.795111111111112, 79.53311111111111 10.795222222222222)"
75,T.NO-44,S,SA,SC,26,45-44,YES,311.1944729586308,1.61,21,,79.53311111111111,10.795222222222222,GOOD,GOOD,NO,,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53311111111111 10.795222222222222, 79.53569444444445 10.795361111111111)"
76,T.NO-43,S,SA,SC,26,44-43,NO,282.398654387729,1.79,20,,79.53569444444445,10.795361111111111,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53569444444445 10.795361111111111, 79.53819444444444 10.795388888888889)"
77,T.NO-42,S,SA,SC,26,43-42,NO,273.00183149568795,BUSHES,19,,79.53819444444444,10.795388888888889,GOOD,GOOD,NO,,,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53819444444444 10.795388888888889, 79.54063888888889 10.795666666666667)"
78,T.NO-41,T,SC,SC,26,42-41,NO,271.55294143131647,1.99,17,"28°47'42.17""",79.54063888888889,10.795666666666667,GOOD,GOOD,NO,"LT,11KV ",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54063888888889 10.795666666666667, 79.54313888888889 10.794638888888889)"
79,T.NO-40,S,SA,SC,26,41-40,NO,295.8462438497403,1.12,15,,79.54313888888889,10.794638888888889,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54313888888889 10.794638888888889, 79.54513888888889 10.793861111111111)"
80,T.NO-39,S,SA,SC,26,40-39,YES,235.0914715594762,1.22,16,,79.54513888888889,10.793861111111111,GOOD,GOOD,NO,"LT, 11KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54513888888889 10.793861111111111, 79.54744444444444 10.79288888888889)"
81,T.NO-38,S,SA,SC,26,39-38,NO,271.93565415369864,WATER,17,,79.54744444444444,10.79288888888889,GOOD,GOOD,NO,,,CULTIVATION,AT PRESENT WATER FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54744444444444 10.79288888888889, 79.54916666666666 10.792222222222222)"
82,T.NO-37,S,SA,SC,26,38-37,NO,203.70812453115363,0.99,17,,79.54916666666666,10.792222222222222,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54916666666666 10.792222222222222, 79.55163888888889 10.791194444444445)"
83,T.NO-36,T,SC,SC,26,37-36,NO,292.15920317525513,BUSHES,19,"22°10'41.59""",79.55163888888889,10.791194444444445,GOOD,GOOD,NO,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55163888888889 10.791194444444445, 79.55344444444444 10.789416666666666)"
84,T.NO-35,S,SA,SC,26,36-35,NO,279.30807363912703,1.02,18,,79.55344444444444,10.789416666666666,GOOD,GOOD,NO,,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55344444444444 10.789416666666666, 79.55505555555555 10.787722222222222)"
85,T.NO-34,S,SA,SC,26,35-34,NO,256.11325619733157,1.71,18,,79.55505555555555,10.787722222222222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55505555555555 10.787722222222222, 79.55688888888889 10.785944444444445)"
86,T.NO-33,S,SA,SC,26,34-33,NO,282.8462479864281,0.92,18,,79.55688888888889,10.785944444444445,GOOD,GOOD,NO,,,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55688888888889 10.785944444444445, 79.55858333333333 10.78425)"
87,T.NO-32,S,SA,SC,26,33-32,NO,263.0589287593181,2.64,20,,79.55858333333333,10.78425,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55858333333333 10.78425, 79.56025 10.782527777777778)"
88,T.NO-31,T,SB,SC,24,32-31,NO,261.0383113644432,0.97,17,"3°21'9.42""",79.56025,10.782527777777778,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56025 10.782527777777778, 79.56205555555556 10.780861111111111)"
89,T.NO-30,S,SA,SC,26,31-30,NO,270.9335711941213,1.05,15,,79.56205555555556,10.780861111111111,GOOD,GOOD,NO,,CANAL,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56205555555556 10.780861111111111, 79.56388888888888 10.779111111111112)"
90,T.NO-29,S,SA,SC,26,30-29,NO,280.0464247227591,1.82,17,,79.56388888888888,10.779111111111112,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56388888888888 10.779111111111112, 79.56583333333333 10.777305555555557)"
91,T.NO-28,S,SA,SC,26,29-28,NO,292.1044333795706,1.9,15,,79.56583333333333,10.777305555555557,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56583333333333 10.777305555555557, 79.56758333333333 10.775694444444445)"
92,T.NO-27,S,SA,SC,29,28-27,NO,262.497619036821,2.04,14,,79.56758333333333,10.775694444444445,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56758333333333 10.775694444444445, 79.56938888888888 10.774027777777778)"
93,T.NO-26,T,SD,SC,29,27-26,NO,268.1063221932672,BUSHES,11,"53°54'19.95""",79.56938888888888,10.774027777777778,GOOD,GOOD,NO,110KV LINE CROSSING BELOW OUR LINE,,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56938888888888 10.774027777777778, 79.57183333333333 10.774500000000002)"
94,T.NO-25,S,SA,SC,26,26-25,NO,272.6242835845699,BUSHES,13,,79.57183333333333,10.774500000000002,GOOD,GOOD,NO,,CANAL,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57183333333333 10.774500000000002, 79.57411111111111 10.774944444444445)"
95,T.NO-24,S,SA,SC,26,25-24,YES,252.6024544615511,BUSHES,18,,79.57411111111111,10.774944444444445,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57411111111111 10.774944444444445, 79.57652777777777 10.77538888888889)"
96,T.NO-23,S,SA,SC,26,24-23,NO,270.65845636151846,2.58,21,,79.57652777777777,10.77538888888889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57652777777777 10.77538888888889, 79.57888888888888 10.77588888888889)"
97,T.NO-22,T,SB,SC,24,23-22,YES,263.38754716197195,2.14,21,"11°59'37.42""",79.57888888888888,10.77588888888889,GOOD,GOOD,NO,LT,,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57888888888888 10.77588888888889, 79.58091666666667 10.77677777777778)"
98,T.NO-21,S,SA,SC,26,22-21,YES,242.26638231500465,2.34,18,,79.58091666666667,10.77677777777778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58091666666667 10.77677777777778, 79.58272222222222 10.777555555555557)"
99,T.NO-20,S,SA,SC,26,21-20,YES,214.55535416297585,"2,12",18,,79.58272222222222,10.777555555555557,GOOD,GOOD,NO,,"TAAR ROAD, POND",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58272222222222 10.777555555555557, 79.58436111111111 10.778333333333334)"
100,T.NO-19,T,SC,SC,26,20-19,NO,199.5419755339713,BUSHES,18,"20°27'37.45""",79.58436111111111,10.778333333333334,GOOD,GOOD,NO,LT,,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58436111111111 10.778333333333334, 79.58508333333333 10.779055555555557)"
101,T.NO-18,T,SD,SC,28,19-18,NO,113.84638773364749,2.84,16,"36°19'34.44""",79.58508333333333,10.779055555555557,GOOD,GOOD,NO,,"MUD RAOD, CANAL",PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58508333333333 10.779055555555557, 79.58744444444444 10.779444444444445)"
102,T.NO-17,S,SA,SC,26,18-17,NO,261.2374398894615,BUSHES,14,,79.58744444444444,10.779444444444445,GOOD,GOOD,NO,,,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58744444444444 10.779444444444445, 79.58994444444444 10.77977777777778)"
103,T.NO-16,T,SC,SC,26,17-16,NO,274.5050090617656,2.27,18,"20°46'55.93""",79.58994444444444,10.77977777777778,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58994444444444 10.77977777777778, 79.59177777777778 10.779361111111111)"
104,T.NO-15,S,SA,SC,26,16-15,NO,208.3698634639856,BUSHES,16,,79.59177777777778,10.779361111111111,GOOD,GOOD,NO,LT,POND,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59177777777778 10.779361111111111, 79.59366666666666 10.778916666666667)"
105,T.NO-14,T,SC,SC,26,15-14,NO,211.24866863485792,2.23,18,"24°41'41.68""",79.59366666666666,10.778916666666667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59366666666666 10.778916666666667, 79.59608333333333 10.77938888888889)"
106,T.NO-13,S,SA,SC,26,14-13,NO,268.69313351851775,1.62,19,,79.59608333333333,10.77938888888889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59608333333333 10.77938888888889, 79.59861111111111 10.779861111111112)"
107,T.NO-12,S,SA,SC,26,13-12,YES,282.0248216026384,1.73,20,,79.59861111111111,10.779861111111112,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59861111111111 10.779861111111112, 79.60094444444444 10.780333333333335)"
108,T.NO-11,S,SA,SC,26,12-11,NO,260.64727123068064,1.88,18,,79.60094444444444,10.780333333333335,GOOD,GOOD,NO,"LT, 11KV","CANAL, TAAR TOAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60094444444444 10.780333333333335, 79.60347222222222 10.780805555555556)"
109,T.NO-10,T,SD,SC,28,11-10,YES,281.8386062980017,BUSHES,19,"52°48'10.10""",79.60347222222222,10.780805555555556,GOOD,GOOD,NO,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60347222222222 10.780805555555556, 79.60461111111111 10.783055555555556)"
110,T.NO-9,S,SA,SC,29,10-9,YES,277.27242920997395,2.39,21,,79.60461111111111,10.783055555555556,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60461111111111 10.783055555555556, 79.60563888888888 10.784888888888888)"
111,T.NO-8,S,SA,SC,26,9-8,NO,232.3316594870359,WATER,16,,79.60563888888888,10.784888888888888,GOOD,GOOD,NO,,"RIVER, TAAR ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60563888888888 10.784888888888888, 79.60641666666666 10.786416666666666)"
112,T.NO-7,T,SD,SC,31,8-7,YES,188.76705220985997,2.24,19,"45°37'47.87""",79.60641666666666,10.786416666666666,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60641666666666 10.786416666666666, 79.60891666666666 10.787138888888888)"
113,T.NO-6,S,SA,SC,26,7-6,NO,283.8045101826255,1.76,18,,79.60891666666666,10.787138888888888,GOOD,GOOD,NO,LT,HIGHWAY CROSSING (TIRUVARUR - KUMBAKONAM),CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60891666666666 10.787138888888888, 79.6108611111111 10.787027777777778)"
114,T.NO-5,T,SC,SC,26,6-5,NO,214.5250568115529,BUSHES,18,"19°50'27.50""",79.6108611111111,10.787027777777778,GOOD,GOOD,NO,11KV,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6108611111111 10.787027777777778, 79.61175 10.78663888888889)"
115,T.NO-4,GANTRY (TB),GANTRY,SC,20,5-4,NO,103.87011119662864,,18,,79.61175,10.78663888888889,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61175 10.78663888888889, 79.61188888888888 10.786138888888889)"
116,T.NO-3,GANTRY (TB),GANTRY,SC,20,4-3,NO,58.52349955359813,,18,,79.61188888888888,10.786138888888889,GOOD,GOOD,NO,230KV DC LINE  CROSSING ABOVE OUR LINE,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61188888888888 10.786138888888889, 79.61280555555555 10.785916666666667)"
117,T.NO-2,S,SA,SC,26,3-2,NO,100.89598604503551,1.23,19,,79.61280555555555,10.785916666666667,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61280555555555 10.785916666666667, 79.61438888888888 10.785638888888888)"
118,T.NO-1,T,DD,DC,28,2-1,YES,176.11927776367924,0.96,19,"113°19'41.96""",79.61438888888888,10.785638888888888,GOOD,GOOD,NO,"LT,11KV ",MUD ROAD,SS,"2 EARTH WIRE & 1 ADSS CABLE, ADSS CABLE CONNECT TO NEAREST BSNL TOWER. 1 E/W CONNECT TO 110KV TOWER, OUR E/W CONTINUE TO OUR T.NO -2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61438888888888 10.785638888888888, 79.61427777777777 10.786111111111111)"
119,GANTRY THIRUVARUR 230KV SS,GANTRY,GANTRY,GANTRY,20,1-GANTRY,YES,55.31726674375732,,,,79.61427777777777,10.786111111111111,GOOD,NO EARTH WIRE,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,=SUM(I8:I125),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
