,Tower No, Supspension / Tenion,,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO-100,S,SA,SC,29,101-100,NO,281.51376520518494,2.19,28,,79.39772222222223,10.779194444444446,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39772222222223 10.779194444444446, 79.40047222222223 10.779000000000002)"
19,T.NO-99,S,SA,SC,29,100-99,NO,300.8055850545332,BUSHES,30,,79.40047222222223,10.779000000000002,GOOD,GOOD,NO,3nos LT,"RIVER CROSSING, TAAR ROAD SH",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40047222222223 10.779000000000002, 79.4021388888889 10.778916666666667)"
20,T.NO-98,T,SD,SC,26,99-98,NO,184.27153876819935,2.17,26,"31°32'36.85""",79.4021388888889,10.778916666666667,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4021388888889 10.778916666666667, 79.40380555555556 10.779833333333334)"
21,T.NO-97,T,SD,SC,26,98-97,NO,205.8275977608445,2.01,27,"31°36'45.22""",79.40380555555556,10.779833333333334,GOOD,GOOD,NO,3nos 11KV,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40380555555556 10.779833333333334, 79.40611111111112 10.779694444444445)"
22,T.NO-96,S,SA,SC,26,97-96,NO,252.38858928247924,BUSHES,28,,79.40611111111112,10.779694444444445,GOOD,GOOD,NO,11KV,,PLAIN,FISH  FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40611111111112 10.779694444444445, 79.40822222222222 10.779527777777778)"
23,T.NO-95,S,SA,SC,26,96-95,YES,232.04525420701884,BUSHES,30,,79.40822222222222,10.779527777777778,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40822222222222 10.779527777777778, 79.41086111111112 10.779361111111111)"
24,T.NO-94,T,DB,DC,30,95-94,YES,289.62389404191083,"INSIDE COMPOUND WALL, BUSHES",32,"1°0'7.94""",79.41086111111112,10.779361111111111,GOOD,GOOD,NO,,"MUD ROAD, RIVER CROSSING",PLAIN,OUR EARTH WIRE & FEEDER CONNECT FROM T.NO-95 TO THIRUVARUR 110KV DC T.NO-94 AND CONTINUE T.NO-93 THEN OUR E/W & FEEDER  CONNECT TO OUR T.NO-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41086111111112 10.779361111111111, 79.41327777777778 10.779166666666667)"
25,T.NO-93,T,DB,DC,33,94-93,YES,264.9150807334305,INSIDE COMPOUND WALL,31,"6°44'34.48""",79.41327777777778,10.779166666666667,GOOD,GOOD,NO,LT,"RIVER CROSSING, TAAR ROAD SH",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41327777777778 10.779166666666667, 79.41583333333334 10.778666666666668)"
26,T.NO-92,T,SC,SC,26,93-92,NO,285.7428914251411,1.94,25,"22°37'57.82""",79.41583333333334,10.778666666666668,GOOD,GOOD,NO,11KV cum LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41583333333334 10.778666666666668, 79.41858333333334 10.779222222222224)"
27,T.NO-91,S,SA,SC,26,92-91,NO,305.74662712775756,1.79,27,,79.41858333333334,10.779222222222224,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41858333333334 10.779222222222224, 79.42119444444445 10.77975)"
28,T.NO-90,S,SA,SC,26,91-90,NO,292.41238003887594,WATER,26,,79.42119444444445,10.77975,GOOD,GOOD,NO,"LT, 11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42119444444445 10.77975, 79.42377777777779 10.780277777777778)"
29,T.NO-89,S,SA,SC,26,90-89,NO,288.68321738542403,2.78,21,,79.42377777777779,10.780277777777778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42377777777779 10.780277777777778, 79.42658333333334 10.780805555555556)"
30,T.NO-88,S,SA,SC,26,89-88,NO,311.44823004794875,2.13,26,,79.42658333333334,10.780805555555556,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42658333333334 10.780805555555556, 79.42994444444444 10.781444444444446)"
31,T.NO-87,S,SA,SC,26,88-87,NO,374.5984516785941,BUSHES,23,,79.42994444444444,10.781444444444446,GOOD,GOOD,NO,,2nos NAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42994444444444 10.781444444444446, 79.4323888888889 10.781944444444445)"
32,T.NO-86,S,SA,SC,26,87-86,YES,272.9981684920249,2.15,20,,79.4323888888889,10.781944444444445,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4323888888889 10.781944444444445, 79.43458333333334 10.782416666666668)"
33,T.NO-85,S,SA,SC,26,86-85,YES,244.59149617270018,2.15,24,,79.43458333333334,10.782416666666668,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43458333333334 10.782416666666668, 79.43708333333333 10.782861111111112)"
34,T.NO-84,S,SA,SC,26,85-84,NO,278.3469058567025,2.4,24,,79.43708333333333,10.782861111111112,GOOD,GOOD,NO,,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43708333333333 10.782861111111112, 79.43977777777778 10.783388888888888)"
