S. No ,Tower No,Curcuit,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
13.0,T.NO-12,DC,T,27.0,11-12,YES,262.25369396826426,,76.0,"2°57'48.12""",79.11680555555554,10.765694444444444,GOOD,GOOD,NO,11KV cum LT,2nos TAAR ROAD,PLAIN LAND,"OVER BUSESH, INSIDE COMPOUND WALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11680555555554 10.765694444444444, 79.11919444444443 10.766305555555556)"
14.0,T.NO-13,DC,S,29.0,12-13,YES,270.9132702545226,,75.0,,79.11919444444443,10.766305555555556,GOOD,GOOD,NO,2nos LT,2nos TAAR ROAD,PLAIN LAND,INSIDE COMPOUND WALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11919444444443 10.766305555555556, 79.12155555555555 10.766972222222224)"
15.0,T.NO-14,DC,S,29.0,13-14,YES,268.8215021161812,1.92,73.0,,79.12155555555555,10.766972222222224,GOOD,GOOD,NO,"LT, 11KV",2nos TAAR ROAD,PLAIN LAND,INSIDE COMPOUND WALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12155555555555 10.766972222222224, 79.12369444444444 10.767611111111112)"
16.0,T.NO-15,DC,S,29.0,14-15,YES,243.28789530101986,1.13,71.0,,79.12369444444444,10.767611111111112,GOOD,GOOD,NO,2nos LT,2nos TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12369444444444 10.767611111111112, 79.12572222222222 10.768222222222223)"
17.0,T.NO-16,DC,S,29.0,15-16,YES,232.28000344411913,1.27,73.0,,79.12572222222222,10.768222222222223,GOOD,GOOD,NO,"11KV, LT LINE",2nos TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12572222222222 10.768222222222223, 79.12702777777777 10.768555555555556)"
18.0,T.NO-17 LILO POINT,DC,T,29.0,16-17,YES,145.7737973711325,1.23,76.0,"10°29'51.26""",79.12702777777777,10.768555555555556,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,LILO TO URBAN 110KV (NEED JUCTION BOX) 2 EARTH WIRE. 1 E/W CONNECT TO MANIMANDABAM 110KV T.NO-19. OUR EARTH WIRE CONTINUE TO OUR T.NO- LILO 1 (URBAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12702777777777 10.768555555555556, 79.12747222222221 10.768777777777778)"
19.0,T.NO-1 ,DC,T,29.0,17-LILO-1,YES,56.36488268416781,1.25,76.0,"16°54'39.72""",79.12747222222221,10.768777777777778,GOOD,GOOD,NO,11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12747222222221 10.768777777777778, 79.12908333333333 10.770222222222223)"
20.0,T.NO-2,DC,S,29.0,1-2,YES,238.5979882563975,0.24,75.0,,79.12908333333333,10.770222222222223,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12908333333333 10.770222222222223, 79.13083333333333 10.77175)"
21.0,T.NO3,DC,S,29.0,2-3,YES,254.37177516383377,3.4,76.0,,79.13083333333333,10.77175,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13083333333333 10.77175, 79.1325 10.77325)"
22.0,T.NO-4,DC,S,29.0,3-4,YES,245.0673376849718,1.53,72.0,,79.1325,10.77325,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1325 10.77325, 79.13369444444444 10.774333333333335)"
