S.No,Tower No.,Tower Suspension / Tension,Joint Box Locaton,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,18,T,,H-pole,15,17 - 18,62.14428321,15.8,8.2,3.7,56.2,93,1°26'15''LT,11.59120515,79.42485418,GOOD,NOT Available,230kV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4248541817069 11.5912051498889, 79.4239802006632 11.5917156916111)"
20,19,T,,SC on SC,26,18 - 19,112.0403673,20.3,12.45,7,76.6,93,146°13'33''LT,11.59171569,79.4239802,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4239802006632 11.5917156916111, 79.4215327687561 11.5915667451918)"
21,20,S,,SC on SC,26,19 - 20,268.6751895,22.7,14.55,9.1,82.5,94,1°32'38''RT,11.59156675,79.42153277,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4215327687561 11.5915667451918, 79.4189024437218 11.5913354046642)"
22,21,S,,SC on SC,26,20 - 21,289.2531722,20.45,12.45,7.3,74.6,95,2°30'7''LT,11.5913354,79.41890244,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4189024437218 11.5913354046642, 79.4163265172392 11.5912218298763)"
23,22,S,,SC on SC,26,21 - 22,282.4626154,20.55,12.25,7.7,69.1,95,0°45'34''RT,11.59122183,79.41632652,GOOD,Available,230kV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4163265172392 11.5912218298763, 79.4138883054256 11.5910819359123)"
24,23,S,,SC on SC,26,22 - 23,267.612924,17.75,11.1,4.1,80.2,97,0°27'26''RT,11.59108194,79.41388831,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4138883054256 11.5910819359123, 79.4113217666745 11.5909141302108)"
25,24,S,,SC on SC,26,23 - 24,281.7737367,20.3,11.85,7.7,64.8,95,1°13'45''LT,11.59091413,79.41132177,GOOD,Available,765kV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4113217666745 11.5909141302108, 79.40896586515 11.5908107813447)"
26,25,T,,SC on SC,26,24 - 25,258.4412899,18.7,10.85,5.9,68.3,94,34°8'57''RT,11.59081078,79.40896587,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40896586515 11.5908107813447, 79.4071671087294 11.5894719399511)"
27,26,S,,SC on SC,26,25 - 26,247.0496261,19.35,11.55,6.3,72.6,94,0°20'7''LT,11.58947194,79.40716711,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4071671087294 11.5894719399511, 79.4052221719175 11.588041903451)"
28,27,S,,SC on SC,26,26 - 27,265.8571611,22.55,14.8,8.5,90.2,95,0°43'3''LT,11.5880419,79.40522217,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4052221719175 11.588041903451, 79.4033774826675 11.5867208316922)"
