S.No,Tower No.,Tower Suspension / Tension,Joint Box Locaton,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
83,81,S,,SC on SC,26,80 - 81,232.0757921,14,5.3,3,32.3,57,0°49'51''LT,11.50366095,79.35686974,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3568697385489 11.503660948947, 79.3586810678243 11.5026947669684)"
84,82,S,,SC on SC,26,81 - 82,225.9123497,17.4,8.26,6,36.6,48,0°29'38''RT,11.50269477,79.35868107,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3586810678243 11.5026947669684, 79.3606669921427 11.5016573388129)"
85,83,T,,SC on SC,26,82 - 83,246.425725,14.2,4.8,3.5,21.8,49,43°45'26''LT,11.50165734,79.36066699,GOOD,Available,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3606669921427 11.5016573388129, 79.3609747756272 11.5007459744811)"
86,LILO : 83/1,T,3 Way,DC on DC,28,83 -  83/1,107.5083386,13.95,4.7,3.2,23.7,48,1°2'23''RT,11.50074597,79.36097478,GOOD,Available,HT,,AGRI,LILO UDHANGAL,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3609747756272 11.5007459744811, 79.3613753467798 11.4996272418648)"
87,84,S,,SC on SC,26, 83/1 - 84,132.491638,16.05,6.35,5.2,19.3,42,1°3'59''RT,11.49962724,79.36137535,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3613753467798 11.4996272418648, 79.3621758185327 11.497516259551)"
88,85,S,,SC on SC,26,84 - 85,250.5584375,15.95,6.3,5.1,20.6,40,3°16'34''LT,11.49751626,79.36217582,GOOD,Available,HT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3621758185327 11.497516259551, 79.3628668226301 11.4953233860433)"
89,86,S,,SC on SC,26,85 - 86,255.2658602,15.9,6.2,5.1,19,37,5°51'20''RT,11.49532339,79.36286682,GOOD,Available,"LT,400kV",,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3628668226301 11.4953233860433, 79.3638516124337 11.4930417481809)"
90,87,S,,SC on SC,26,86 - 87,275.5567329,15.65,6.05,4.8,21.4,39,1°11'42''LT,11.49304175,79.36385161,GOOD,Available,400kV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3638516124337 11.4930417481809, 79.3647255096584 11.4908950589597)"
91,88,S,,SC on SC,26,87 - 88,257.1376815,15.95,6.15,5.2,15.5,38,1°34'1''LT,11.49089506,79.36472551,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3647255096584 11.4908950589597, 79.3656843155622 11.4883420150727)"
92,89,T,,SC on SC,26,88 - 89,302.4130552,16.15,6.45,5.3,19.5,30,44°20'47''RT,11.48834202,79.36568432,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3656843155622 11.4883420150727, 79.3671548366546 11.4876541122794)"
93,90,S,,SC on SC,26,89 - 90,178.819092,17.25,7.6,6.2,23.6,38,0°13'56''LT,11.48765411,79.36715484,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3671548366546 11.4876541122794, 79.368836749345 11.4868590049445)"
94,91,S,,SC on SC,26,90 - 91,204.7413606,16.6,6.85,5.7,18.7,38,4°15'25''RT,11.486859,79.36883675,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.368836749345 11.4868590049445, 79.3704810272902 11.4862263388931)"
95,92,T,,SC on SC,26,91 - 92,193.8137835,15.2,5.5,4.5,17.4,37,15°23'15''LT,11.48622634,79.37048103,GOOD,Available,2-HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3704810272902 11.4862263388931, 79.3723772652447 11.4848266448825)"
96,93,T,,SC on SC,26,92 - 93,259.6576703,16.3,6.45,5.5,13.9,38,24°19'5''LT,11.48482664,79.37237727,GOOD,NO E/W,"LT,230kV",CANAL,WATER LOGGED,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3723772652447 11.4848266448825, 79.3734421860426 11.48292504251)"
97,94,S,,SC on SC,26,93 - 94,241.555197,15.95,6.2,5.2,17.4,39,1°46'59''LT,11.48292504,79.37344219,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3734421860426 11.48292504251, 79.3742762692272 11.4813204947859)"
98,95,T,,SC on SC,26,94 - 95,200.7100713,16.35,6.6,5.5,18.2,38,9°50'36''RT,11.48132049,79.37427627,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3742762692272 11.4813204947859, 79.3754768092185 11.4797451160848)"
99,96,T,,SC on SC,26,95 - 96,219.2524051,15.1,5.45,4.4,18.6,39,25°6'56''LT,11.47974512,79.37547681,GOOD,Available,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3754768092185 11.4797451160848, 79.375853408128 11.4780024345964)"
100,97,S,,SC on SC,26,96 - 97,198.350639,14.75,5.1,4.1,17.8,39,0°41'1''LT,11.47800243,79.37585341,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.375853408128 11.4780024345964, 79.3762212060391 11.47619638592)"
101,98,S,,SC on SC,26,97 - 98,205.0200705,14.35,4.9,3.6,21.3,39,1°11'7''LT,11.47619639,79.37622121,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3762212060391 11.47619638592, 79.3765239603817 11.4745346736162)"
102,99,T,2 Way,SC on SC,26,98 - 99,188.0080321,14.4,4.5,3.7,20.4,40,12°42'60''LT,11.47453467,79.37652396,GOOD,Available,HT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3765239603817 11.4745346736162, 79.3764221202582 11.4720954559743)"
103,100,S,,SC on SC,26,99 - 100,271.2973901,16.7,6.15,5.9,8.4,39,2°30'12''LT,11.47209546,79.37642212,GOOD,Available,LT,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3764221202582 11.4720954559743, 79.376212824136 11.4696511253714)"
104,101,S,,SC on SC,26,100 - 101,272.5968799,15.65,6,4.9,19.9,39,2°38'7''RT,11.46965113,79.37621282,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.376212824136 11.4696511253714, 79.3761247303336 11.4674176834523)"
105,102,S,,SC on SC,26,101 - 102,248.4932851,15.2,5.55,4.5,18.9,41,4°49'39''LT,11.46741768,79.37612473,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3761247303336 11.4674176834523, 79.3759144283831 11.4657259639352)"
106,103,T,,DC on DC,28,102 - 103,189.7843076,14.55,5.1,3.8,21.9,41,3°10'27''RT,11.46572596,79.37591443,GOOD,Available,"4-HT,LT",ROAD,AGRI,LILO to KIRANUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3759144283831 11.4657259639352, 79.3758637178689 11.4649844169616)"
107,104,T,,SC on SC,26,103 - 104,83.46400899,14.35,4.95,3.6,22.3,44,50°26'31''RT,11.46498442,79.37586372,GOOD,Available,"2-HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3758637178689 11.4649844169616, 79.3775039725005 11.4634294901043)"
108,105,S,,SC on SC,26,104 - 105,249.4736113,12.05,3.7,1.4,26.5,41,0°20'49''LT,11.46342949,79.37750397,GOOD,Available,2-LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3775039725005 11.4634294901043, 79.3792088516056 11.4617935940623)"
109,106,S,,SC on SC,26,105 - 106,260.7691695,12.75,4.45,1.9,30.9,41,0°18'48''LT,11.46179359,79.37920885,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3792088516056 11.4617935940623, 79.3809045106172 11.4601486455649)"
110,107,T,,SC on SC,26,106 - 107,260.7506931,14.85,5.1,4.2,15.2,41,21°35'51''LT,11.46014865,79.38090451,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3809045106172 11.4601486455649, 79.3817584589123 11.4582549221813)"
111,108,S,,SC on SC,26,107 - 108,230.5154583,15.2,5.8,4.3,25,40,1°5'46''RT,11.45825492,79.38175846,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3817584589123 11.4582549221813, 79.3827973958104 11.4560638088732)"
112,109,S,,SC on SC,26,108 - 109,268.8240523,13.55,4.35,2.9,23,36,0°18'12''LT,11.45606381,79.3827974,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3827973958104 11.4560638088732, 79.3838179763406 11.4538816642016)"
113,110,S,,SC on SC,26,109 - 110,267.0806803,15.4,5.85,4.6,22,36,0°30'36''LT,11.45388166,79.38381798,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3838179763406 11.4538816642016, 79.3848108965903 11.4517084881663)"
114,111,S,,SC on SC,26,110 - 111,264.9259335,15.5,5.95,4.7,22.3,36,0°35'7''RT,11.45170849,79.3848109,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3848108965903 11.4517084881663, 79.3857757374644 11.4496525749564)"
115,112,T,,SC on SC,26,111 - 112,251.8544094,15.75,6.1,4.9,20.2,37,5°35'59''LT,11.44965257,79.38577574,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3857757374644 11.4496525749564, 79.3865859322249 11.4473698474466)"
116,113,S,,SC on SC,26,112 - 113,268.7855412,18.4,9,7.7,20.4,35,0°53'23''LT,11.44736985,79.38658593,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3865859322249 11.4473698474466, 79.3873595818877 11.4450778160244)"
117,114,T,2 Way,SC on SC,26,113 - 114,268.4707609,16.15,8.8,3.7,61.5,33,1°46'25''RT,11.44507782,79.38735958,GOOD,Available,,MUD ROAD,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3873595818877 11.4450778160244, 79.3884111754596 11.4422539528459)"
118,115,T,,SC on SC,26,114 - 115,334.0246729,15.6,7.6,3.8,49.8,35,0°42'41''RT,11.44225395,79.38841118,GOOD,Available,,"RIVER,MUD ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3884111754596 11.4422539528459, 79.3890808057039 11.4405218325555)"
119,116,S,,SC on SC,26,115 - 116,206.3106495,17.95,9.15,6.2,47.4,33,0°20'2''RT,11.44052183,79.38908081,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3890808057039 11.4405218325555, 79.389889743179 11.4384650811553)"
120,117,S,,SC on SC,26,116 - 117,245.2837647,17.75,9.96,6.1,45.6,32,29°42'13''LT,11.43846508,79.38988974,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.389889743179 11.4384650811553, 79.3895192630589 11.4359046611934)"
121,118,S,,SC on SC,26,117 - 118,287.3440077,22.4,14.3,8.8,82.1,34,30°55'22''RT,11.43590466,79.38951926,GOOD,Available,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3895192630589 11.4359046611934, 79.3902810104191 11.434082686901)"
122,119,S,,SC on SC,26,118 - 119,219.258332,15.95,7.65,4.3,47.3,36,21°27'29''RT,11.43408269,79.39028101,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3902810104191 11.434082686901, 79.3924195691943 11.4318795036524)"
123,120,S,,SC on SC,26,119 - 120,338.6705424,13.6,4.25,3,20.8,36,23°27'47''LT,11.4318795,79.39241957,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3924195691943 11.4318795036524, 79.3932847492396 11.4295879751443)"
124,121,S,,SC on SC,26,120 - 121,271.7406747,12.4,3.25,1.9,19.2,36,1°0'5''RT,11.42958798,79.39328475,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3932847492396 11.4295879751443, 79.3941492587327 11.4274139609187)"
125,122,S,,SC on SC,26,121 - 122,259.5725133,11.45,2.55,1,17.4,36,1°2'24''RT,11.42741396,79.39414926,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3941492587327 11.4274139609187, 79.3951617088168 11.4249966200441)"
126,123,S,,SC on SC,26,122 - 123,290.5718146,14.2,4.8,3.5,21.8,44,3°24'43''LT,11.42499662,79.39516171,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3951617088168 11.4249966200441, 79.3958415649831 11.423056712374)"
127,124,T,2 way,SC on SC,26,123 - 124,228.297196,11.65,2.65,1.2,17.6,41,11°1'6''LT,11.42305671,79.39584156,GOOD,Available,LT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3958415649831 11.423056712374, 79.3962037470191 11.4205725677311)"
128,125,S,,SC on SC,26,124 - 125,278.8628057,13.15,3.5,2.7,13.8,38,3°22'13''LT,11.42057257,79.39620375,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3962037470191 11.4205725677311, 79.3963703792542 11.4186387788504)"
129,126,S,,SC on SC,26,125 - 126,215.9284877,13.35,3.75,2.8,15.4,38,10°20'33''RT,11.41863878,79.39637038,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3963703792542 11.4186387788504, 79.3971095792949 11.4159306697547)"
130,127,S,,SC on SC,26,126 - 127,311.4800558,12.6,3.35,2.1,18.7,37,10°43'29''LT,11.41593067,79.39710958,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3971095792949 11.4159306697547, 79.3973264191299 11.4132016059011)"
131,128,S,,SC on SC,26,127 - 128,304.0525006,12.3,3.15,1.8,18.8,37,3°10'42''RT,11.41320161,79.39732642,GOOD,Available,2-HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3973264191299 11.4132016059011, 79.3976705800741 11.4106631465256)"
132,129,S,,SC on SC,26,128 - 129,284.5433241,13.5,3.9,3,15.8,39,2°3'48''RT,11.41066315,79.39767058,GOOD,Available,2-LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3976705800741 11.4106631465256, 79.3980210274457 11.4086309541016)"
133,130,S,,SC on SC,26,129 - 130,229.2717809,14.3,5.1,3.5,15.8,39,1°14'19''RT,11.40863095,79.39802103,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3980210274457 11.4086309541016, 79.3984361831098 11.4064996875822)"
134,131,T,,SC on SC,26,130 - 131,241.3147357,13.1,4.95,2.1,34.5,39,54°11'48''LT,11.40649969,79.39843618,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3984361831098 11.4064996875822, 79.396705487743 11.4046549983322)"
135, 131/1,T,,SC on SC,26,131 -  131/1,279.2984148,11.65,2.7,1.2,18.2,41,34°38'24''LT,11.404655,79.39670549,GOOD,Available,2-LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.396705487743 11.4046549983322, 79.3963577225804 11.4045798964798)"
136, 131/2,T,,H-pole,15, 131/1 -  131/2,40.1013801,15,5.1,4.4,9.7,40,12°0'42''LT,11.4045799,79.39635772,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3963577225804 11.4045798964798, 79.3960003182291 11.4045788068324)"
137, 131/3,T,,H-pole,15, 131/2 -  131/3,40.25497604,13.35,3.75,2.8,15.4,41,170°23'34''RT,11.40457881,79.39600032,GOOD,Available,230kV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3960003182291 11.4045788068324, 79.3957894295454 11.4046138431876)"
138, 131/4,T,,SC on SC,26, 131/3 -  131/4,24.58904986,14.75,5.35,4,23.6,41,15°2'17''LT,11.40461384,79.39578943,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3957894295454 11.4046138431876, 79.3949258420616 11.4050068706274)"
139, 131/5,T,,DC on DC,28, 131/4 -  131/5,105.0403137,13.55,4.4,2.8,23.8,40,86°1'12''LT,11.40500687,79.39492584,GOOD,Available,HT,,AGRI,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3949258420616 11.4050068706274, 79.3951154407113 11.4055142272263)"
140," Gantry 
( Srimushnam SS )",T,2 Way,H-pole,15, 131/5 -  Gantry ,61.0643674,,,,,42,,11.40551423,79.39511544,GOOD,NO E/W,HT,ROAD,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
