S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,line_geom
21,21,S,,DA,26,20-21,329.6034559,37.718948,,12.01051304,79.52380397,,,,,,,,,,,GOOD,NO E/W,"HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5238039735704 12.0105130411684, 79.5263410080224 12.0091619621962)"
22,LILO : 22,T,3W,DC,26,21-22LILO,314.0902324,39.397453,"1°57'13"" R",12.00916196,79.52634101,3W,,,,14.2,6.2,2.8,42.3,,,GOOD,NO E/W,LT,,AGRI,LILO  to Vikravandi,2W,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5263410080224 12.0091619621962, 79.5284369867295 12.0079530403018)"
23,23,T,,DC,26,22LILO-23,264.5212819,40.250729,"29°3'40"" R",12.00795304,79.52843699,,,,,16.2,8.2,4.2,52.9,,,GOOD,NO E/W,"LT,HT -2NO",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5284369867295 12.0079530403018, 79.5300608128309 12.0052470266819)"
24,24,T,,DC,26,23-24,347.6467236,38.787022,"42°55'15"" L",12.00524703,79.53006081,,,,,18.5,10.4,5.2,68,,,GOOD,Available,"LT,HT -2NO",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5300608128309 12.0052470266819, 79.532947037369 12.0044049806892)"
25,25,S,,DA,26,24-25,327.7967712,39.008125,,12.00440498,79.53294704,,,,,,,,,,,GOOD,NO E/W,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.532947037369 12.0044049806892, 79.5352620352059 12.0037689618766)"
26,26,T,,DC,26,25-26,261.7170881,39.007122,"0°28'9"" R",12.00376896,79.53526204,,,,,13.15,6.15,1.5,46.7,,,GOOD,NO E/W,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5352620352059 12.0037689618766, 79.5377559866756 12.0030620321631)"
27,27,T,,DC,26,26-27,282.6047296,41.569992,"0°22'13"" R",12.00306203,79.53775599,,,,,12.35,4.1,1.6,29.2,,,GOOD,Available,LT -4NO,"ROAD , POND",AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5377559866756 12.0030620321631, 79.5402470044791 12.0023730397224)"
28,28,S,,DA,26,27-28,281.7549967,40.592247,,12.00237304,79.540247,,,,,,,,,,,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5402470044791 12.0023730397224, 79.5428410358726 12.0016640145331)"
29,29,S,,DA,26,28-29,293.1553496,40.329128,,12.00166401,79.54284104,,,,,,,,,,,GOOD,Available,"LT,HT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5428410358726 12.0016640145331, 79.5453339815139 12.0009799674153)"
30,30,S,,DA,26,29-30,281.8104715,40.370998,,12.00097997,79.54533398,,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5453339815139 12.0009799674153, 79.5476539246737 12.0003213174641)"
31,31,S,,DA,26,30-31,262.9201271,39.243858,,12.00032132,79.54765392,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5476539246737 12.0003213174641, 79.5502020232379 11.9995930138975)"
32,32,S,,DA,26,31-32,288.9274495,38.518311,,11.99959301,79.55020202,,,,,,,,,,,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5502020232379 11.9995930138975, 79.5523818209767 11.9989911094307)"
33,33,S,,DA,26,32-33,246.5248715,38.553871,,11.99899111,79.55238182,,,,,,,,,,,GOOD,Available,LT -2NO,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5523818209767 11.9989911094307, 79.5548529736697 11.9982329662889)"
34,34,T,2W,DC,26,33-34,281.8556629,40.670219,"9°21'54"" R",11.99823297,79.55485297,2W,,,,12.35,3.8,1.7,26.1,,,GOOD,Available,"HT,LT -3NO",ROAD,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5548529736697 11.9982329662889, 79.5568969845771 11.9972220249474)"
35,35,S,,DA,26,34-35,249.0896224,38.052052,,11.99722202,79.55689698,,,,,,,,,,,GOOD,Available,LT -3NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5568969845771 11.9972220249474, 79.5591300074011 11.99611896649)"
36,36,S,,DA,26,35-36,272.0560245,38.019962,,11.99611897,79.55913001,,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5591300074011 11.99611896649, 79.5610076375305 11.9951842166483)"
37,37,S,,DA,26,36-37,229.1185293,37.395489,,11.99518422,79.56100764,,,,,,,,,,,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5610076375305 11.9951842166483, 79.5633669756352 11.994009995833)"
38,38,S,,DA,26,37-38,287.8827843,36.53989,,11.99401,79.56336698,,,,,,,,,,,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5633669756352 11.994009995833, 79.5656974799931 11.99282085523)"
39,39,T,,DC,26,38-39,285.8405255,37.634842,"24°25'7"" L",11.99282086,79.56569748,,,,,12.4,4.15,1.6,29.5,,,GOOD,Available,LT -2NO,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5656974799931 11.99282085523, 79.568076012656 11.9926989823579)"
40,40,S,,DA,26,39-40,259.3603967,38.956909,,11.99269898,79.56807601,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.568076012656 11.9926989823579, 79.5705230254679 11.9924590084701)"
41,41,S,,DA,26,40-41,267.785669,38.454285,,11.99245901,79.57052303,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5705230254679 11.9924590084701, 79.5728640072047 11.9922590162605)"
42,42,S,,DA,26,41-42,255.8786068,37.669136,,11.99225902,79.57286401,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5728640072047 11.9922590162605, 79.5755280274897 11.9920150190591)"
43,43,S,,DA,26,42-43,291.3504438,38.895187,,11.99201502,79.57552803,,,,,,,,,,,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5755280274897 11.9920150190591, 79.5783109869807 11.9917440321296)"
44,44,S,,DA,26,43-44,304.5282483,38.746464,,11.99174403,79.57831099,,,,,,,,,,,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5783109869807 11.9917440321296, 79.5807870011776 11.9915219955146)"
45,45,S,,DA,26,44-45,270.7409856,37.979008,,11.991522,79.580787,,,,,,,,,,,GOOD,Available,LT -2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5807870011776 11.9915219955146, 79.5832419767975 11.9912960194051)"
46,46,S,,DA,26,45-46,268.4996813,38.187912,,11.99129602,79.58324198,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5832419767975 11.9912960194051, 79.5846244879066 11.9911469891667)"
47,47,T,2W,DC,26,46-47,151.4478341,38.167091,"26°6'4"" L",11.99114699,79.58462449,2W,,,,10.3,7.75,0,27.6,,,GOOD,Available,"LT,HT",CANAL,Water Logged,,2W,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5846244879066 11.9911469891667, 79.5869760308414 11.991982832551)"
48,48,S,,DA,26,47-48,272.2486821,19.59765625,,11.99198283,79.58697603,,,,,,,,,,,GOOD,NO E/W,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5869760308414 11.991982832551, 79.5891112368553 11.9927432388067)"
49,49,T,,DC,26,48-49,247.2563517,38.384865,"21°36'22"" R",11.99274324,79.58911124,,,,,12.95,4.05,2.3,24.8,,,GOOD,NO E/W,LT,"ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5891112368553 11.9927432388067, 79.5915900170803 11.992669980973)"
50,50,S,,DA,26,49-50,270.0452766,38.118111,,11.99266998,79.59159002,,,,,,,,,,,GOOD,NO E/W,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5915900170803 11.992669980973, 79.5940749999135 11.9926320109516)"
51,51,S,,DA,26,50-51,270.6314713,36.897522,,11.99263201,79.594075,,,,,,,,,,,GOOD,NO E/W,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5940749999135 11.9926320109516, 79.5964609924703 11.9925910234451)"
52,52,S,,DA,26,51-52,259.858795,37.351562,,11.99259102,79.59646099,,,,,,,,,,,GOOD,NO E/W,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5964609924703 11.9925910234451, 79.5988690294325 11.99253000319)"
53,53,S,,DA,26,52-53,262.3063782,37.601295,,11.99253,79.59886903,,,,,,,,,,,GOOD,NO E/W,HT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5988690294325 11.99253000319, 79.6013579517602 11.992522040382)"
54,54,S,,DA,26,53-54,271.0286103,27,,11.99252204,79.60135795,,,,,,,,,,,GOOD,NO E/W,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6013579517602 11.992522040382, 79.6041202079504 11.9925033487379)"
55,55,S,,DA,26,54-55,300.7982249,35,,11.99250335,79.60412021,,,,,,,,,,,GOOD,NO E/W,230 KV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6041202079504 11.9925033487379, 79.6068955399096 11.9925315957516)"
56,56,S,,DA,26,55-56,302.230785,35.471157,,11.9925316,79.60689554,,,,,,,,,,,GOOD,NO E/W,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6068955399096 11.9925315957516, 79.6098616439849 11.992564368993)"
57,57,T,,DC,26,56-57,323.008338,34.848698,"0°42'36"" R",11.99256437,79.60986164,,,,,14.55,4.9,3.9,17.3,,,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6098616439849 11.992564368993, 79.6123158652335 11.9925615191459)"
58,58,T,,DC,26,57-58,267.2474108,35,"1°29'2"" L",11.99256152,79.61231587,,,,,14.2,5.3,3.3,30.2,,,GOOD,NO E/W,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6123158652335 11.9925615191459, 79.6126258280128 11.9925690628588)"
59,"Gantry 
(Madhurapakkam SS)",Gantry,2W,H-POLE,12,58-Gantry,33.76303318,35.170216,,11.99256906,79.61262583,2W,,,,,,,,,,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
