S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,177,S,,SA,22,178-177,317.5793286,3.19,30.219889,,10.46616667,79.29658333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29658333333333 10.466166666666666, 79.29552777777778 10.468833333333334)"
22,176,S,,SA,22,177-176,319.2086458,2.84,28.379169,,10.46883333,79.29552778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29552777777778 10.468833333333334, 79.29461111111111 10.471055555555555)"
23,175,T,,SC,22,176-175,264.9496058,3.94,28.462086,"3°27'26"" L",10.47105556,79.29461111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29461111111111 10.471055555555555, 79.29366666666667 10.473083333333333)"
24,174,S,,SA,22,175-174,255,1.52,32.743858,,10.47308333,79.29366667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29366666666667 10.473083333333333, 79.29275 10.474972222222222)"
25,173,S,,SA,22,174-173,232.1321376,6.03,31.768576,,10.47497222,79.29275,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29275 10.474972222222222, 79.29169444444445 10.477083333333333)"
26,172,S,,SA,22,173-172,261.8607343,2.48,30.360159,,10.47708333,79.29169444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29169444444445 10.477083333333333, 79.29075 10.479027777777778)"
27,171,T,,SC,22,172-171,239.3906492,1.09,29.890261,"13°16'33"" L",10.47902778,79.29075,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29075 10.479027777777778, 79.29030555555555 10.479555555555555)"
28,170,T,,H-POLE,22,171-170,74.15637893,2.65,29.418385,"2°47'42"" L",10.47955556,79.29030556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29030555555555 10.479555555555555, 79.28983333333333 10.480083333333333)"
29,169,T,,H-POLE,22,170-169,78.23570326,2.45,29.190111,"2°10'16"" L",10.48008333,79.28983333,GOOD,Available,230 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28983333333333 10.480083333333333, 79.2893888888889 10.480527777777779)"
30,168,T,2W,SC,22,169-168,68.56254604,4.17,30.506409,"30°32'45"" R",10.48052778,79.28938889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2893888888889 10.480527777777779, 79.28888888888889 10.482583333333334)"
31,167,S,,SA,22,168-167,235.4605382,3.62,29.035973,,10.48258333,79.28888889,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28888888888889 10.482583333333334, 79.28825 10.485166666666666)"
32,166,S,,SA,22,167-166,292.0937505,6.11,25.82472,,10.48516667,79.28825,GOOD,Available,HT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28825 10.485166666666666, 79.28769444444444 10.487138888888888)"
33,165,S,,SA,22,166-165,226.0302635,7.14,25.626957,,10.48713889,79.28769444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28769444444444 10.487138888888888, 79.28716666666666 10.489194444444443)"
34,164,S,,SA,22,165-164,265,5.53,26.580511,,10.48919444,79.28716667,GOOD,Available,,RIVER,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28716666666666 10.489194444444443, 79.28661111111111 10.491388888888888)"
35,163,S,,SA,22,164-163,249.6974598,2.65,28.237457,,10.49138889,79.28661111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28661111111111 10.491388888888888, 79.28605555555555 10.493611111111111)"
36,162,S,,SA,22,163-162,254.2573699,2.71,27.771376,,10.49361111,79.28605556,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28605555555555 10.493611111111111, 79.28547222222223 10.495861111111111)"
37,161,T,,SC,22,162-161,255.335368,3.04,29.351536,"14°31'6"" L",10.49586111,79.28547222,GOOD,Available,,"ROAD,POND",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28547222222223 10.495861111111111, 79.28444444444445 10.497666666666666)"
38,160,S,,SA,22,161-160,230.7680919,2.08,29.692524,,10.49766667,79.28444444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28444444444445 10.497666666666666, 79.28325 10.499749999999999)"
39,159,S,,SA,22,160-159,264.6538058,5.27,31.354931,,10.49975,79.28325,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28325 10.499749999999999, 79.2821388888889 10.501694444444444)"
40,158,S,,SA,22,159-158,244.8438435,1.1,31.37392,,10.50169444,79.28213889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2821388888889 10.501694444444444, 79.28091666666667 10.503722222222223)"
41,157,S,,SA,22,158-157,263.0291256,4.15,31.032776,,10.50372222,79.28091667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28091666666667 10.503722222222223, 79.27966666666667 10.50586111111111)"
42,156,S,,SA,22,157-156,272.3405817,8.32,31.702604,,10.50586111,79.27966667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27966666666667 10.50586111111111, 79.27847222222222 10.507944444444444)"
43,155,S,,SA,22,156-155,266.0061859,6.59,34.142624,,10.50794444,79.27847222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27847222222222 10.507944444444444, 79.27713888888889 10.510333333333334)"
44,154,T,2W,SC,22,155-154,300.5123026,2.18,36.250996,"0°51'53"" L",10.51033333,79.27713889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27713888888889 10.510333333333334, 79.27577777777778 10.512694444444444)"
45,153,S,,SA,22,154-153,302.6879302,4.61,36.126392,,10.51269444,79.27577778,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27577777777778 10.512694444444444, 79.2743611111111 10.515277777777778)"
46,152,S,,SA,22,153-152,324.851302,6.53,36.039478,,10.51527778,79.27436111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2743611111111 10.515277777777778, 79.27327777777778 10.517166666666668)"
