S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 99,S,,DP,15,100-99,49.979996,,47,,11.50036429,79.33350612,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33350611798178 11.500364289907933, 79.33352673558676 11.499975681060478)"
12,T.NO 98,S,,DP,15,99-98,43.0464865,,47,,11.49997568,79.33352674,,,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33352673558676 11.499975681060478, 79.33355720987738 11.499469606517081)"
13,T.NO 97,S,,DP,15,98-97,56.08029957,,45,,11.49946961,79.33355721,,,GOOD,MISSING,230KV CROSSING ABOVE ,,PLAIN,NEYVELI - SALEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33355720987738 11.499469606517081, 79.33356775776053 11.499234622726888)"
14,T.NO 96,S,,DP,15,97-96,26.01922366,,48,,11.49923462,79.33356776,,,GOOD,MISSING,400KV CROSSING ABOVE,,PLAIN,NEYVELI - DEVIYAKURICHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33356775776053 11.499234622726888, 79.33358678024149 11.499117209472685)"
15,T.NO 96A,T,2W,DB,24,96-96A,13.15294644,3.63,49,"6°1'11""",11.49911721,79.33358678,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33358678024149 11.499117209472685, 79.3336176261993 11.498547855879155)"
16,T.NO 95,T,2W,DD,28,96A-95,63.07138812,2.85,45,"63°28'39""",11.49854786,79.33361763,,,GOOD,GOOD,,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3336176261993 11.498547855879155, 79.33293243325791 11.49816424938613)"
17,T.NO 94,T,,DB,24,95-94,85.95929269,4.25,50,"6°30'43""",11.49816425,79.33293243,,,GOOD,GOOD,LT-1,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33293243325791 11.49816424938613, 79.3309426760716 11.496733554082455)"
18,T.NO 93,T,,DB,24,94-93,268.6503304,5.15,49,"10°0'37""",11.49673355,79.33094268,,,GOOD,GOOD,,RIVER-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3309426760716 11.496733554082455, 79.32873984032292 11.495690351849518)"
19,T.NO 92,S,,DA,26,93-92,266.6027007,4.35,51,,11.49569035,79.32873984,,,GOOD,GOOD,LT-2,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32873984032292 11.495690351849518, 79.32783511526587 11.495233154910627)"
20,T.NO 91 C,T,,DD,28,92-91C,110.9098733,5.83,52,"58°4'46""",11.49523315,79.32783512,,,GOOD,GOOD,,SCHOOL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32783511526587 11.495233154910627, 79.32776573684036 11.494563786703033)"
21,T.NO 91 B,T,,DD,28,91C-91B,74.43117626,4.62,52,"77°42'52""",11.49456379,79.32776574,,,GOOD,GOOD,,SCHOOL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32776573684036 11.494563786703033, 79.32673983804543 11.494449416768836)"
22,T.NO 91 A,T,,DD,28,91B-91A,112.6410227,2.75,52,"65°39'0""",11.49444942,79.32673984,,,GOOD,GOOD,,SCHOOL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32673983804543 11.494449416768836, 79.32664727574996 11.494602567560557)"
23,T.NO 91,T,,DD,28,91A-91,19.72308292,3.18,50,"50°47'18""",11.49460257,79.32664728,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32664727574996 11.494602567560557, 79.32628950005986 11.494654753849515)"
24,T.NO 90,S,,DP,15,91-90,39.45883931,,51,,11.49465475,79.3262895,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32628950005986 11.494654753849515, 79.3258952757278 11.494670569791925)"
25,T.NO 89,S,,DP,15,90-89,43.0464865,,51,,11.49467057,79.32589528,,,GOOD,MISSING,230KV CROSSING ABOVE ,,CULTIVACTION LAND,NEYVELI - ECHANKADU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3258952757278 11.494670569791925, 79.32557496293393 11.494587368462787)"
26,T.NO 88,T,2W,DD,28,89-88,36.138622,2.95,51,"50°53'34""",11.49458737,79.32557496,Yes,,GOOD,GOOD,,,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32557496293393 11.494587368462787, 79.32442552681194 11.49211280852617)"
