S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Perambalur SS),Gantry,2W,H-POLE,12,,,,135.512436,,11.23872222,78.89194444,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89194444444445 11.238722222222222, 78.89147222222223 11.238833333333332)"
2,1,T,,DC,26,Gantry-1,52.76430342,2.1,136.200546,"0°28'19""R",11.23883333,78.89147222,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89147222222223 11.238833333333332, 78.88972222222223 11.239305555555555)"
3,2,T,,DC,26,01-Feb,198.3749523,1.12,139.443832,"41°38'38""L",11.23930556,78.88972222,GOOD,Available,"HT-3No,LT-2No",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88972222222223 11.239305555555555, 78.8883888888889 11.238638888888888)"
4,3,T,,DC,26,02-Mar,162.2064679,4.2,137.502655,"79°1'34""R",11.23863889,78.88838889,GOOD,Available,LT-2No,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8883888888889 11.238638888888888, 78.88727777777778 11.240055555555555)"
5,4,T,,DB,25,03-Apr,197.9139664,4.62,137.616974,"4°49'31""L",11.24005556,78.88727778,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88727777777778 11.240055555555555, 78.8853888888889 11.242083333333332)"
6,5,S,,DA,26,04-May,304.8992675,2.41,141.202194,,11.24208333,78.88538889,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8853888888889 11.242083333333332, 78.88344444444445 11.244194444444444)"
7,6,S,,DA,26,05-Jun,314.6406467,1.91,143.103058,,11.24419444,78.88344444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88344444444445 11.244194444444444, 78.88163888888889 11.246166666666666)"
8,7,S,,DA,26,06-Jul,295.3165246,2.87,144.141907,,11.24616667,78.88163889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88163888888889 11.246166666666666, 78.87969444444444 11.248305555555556)"
9,8,T,,DC,26,07-Aug,319.2563656,3.21,141.117249,"36°31'4""L",11.24830556,78.87969444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87969444444444 11.248305555555556, 78.87686111111111 11.248888888888889)"
10,9,S,,DA,26,08-Sep,315.1017588,1.27,140.391724,,11.24888889,78.87686111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87686111111111 11.248888888888889, 78.87405555555554 11.2495)"
11,10,T,,DB,25,09-Oct,314.6174573,2.33,141.285645,"14°21'25""L",11.2495,78.87405556,GOOD,Available,LT,ST Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87405555555554 11.2495, 78.8715 11.249416666666665)"
12,11,S,,DA,26,10-Nov,278.9610474,2.27,138.329544,,11.24941667,78.8715,GOOD,Available,"LT,HT",Main Road Perambalur City,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8715 11.249416666666665, 78.869 11.24936111111111)"
13,12,S,,DA,26,11-Dec,271.4393492,1.2,140.342209,,11.24936111,78.869,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.869 11.24936111111111, 78.86652777777778 11.249277777777777)"
14,13,S,,DA,26,Dec-13,272.9492368,2.47,140.645401,,11.24927778,78.86652778,GOOD,Available,LT,ST Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86652777777778 11.249277777777777, 78.86399999999999 11.24922222222222)"
15,14,S,,DA,26,13-14,274.7707147,1.55,142.878403,,11.24922222,78.864,GOOD,Available,LT,ST Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86399999999999 11.24922222222222, 78.86149999999999 11.249138888888888)"
16,15,T,2W,DC,26,14-15,273.3434494,3.72,142.849258,"22°56'26""L",11.24913889,78.8615,GOOD,Available,"LT,HT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86149999999999 11.249138888888888, 78.85930555555555 11.248138888888889)"
17,16,S,,DA,26,15-16,263.048337,1.68,144.320374,,11.24813889,78.85930556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85930555555555 11.248138888888889, 78.85733333333333 11.247277777777777)"
18,17,S,,DA,26,16-17,238.1139605,2.9,144.706314,,11.24727778,78.85733333,GOOD,Available,"LT,HT",Selam -Perambalur NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85733333333333 11.247277777777777, 78.85477777777777 11.24611111111111)"
19,18,T,,DB,25,17-18,306.5659063,4.05,146.291306,"5°36'35""R",11.24611111,78.85477778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85477777777777 11.24611111111111, 78.85247222222222 11.245305555555555)"
20,19,S,,DA,26,18-19,265.0228571,3.1,145.854218,,11.24530556,78.85247222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85247222222222 11.245305555555555, 78.85027777777778 11.244527777777776)"
21,20,S,,DA,26,19-20,255.583853,1.95,148.502975,,11.24452778,78.85027778,GOOD,Available,,Perambalur City,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85027777777778 11.244527777777776, 78.84811111111111 11.243805555555555)"
22,21,S,,DA,26,20-21,249.8117411,2.35,147.670761,,11.24380556,78.84811111,GOOD,Available,,Perambalur City,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84811111111111 11.243805555555555, 78.84591666666667 11.242999999999999)"
23,22,T,,DB,25,21-22,257.3253393,1.78,147.210876,"10°32'1""L",11.243,78.84591667,GOOD,Available,,Perambalur City,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84591666666667 11.242999999999999, 78.84394444444445 11.241805555555555)"
24,23,S,,DA,26,22-23,250.7767657,2.42,146.933319,,11.24180556,78.84394444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84394444444445 11.241805555555555, 78.84183333333333 11.240555555555554)"
25,24,S,,DA,26,23-24,268.0700407,1.31,147.686523,,11.24055556,78.84183333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84183333333333 11.240555555555554, 78.8398611111111 11.239305555555555)"
26,25,S,,DA,26,24-25,257.4238745,2.11,149.414444,,11.23930556,78.83986111,GOOD,Available,,College Inside,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8398611111111 11.239305555555555, 78.83780555555555 11.23811111111111)"
27,26,S,,DA,26,25-26,260.5842161,2.19,149.076935,,11.23811111,78.83780556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83780555555555 11.23811111111111, 78.83580555555555 11.23686111111111)"
28,LILO : 27,T,3W,DC,26,26-27,258.645185,2,149.699051,"14°3'29""R",11.23686111,78.83580556,GOOD,Available,LT,,PLAIN,LILO to Pudukurichy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83580555555555 11.23686111111111, 78.83347222222221 11.236083333333333)"
29,28,T,,SC,22,27-28,269.8773499,2.48,149.345261,"42°41'56""L",11.23608333,78.83347222,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83347222222221 11.236083333333333, 78.83213888888889 11.233722222222221)"
30,29,S,,SA,22,28-29,297.9041043,2.1,148.145386,,11.23372222,78.83213889,GOOD,Available,"HT,LT-2No",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83213888888889 11.233722222222221, 78.83091666666667 11.231555555555556)"
