,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY SIPCOT 110KV SS,GANTRY,2W,T,20,,,,,,,,78.78822222,10.41961111,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78822222222222 10.419611111111111, 78.78825 10.419944444444443)"
3,T.NO.192 DC,T,,DB,24,GANTRY - 192 DC,YES,,31,3.32,123,,78.78825,10.41994444,GOOD,GOOD,LT LIINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND ,"TOWER COVERED WITH BUSHS,NEED JUNCTION BOX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78825 10.419944444444443, 78.78783333333332 10.421305555555556)"
4,T.NO191 DC,T,,DD,28,192DC-191,YES,,157.5626859,3.27,123,"80°31'48.95""",78.78783333,10.42130556,GOOD,GOOD,"11KV -1 ,33KV-2, LINE CROSSING","TAR ROAD-2,MUD ROAD CROSSING",PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78783333333332 10.421305555555556, 78.78608333333334 10.421055555555554)"
5,T.NO.190 DC,T,,DB,24,191-190,YES,,193.494186,3.78,128,"7°21'17.27""",78.78608333,10.42105556,GOOD,GOOD,33KV LINE CROSSING,TAR ROAD CROSSING,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78608333333334 10.421055555555554, 78.78441666666666 10.420638888888888)"
6,T.NO189 DC,S,,DA,26,190-189,YES,,187.9707424,2.97,123,,78.78441667,10.42063889,GOOD,GOOD,LT LIINE -1 CROSSING,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78441666666666 10.420638888888888, 78.78302777777778 10.42025)"
7,T.NO188 DC,T,,DB,24,189-188,YES,,159.3643624,3.79,116,"11°49'39.25""",78.78302778,10.42025,GOOD,GOOD,"LT LIINE -2,TRANSFORMER CROSSING",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78302777777778 10.42025, 78.78058333333333 10.418999999999999)"
8,T.NO187 DC,T,,DC,26,188-187,NO,,300.0816556,2.97,113,"27°37'27.71""",78.78058333,10.419,GOOD,GOOD,LT LIINE -1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78058333333333 10.418999999999999, 78.77919444444444 10.417083333333332)"
9,T.NO.186 SC,S,,DA,26,187-186,NO,,260.8601158,2.97,110,,78.77919444,10.41708333,GOOD,GOOD,,MUD ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77919444444444 10.417083333333332, 78.77794444444444 10.415222222222223)"
10,T.NO.185,S,,DA,26,186-185,YES,,247.6812468,2.9,112,,78.77794444,10.41522222,GOOD,GOOD,11KV LINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND ,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77794444444444 10.415222222222223, 78.77683333333333 10.413472222222223)"
11,T.NO.184,T,,DB,24,185-184,YES,,228.8624041,3.29,114,"12°46'31.65""",78.77683333,10.41347222,GOOD,GOOD,LT LIINE -1 CROSSING,MUD ROAD CROSSING,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77683333333333 10.413472222222223, 78.775 10.411666666666667)"
12,T.NO.183,S,,DA,26,184-183,NO,,284.260444,2.16,104,,78.775,10.41166667,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.775 10.411666666666667, 78.77316666666667 10.409722222222223)"
13,T.NO.182,S,,DA,26,183-182,NO,,293.4910561,2.17,107,,78.77316667,10.40972222,GOOD,GOOD,11KV LINE -1 CROSSING,,WATER LOGGED ,INSIDE THE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77316666666667 10.409722222222223, 78.77133333333333 10.408)"
14,T.NO.181,T,,DB,24,182-181,YES,,276.5519843,3.23,104,"9°58'29.18""",78.77133333,10.408,GOOD,GOOD,11KV LINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77133333333333 10.408, 78.77005555555556 10.40625)"
15,T.NO.180,T,,DC,26,181-180,YES,,239.6101,3.95,106,"18°56'16.91""",78.77005556,10.40625,GOOD,GOOD,,TAR ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77005555555556 10.40625, 78.76936111111111 10.403972222222222)"
16,T.NO.179,S,,DA,26,180-179,YES,,264.0927867,3.92,106,,78.76936111,10.40397222,GOOD,GOOD,,TAR ROAD CROSSING,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76936111111111 10.403972222222222, 78.76872222222222 10.401666666666667)"
17,T.NO.178,S,,DA,26,179-178,YES,,262.7736669,3.57,105,,78.76872222,10.40166667,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76872222222222 10.401666666666667, 78.76811111111111 10.4)"
