S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly / Forest / Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY AT ADUTHURAI,T,2W,DC,15,,,,70,,11.02263794,79.49037904,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4903790391981 11.0226379428058, 79.4902328588068 11.0226010624319)"
2,TN - 399,T,,DC,32,TN - 396 : TN - 395,18.48611406,-,70,73°59'29''RT,11.02260106,79.49023286,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4902328588068 11.0226010624319, 79.4902407377958 11.0228451434522)"
3,TN - 398,T,,DC,32,TN - 395 : TN - 394,29.01100543,-,71,37°26'7''RT,11.02284514,79.49024074,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4902407377958 11.0228451434522, 79.4891254417598 11.024403758347)"
4,TN - 397,T,,DC,32,TN - 394 : TN - 393,213.122031,3.09,71,21°11'35''LT,11.02440376,79.48912544,GOOD,AVAILABLE,"11KV, LT","RAILWAY, SH",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4891254417598 11.024403758347, 79.4884905125945 11.0268778447061)"
5,TN - 396,S,,DC,32,TN - 393 : TN - 392,284.3115795,3.12,70,,11.02687784,79.48849051,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4884905125945 11.0268778447061, 79.4880683161318 11.028909953311)"
6,TN - 395,S,,DC,32,TN - 392 : TN - 391,231.4530934,3.15,69,,11.02890995,79.48806832,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4880683161318 11.028909953311, 79.4875644799321 11.030796971172)"
7,TN - 394,T,,DC,32,TN - 391 : LILO : 390,217.8580791,3.45,62,1°1'44''LT,11.03079697,79.48756448,GOOD,AVAILABLE,LT,"ROAD, POND",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4875644799321 11.030796971172, 79.4870318099856 11.0329460911452)"
8,TN - 393,S,,DC,32,LILO : 390 : TN - 389,246.7320945,-,69,,11.03294609,79.48703181,GOOD,AVAILABLE,,"RIVER, ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4870318099856 11.0329460911452, 79.4864902552217 11.0350499488413)"
9,TN - 392,S,,DC,32,TN - 389 : TN - 388,242.1097242,-,68,,11.03504995,79.48649026,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4864902552217 11.0350499488413, 79.4861072022467 11.0365669894963)"
10,TN - 391,T,,DC,32,TN - 388 : TN - 387,174.9384839,5.1,69,18°3'27''RT,11.03656699,79.4861072,GOOD,AVAILABLE,"11KV, LT","ROAD, CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4861072022467 11.0365669894963, 79.4850276969373 11.0382793284952)"
11,LILO : 390,T,,DC,32,TN - 387 : TN - 386,225.1257721,4.06,69,0°19'56''LT,11.03827933,79.4850277,GOOD,AVAILABLE,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4850276969373 11.0382793284952, 79.484741622582 11.0387389920651)"
12,TN - 389,T,,SC,28,TN - 386 : TN - 385,61.68295425,-,69,0°18'19''RT,11.03873899,79.48474162,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.484741622582 11.0387389920651, 79.48316372931 11.0412445105612)"
13,TN - 388,S,,SC,28,TN - 385 : TN - 384,328.3847401,-,67,,11.04124451,79.48316373,PARTS MISSING,AVAILABLE,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48316372931 11.0412445105612, 79.4815121591091 11.0438400506973)"
14,TN - 387,S,,SC,28,TN - 384 : TN - 383,341.0949621,-,67,,11.04384005,79.48151216,RUSTED,AVAILABLE,11KV,"MUD ROAD, NALA",PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4815121591091 11.0438400506973, 79.4803303107619 11.0458502825349)"
17,TN - 386,S,,SC,28,TN - 383 : TN - 382,270,-,76,,11.04585028,79.48033031,RUSTED,NO E/W,"230KV ABOVE XING, LT","ROAD, NALA",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4803303107619 11.0458502825349, 79.4789368193596 11.0480944532901)"
18,TN - 385,S,,SC,28,TN - 382 : TN - 381,293.2008778,-,76,,11.04809445,79.47893682,RUSTED,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4789368193596 11.0480944532901, 79.4775801245123 11.0502755921334)"
19,TN - 384,S,,SC,28,TN - 381 : TN - 380,285.155459,-,77,,11.05027559,79.47758012,RUSTED,AVAILABLE,11KV -2,"ROAD, NALA",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4775801245123 11.0502755921334, 79.476186549291 11.0525197628885)"
20,TN - 383,S,,SC,28,TN - 380 : TN - 379,293.2048922,-,77,,11.05251976,79.47618655,RUSTED,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.476186549291 11.0525197628885, 79.4747005216777 11.0549352597445)"
21,TN - 382,S,,SC,28,TN - 379 : TN - 378,314.6422991,-,79,,11.05493526,79.47470052,RUSTED,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4747005216777 11.0549352597445, 79.4731687288731 11.0573505051434)"
22,TN - 381,S,,SC,28,TN - 378 : TN - 377,317.2440728,-,78,,11.05735051,79.47316873,RUSTED,AVAILABLE,LT -3N,"ROAD, CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4731687288731 11.0573505051434, 79.4718301389366 11.0595588013529)"
23,TN - 380,T,,SC,28,TN - 377 : TN - 376,286.6963004,-,78,33°22'16''RT,11.0595588,79.47183014,RUSTED,AVAILABLE,LT,ROAD,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4718301389366 11.0595588013529, 79.4693252909928 11.0607485286891)"
24,TN - 379,S,,SC,28,TN - 376 : TN - 375,305.6722906,-,77,,11.06074853,79.46932529,RUSTED,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4693252909928 11.0607485286891, 79.4668113067746 11.0619382560253)"
25,TN - 378,S,,SC,28,TN - 375 : TN - 374,306.5715753,-,75,,11.06193826,79.46681131,RUSTED,AVAILABLE,LT -3N,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4668113067746 11.0619382560253, 79.4647375401109 11.0629403125494)"
26,TN - 377,S,,SC,28,TN - 374 : TN - 373,254.2340494,-,75,,11.06294031,79.46473754,RUSTED,AVAILABLE,11KV -2,"SH, NALA",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4647375401109 11.0629403125494, 79.4629763346165 11.0637335758656)"
27,TN - 376,S,,SC,28,TN - 373 : TN - 372,213.4870448,-,74,,11.06373358,79.46297633,RUSTED,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4629763346165 11.0637335758656, 79.4612022209912 11.0645812377333)"
28,TN - 375,S,,SC,28,TN - 372 : TN - 371,217.3218257,-,74,,11.06458124,79.46120222,GOOD,AVAILABLE,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4612022209912 11.0645812377333, 79.4587920047342 11.0657398682087)"
29,TN - 374,S,,SC,28,TN - 371 : TN - 370,294.8642563,-,74,,11.06573987,79.458792,GOOD,AVAILABLE,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4587920047342 11.0657398682087, 79.4563507754355 11.0669015161693)"
30,TN - 373,S,,SC,28,TN - 370 : TN - 369,298.0588338,-,70,,11.06690152,79.45635078,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4563507754355 11.0669015161693, 79.4538486097007 11.0680749826133)"
31,TN - 372,S,,SC,28,TN - 369 : TN - 368,304.6284594,-,70,,11.06807498,79.45384861,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4538486097007 11.0680749826133, 79.4511446077376 11.0693365428596)"
32,TN - 371,T,,SC,28,TN - 368 : TN - 367,328.7284423,-,71,34°32'5''LT,11.06933654,79.45114461,GOOD,AVAILABLE,"LT, HT",ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4511446077376 11.0693365428596, 79.4498035870492 11.0716173425316)"
33,TN - 370,S,,SC,28,TN - 367 : TN - 366,293.7392055,-,71,,11.07161734,79.44980359,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4498035870492 11.0716173425316, 79.4484430365264 11.0738960467278)"
34,TN - 369,S,,SC,28,TN - 366 : TN - 365,294.6165804,-,70,,11.07389605,79.44844304,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4484430365264 11.0738960467278, 79.4470672309398 11.0761762596666)"
35,TN - 368,S,,SC,28,TN - 365 : LILO - 364/1,295.6097319,-,69,,11.07617626,79.44706723,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4470672309398 11.0761762596666, 79.4456821214407 11.0784745775163)"
36,TN - 367,S,,SC,28,LILO - 364/1 : TN - 123,297.8500405,-,62,,11.07847458,79.44568212,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4456821214407 11.0784745775163, 79.4442785717546 11.0807998850941)"
37,TN - 366,S,,SC,28,TN - 123 : TN - 122,301.4454792,-,69,,11.08079989,79.44427857,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4442785717546 11.0807998850941, 79.4429861661046 11.0828726459294)"
38,TN - 365,T,,SC,28,TN - 122 : TN - 121,271.2610732,-,68,9°24'10''LT,11.08287265,79.44298617,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4429861661046 11.0828726459294, 79.4424020312726 11.0842799674719)"
39,LILO - 364/1,T,2W,SC,28,TN - 121 : TN - 120,170.2386842,-,69,1°52'13''RT,11.08427997,79.44240203,GOOD,AVAILABLE,,,PLAIN,LILO AT THIRUPANANTHAL,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4424020312726 11.0842799674719, 79.4412721507251 11.0867693927139)"
40,TN - 123,S,,SC,28,TN - 120 : TN - 119,303.7602432,-,69,,11.08676939,79.44127215,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4412721507251 11.0867693927139, 79.4404847547411 11.0885373037308)"
41,TN - 122,T,,SC,28,TN - 119 : TN - 118,215.6348894,-,69,0°5'9''RT,11.0885373,79.44048475,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4404847547411 11.0885373037308, 79.4393916707485 11.0909817181527)"
42,TN - 121,T,,SC,28,TN - 118 : TN - 117,297.5768254,-,67,0°47'39''LT,11.09098172,79.43939167,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4393916707485 11.0909817181527, 79.4387429114431 11.0924881976097)"
43,TN - 120,S,,SC,28,TN - 117 : TN - 116,183.0802374,-,67,,11.0924882,79.43874291,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4387429114431 11.0924881976097, 79.437566678971 11.0950767807662)"
44,TN - 119,S,,SC,28,TN - 116 : TN - 115,315.8392679,-,76,,11.09507678,79.43756668,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.437566678971 11.0950767807662, 79.4365725014358 11.0973797086626)"
45,TN - 118,S,,SC,28,TN - 115 : TN - 114,278.9178111,-,76,,11.09737971,79.4365725,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4365725014358 11.0973797086626, 79.4355654157698 11.0996049363166)"
46,TN - 117,T,,SC,28,TN - 114 : TN - 113,271.6052787,-,77,0°5'43''LT,11.09960494,79.43556542,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4355654157698 11.0996049363166, 79.4345372077077 11.101886909455)"
47,TN - 116,S,,SC,28,TN - 113 : TN - 112,278.2774043,-,77,,11.10188691,79.43453721,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4345372077077 11.101886909455, 79.4335087481886 11.1042140610516)"
48,TN - 115,S,,SC,28,TN - 112 : TN - 111,282.8611237,-,79,,11.10421406,79.43350875,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4335087481886 11.1042140610516, 79.432600820437 11.1062345188111)"
49,TN - 114,S,,SC,28,TN - 111 : TN - 110,246.5069616,-,78,,11.10623452,79.43260082,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.432600820437 11.1062345188111, 79.4316002726554 11.1084804497659)"
50,TN - 113,S,,SC,28,TN - 110 : TN - 109,273.4084032,-,78,,11.10848045,79.43160027,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4316002726554 11.1084804497659, 79.4305071048438 11.1109066754579)"
51,TN - 112,T,2W,SC,28,TN - 109 : TN - 108,295.7395369,-,77,43°57'60''RT,11.11090668,79.4305071,GOOD,AVAILABLE,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4305071048438 11.1109066754579, 79.4279384706169 11.1119329556822)"
52,TN - 111,S,,SC,28,TN - 108 : TN - 107,304.696054,-,75,,11.11193296,79.42793847,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4279384706169 11.1119329556822, 79.4251863565295 11.1130215972661)"
53,TN - 110,S,,SC,28,TN - 107 : TN - 106,325.8651543,-,75,,11.1130216,79.42518636,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4251863565295 11.1130215972661, 79.4222785066813 11.1141454428434)"
54,TN - 109,T,,SC,28,TN - 106 : TN - 105,343.1163103,-,74,70°16'39''LT,11.11414544,79.42227851,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4222785066813 11.1141454428434, 79.4223085138946 11.1153660994023)"
55,TN - 108,S,,SC,28,TN - 105 : TN - 104,137.0589773,-,74,,11.1153661,79.42230851,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4223085138946 11.1153660994023, 79.42232795991 11.1168579943478)"
56,TN - 107,T,,SC,28,TN - 104 : TN - 103,167.0350797,-,74,36°41'15''RT,11.11685799,79.42232796,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42232795991 11.1168579943478, 79.4208523258566 11.1188934557139)"
57,TN - 106,S,,SC,28,TN - 103 : TN - 102,278.9042822,-,70,,11.11889346,79.42085233,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4208523258566 11.1188934557139, 79.4194688089191 11.1208208743482)"
58,TN - 105,S,,SC,28,TN - 102 : TN - 101,263.3316502,-,70,,11.12082087,79.41946881,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4194688089191 11.1208208743482, 79.4181498326361 11.1226673237979)"
59,TN - 104,T,,SC,28,TN - 101 : TN - 100,251.9480215,-,71,0°5'48''RT,11.12266732,79.41814983,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4181498326361 11.1226673237979, 79.4167293515056 11.1246488057076)"
60,TN - 103,S,,SC,28,TN - 100 : TN - 99,270.5447387,-,71,,11.12464881,79.41672935,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4167293515056 11.1246488057076, 79.4152718223631 11.1267023719847)"
61,TN - 102,S,,SC,28,TN - 99 : TN - 98,279.3934737,-,70,,11.12670237,79.41527182,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4152718223631 11.1267023719847, 79.4137959368526 11.1287649068981)"
62,TN - 101,T,2W,SC,28,TN - 98 : TN - 97,281.3583924,-,69,35°16'33''LT,11.12876491,79.41379594,GOOD,AVAILABLE,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4137959368526 11.1287649068981, 79.4137829449027 11.1311606224626)"
