S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,14B,T,DB,25,"=B23&"" - "" &B24",181.20671531702166,4.09,89.405365,"8°57'0""R",10.7595,78.65102777777778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65102777777778 10.7595, 78.65191666666668 10.757305555555556)"
20,14C,S,DA,26,"=B24&"" - "" &B25",262.3559095789583,2.65,90.432213,,10.757305555555556,78.65191666666668,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65191666666668 10.757305555555556, 78.65291666666667 10.754944444444444)"
21,15,T,DB,25,"=B25&"" - "" &B26",282.6102558844513,1.16,91.2506869999999,"0°7'12""R",10.754944444444444,78.65291666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65291666666667 10.754944444444444, 78.65408333333333 10.752194444444445)"
22,16,S,DA,26,"=B26&"" - "" &B27",329.457553580515,1.07,92.840439,,10.752194444444445,78.65408333333333,GOOD,Available,HT - 2NO,Madurai-trichy NH Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65408333333333 10.752194444444445, 78.65511111111111 10.749694444444444)"
23,17,S,DA,26,"=B27&"" - "" &B28",297.60994124737226,1.22,92.0112919999999,,10.749694444444444,78.65511111111111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65511111111111 10.749694444444444, 78.65569444444445 10.746805555555556)"
24,18,T,DC,26,"=B28&"" - "" &B29",326.93179900079565,NIL,94.312645,"47°55'12""R",10.746805555555556,78.65569444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65569444444445 10.746805555555556, 78.65833333333335 10.745249999999999)"
25,19,S,DA,26,"=B29&"" - "" &B30",337.9925724930542,0.77,89.9709469999999,,10.745249999999999,78.65833333333335,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65833333333335 10.745249999999999, 78.66069444444445 10.743305555555555)"
26,20,S,DA,26,"=B30&"" - "" &B31",333.79641705358574,2.34,82.5286179999999,,10.743305555555555,78.66069444444445,GOOD,Available,,River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66069444444445 10.743305555555555, 78.66266666666667 10.741638888888888)"
27,21,S,DA,26,"=B31&"" - "" &B32",285.4263701849837,2.01,84.0737759999999,,10.741638888888888,78.66266666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66266666666667 10.741638888888888, 78.66486111111112 10.739888888888888)"
28,22,S,DA,26,"=B32&"" - "" &B33",307.7082704071884,3.68,83.350082,,10.739888888888888,78.66486111111112,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66486111111112 10.739888888888888, 78.66669444444445 10.73836111111111)"
29,23,S,DA,26,"=B33&"" - "" &B34",261.91422550354525,4.06,84.6427309999999,,10.73836111111111,78.66669444444445,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66669444444445 10.73836111111111, 78.66852777777778 10.736833333333333)"
