S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
79,73,T,DC,26,"=B83&"" - "" &B84",186.3738244812582,1.03,97.4372709999999,"45°49'48""R",10.737472222222221,78.78352777777778,GOOD,Available,HT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78352777777778 10.737472222222221, 78.78633333333333 10.736916666666666)"
80,74,S,DA,26,"=B84&"" - "" &B85",311.71935720878946,4.39,96.653824,,10.736916666666666,78.78633333333333,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78633333333333 10.736916666666666, 78.78880555555556 10.736416666666665)"
81,75,T,DB,25,"=B85&"" - "" &B86",276.9038659991563,2.58,95.842751,"11°52'48""L",10.736416666666665,78.78880555555556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78880555555556 10.736416666666665, 78.78994444444444 10.735944444444444)"
82,LILO : 76,T,DB,25,"=B86&"" - "" &B87",135.96097766115628,1.71,96.207504,"15°49'12""R",10.735944444444444,78.78994444444444,GOOD,Available,,,PLAIN,LILO to HAPP,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78994444444444 10.735944444444444, 78.79116666666667 10.735777777777777)"
83,77,T,DB,25,"=B87&"" - "" &B88",133.99848094322093,3.42,92.218063,"1°57'36""L",10.735777777777777,78.79116666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79116666666667 10.735777777777777, 78.79322222222223 10.735416666666666)"
84,77A,S,DA,26,"=B88&"" - "" &B89",229.4739770451769,4.55,92.070648,,10.735416666666666,78.79322222222223,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79322222222223 10.735416666666666, 78.79527777777777 10.735083333333332)"
85,77B,T,DC,26,"=B89&"" - "" &B90",227.7792576045091,2.07,90.180862,"50°38'60""R",10.735083333333332,78.79527777777777,GOOD,Available,HT -3NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79527777777777 10.735083333333332, 78.79647222222222 10.736083333333333)"
86,77C,T,DB,25,"=B90&"" - "" &B91",172.5526145501064,3.21,89.9276119999999,"28°9'36""R",10.736083333333333,78.79647222222222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79647222222222 10.736083333333333, 78.79724999999999 10.738027777777777)"
87,77D,S,DA,26,"=B91&"" - "" &B92",230.63122258550362,1.6,88.275574,,10.738027777777777,78.79724999999999,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79724999999999 10.738027777777777, 78.79797222222221 10.739944444444443)"
88,LILO : 77E,T,DB,25,87-88,225.86070772899896,2.41,89.146072,"6°33'36""L",10.739944444444443,78.79797222222221,GOOD,Available,,,PLAIN,LILO to 220kV Thuvakudi,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79797222222221 10.739944444444443, 78.79838888888888 10.740222222222222)"
89,77F,T,DC,26,88 -88A,55.62369081458579,5.31,89,,10.740222222222222,78.79838888888888,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79838888888888 10.740222222222222, 78.79988888888889 10.741916666666667)"
90,77G,S,DA,26,88A - 89,250.00647476705595,3.22,88.906761,,10.741916666666667,78.79988888888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79988888888889 10.741916666666667, 78.80161111111111 10.743722222222221)"
91,77H,T,DB,25,"=B95&"" - "" &B96",274.79649056507907,1.73,88.7387999999999,"0°42'36""R",10.743722222222221,78.80161111111111,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80161111111111 10.743722222222221, 78.80277777777778 10.744972222222222)"
92,LILO : 78,T,DC,26,"=B96&"" - "" &B97",185.6815790584598,5.02,87.8589939999999,"51°24'36""L",10.744972222222222,78.80277777777778,GOOD,Available,,,AGRI,LILO to Thuvakudi,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80277777777778 10.744972222222222, 78.80513888888889 10.744805555555555)"
93,79,S,DA,26,"=B97&"" - "" &B98",259.695282827364,4.1,85.634079,,10.744805555555555,78.80513888888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80513888888889 10.744805555555555, 78.80802777777778 10.744583333333333)"
94,80,S,DA,26,"=B98&"" - "" &B99",316.9029202289556,1.62,84.5898739999999,,10.744583333333333,78.80802777777778,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80802777777778 10.744583333333333, 78.81066666666666 10.744416666666666)"
95,81,S,DA,26,"=B99&"" - "" &B100",288.7842535182564,2.04,84.103119,,10.744416666666666,78.81066666666666,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81066666666666 10.744416666666666, 78.81325 10.744222222222222)"
96,82,S,DA,26,"=B100&"" - "" &B101",285.984655959486,1.08,84.43129,,10.744222222222222,78.81325,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81325 10.744222222222222, 78.81577777777777 10.744055555555555)"
97,83,S,DA,26,"=B101&"" - "" &B102",276.15488084667953,2.36,83.325928,,10.744055555555555,78.81577777777777,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81577777777777 10.744055555555555, 78.8183611111111 10.743833333333333)"
98,84,S,DA,26,"=B102&"" - "" &B103",283.69768437909886,3.72,86.6831669999999,,10.743833333333333,78.8183611111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8183611111111 10.743833333333333, 78.82105555555555 10.743666666666666)"
99,85,T,DB,25,"=B103&"" - "" &B104",294.1727219932756,2.09,86.82003,"18°4'12""L",10.743666666666666,78.82105555555555,GOOD,Available,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82105555555555 10.743666666666666, 78.82352777777777 10.742694444444444)"
100,86,S,DA,26,"=B104&"" - "" &B105",291.33423473590983,3.1,85.0685959999999,,10.742694444444444,78.82352777777777,GOOD,Available,LT,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82352777777777 10.742694444444444, 78.8265 10.741583333333333)"
101,87,T,DB,25,"=B105&"" - "" &B106",348.4462461859725,2.24,84.993668,"0°34'12""L",10.741583333333333,78.8265,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8265 10.741583333333333, 78.82724999999999 10.741277777777777)"
102,88,T,DB,25,"=B106&"" - "" &B107",89.28784845270872,1.9,84.4936069999999,"0°16'48""R",10.741277777777777,78.82724999999999,GOOD,Available,,NH Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82724999999999 10.741277777777777, 78.82838888888888 10.740833333333333)"
103,89,S,DA,26,"=B107&"" - "" &B108",134.83781517340086,2.1,84.3213729999999,,10.740833333333333,78.82838888888888,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82838888888888 10.740833333333333, 78.83080555555556 10.739888888888888)"
104,90,S,DA,26,"=B108&"" - "" &B109",282.8970050756851,1.1,82.9054569999999,,10.739888888888888,78.83080555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83080555555556 10.739888888888888, 78.83302777777777 10.739055555555554)"
105,91,S,DA,26,"=B109&"" - "" &B110",258.76132862273215,1.39,83.070396,,10.739055555555554,78.83302777777777,GOOD,Available,HT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83302777777777 10.739055555555554, 78.83369444444443 10.738694444444443)"
106,LILO : 92,T,DB,25,"=B110&"" - "" &B111",84.30547833291403,2.47,82.592888,"11°22'12""R",10.738694444444443,78.83369444444443,GOOD,Available,,,PLAIN,LILO to Valavanthankottai,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83369444444443 10.738694444444443, 78.83558333333333 10.738055555555555)"
107,93,S,DA,26,"=B111&"" - "" &B112",218.1494667199363,0.92,82.3250199999999,,10.738055555555555,78.83558333333333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83558333333333 10.738055555555555, 78.83788888888888 10.737166666666665)"
108,94,T,DB,25,"=B112&"" - "" &B113",270.0356632226858,2.28,82.7483979999999,"12°2'24""R",10.737166666666665,78.83788888888888,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83788888888888 10.737166666666665, 78.84075 10.736722222222221)"
109,95,S,DA,26,"=B113&"" - "" &B114",319.255247752217,1.25,83.553413,,10.736722222222221,78.84075,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84075 10.736722222222221, 78.84363888888889 10.736249999999998)"
110,96,S,DA,26,"=B114&"" - "" &B115",319.79679318266926,1.48,83.3308329999999,,10.736249999999998,78.84363888888889,GOOD,Available,400 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84363888888889 10.736249999999998, 78.84613888888889 10.735833333333332)"
111,97,S,DA,26,"=B115&"" - "" &B116",276.12565684658335,2.39,83.078423,,10.735833333333332,78.84613888888889,GOOD,Available,"HT,LT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84613888888889 10.735833333333332, 78.84899999999999 10.73536111111111)"
112,98,S,DA,26,"=B116&"" - "" &B117",316.63925278423216,1.92,83.627571,,10.73536111111111,78.84899999999999,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84899999999999 10.73536111111111, 78.85158333333332 10.734944444444444)"
113,99,S,DA,26,"=B117&"" - "" &B118",288.17659854015164,2.01,83.748199,,10.734944444444444,78.85158333333332,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85158333333332 10.734944444444444, 78.85430555555556 10.734527777777776)"
114,100,S,DA,26,"=B118&"" - "" &B119",301.27394518038494,1.21,83.876114,,10.734527777777776,78.85430555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85430555555556 10.734527777777776, 78.85705555555555 10.734083333333333)"
115,101,S,DA,26,"=B119&"" - "" &B120",305.70084284558504,2.73,82.3993909999999,,10.734083333333333,78.85705555555555,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85705555555555 10.734083333333333, 78.85944444444443 10.733722222222221)"
116,102,S,DA,26,"=B120&"" - "" &B121",262.47859831614426,1.88,79.391182,,10.733722222222221,78.85944444444443,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85944444444443 10.733722222222221, 78.86180555555555 10.733333333333333)"
117,103,S,DA,26,"=B121&"" - "" &B122",263.83681470953485,1.48,81.540436,,10.733333333333333,78.86180555555555,GOOD,Available,,Company Inside,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86180555555555 10.733333333333333, 78.86466666666666 10.732861111111111)"
118,104,S,DA,26,"=B122&"" - "" &B123",315.92474981247847,0.72,82.2817309999999,,10.732861111111111,78.86466666666666,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86466666666666 10.732861111111111, 78.86749999999999 10.732416666666667)"
119,105,S,DA,26,"=B123&"" - "" &B124",313.24101146009497,2.04,80.633499,,10.732416666666667,78.86749999999999,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86749999999999 10.732416666666667, 78.87027777777777 10.731944444444444)"
120,106,S,DA,26,"=B124&"" - "" &B125",311.1354425642402,3.16,81.52964,,10.731944444444444,78.87027777777777,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87027777777777 10.731944444444444, 78.87263888888889 10.731583333333333)"
121,107,S,DA,26,"=B125&"" - "" &B126",261.1538879210805,4.08,82.3384089999999,,10.731583333333333,78.87263888888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87263888888889 10.731583333333333, 78.87502777777777 10.731222222222222)"
122,108,S,DA,26,"=B126&"" - "" &B127",262.6130118816127,1.67,84.2764889999999,,10.731222222222222,78.87502777777777,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87502777777777 10.731222222222222, 78.87727777777778 10.730833333333333)"
123,109,T,DB,25,"=B127&"" - "" &B128",249.2866593612943,2.13,85.6030039999999,"3°49'48""R",10.730833333333333,78.87727777777778,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87727777777778 10.730833333333333, 78.87977777777778 10.730555555555556)"
124,109 A,S,DA,26,"=B128&"" - "" &B129",277.23032132007944,0.89,84.56646,,10.730555555555556,78.87977777777778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87977777777778 10.730555555555556, 78.88227777777777 10.730222222222222)"
125,109 B,S,DA,26,"=B129&"" - "" &B130",276.5064762415691,1.45,83.517769,,10.730222222222222,78.88227777777777,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88227777777777 10.730222222222222, 78.88480555555556 10.729916666666666)"
126,110,S,DA,26,"=B130&"" - "" &B131",276.7972296635007,1.3,84.3401259999999,,10.729916666666666,78.88480555555556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88480555555556 10.729916666666666, 78.88733333333334 10.729611111111112)"
127,111,T,DB,25,"=B131&"" - "" &B132",279.4170288887678,3.69,86.7501529999999,"2°4'12""L",10.729611111111112,78.88733333333334,GOOD,Available,"HT,LT",Road,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88733333333334 10.729611111111112, 78.88991666666668 10.729166666666666)"
128,112,S,DA,26,"=B132&"" - "" &B133",286.00142158483897,2.79,85.423775,,10.729166666666666,78.88991666666668,GOOD,Available,HT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88991666666668 10.729166666666666, 78.89252777777779 10.728694444444445)"
129,113,S,DA,26,"=B133&"" - "" &B134",291.72987821234454,3.56,87.027664,,10.728694444444445,78.89252777777779,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89252777777779 10.728694444444445, 78.89525 10.728222222222222)"
130,114,S,DA,26,"=B134&"" - "" &B135",301.88807105733076,1.4,86.264633,,10.728222222222222,78.89525,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89525 10.728222222222222, 78.89797222222222 10.72775)"
131,115,S,DA,26,"=B135&"" - "" &B136",303.7794243095988,1.83,83.040344,,10.72775,78.89797222222222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89797222222222 10.72775, 78.90061111111112 10.727305555555557)"
132,116,S,DA,26,"=B136&"" - "" &B137",290.0471708988528,3.48,84.3566059999999,,10.727305555555557,78.90061111111112,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90061111111112 10.727305555555557, 78.9028888888889 10.726916666666666)"
133,117,S,DA,26,"=B137&"" - "" &B138",253.01283559359544,1.29,85.360741,,10.726916666666666,78.9028888888889,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9028888888889 10.726916666666666, 78.9055 10.726472222222222)"
134,118,S,DA,26,"=B138&"" - "" &B139",290.8227271530096,3.29,83.7117159999999,,10.726472222222222,78.9055,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9055 10.726472222222222, 78.90802777777779 10.726055555555556)"
135,119,S,DA,26,"=B139&"" - "" &B140",280.72015142131204,4.3,82.9110869999999,,10.726055555555556,78.90802777777779,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90802777777779 10.726055555555556, 78.91072222222223 10.725583333333333)"
136,120,S,DA,26,"=B140&"" - "" &B141",298.3501608618323,5.15,83.9277189999999,,10.725583333333333,78.91072222222223,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91072222222223 10.725583333333333, 78.91344444444445 10.725111111111111)"
137,121,S,DA,26,"=B141&"" - "" &B142",302.55167500277355,3.46,85.0343089999999,,10.725111111111111,78.91344444444445,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91344444444445 10.725111111111111, 78.91577777777778 10.724694444444445)"
138,122,S,DA,26,"=B142&"" - "" &B143",259.5477906175662,4.12,86.524033,,10.724694444444445,78.91577777777778,GOOD,Available,LT,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91577777777778 10.724694444444445, 78.91900000000001 10.72413888888889)"
139,123,S,DA,26,"=B143&"" - "" &B144",359.1750732352596,2.61,85.8749849999999,,10.72413888888889,78.91900000000001,GOOD,Available,HT,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91900000000001 10.72413888888889, 78.92144444444445 10.72375)"
140,124,S,DA,26,"=B144&"" - "" &B145",271.24877223532576,0.95,83.752548,,10.72375,78.92144444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92144444444445 10.72375, 78.92405555555555 10.723277777777778)"
141,125,S,DA,26,"=B145&"" - "" &B146",288.6776398329546,0.61,84.67556,,10.723277777777778,78.92405555555555,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92405555555555 10.723277777777778, 78.92619444444445 10.722944444444444)"
142,126,S,DA,26,"=B146&"" - "" &B147",237.35293780341624,0.83,83.219009,,10.722944444444444,78.92619444444445,GOOD,Available,"LT,HT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92619444444445 10.722944444444444, 78.92866666666667 10.722527777777778)"
143,127,S,DA,26,"=B147&"" - "" &B148",275.2892768126286,4.23,83.134583,,10.722527777777778,78.92866666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92866666666667 10.722527777777778, 78.93125 10.722083333333334)"
144,128,S,DA,26,"=B148&"" - "" &B149",286.50849525312776,2.42,81.906242,,10.722083333333334,78.93125,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93125 10.722083333333334, 78.93380555555557 10.721555555555556)"
145,129,T,DB,25,"=B149&"" - "" &B150",286.26529842020153,3.27,84.8158339999999,"26°53'24""R",10.721555555555556,78.93380555555557,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93380555555557 10.721555555555556, 78.936 10.722138888888889)"
146,129A,T,DB,25,"=B150&"" - "" &B151",248.380284072741,2.5,82.8739319999999,"3°3'36""L",10.722138888888889,78.936,GOOD,Available,"LT,HT-2NO",NH Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.936 10.722138888888889, 78.93675 10.722305555555556)"
147,130,S,DA,26,"=B151&"" - "" &B152",82.26846602255456,4.38,83.204002,,10.722305555555556,78.93675,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93675 10.722305555555556, 78.93947222222222 10.722944444444444)"
148,131,S,DA,26,"=B152&"" - "" &B153",307.5314075883745,2.58,82.420815,,10.722944444444444,78.93947222222222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93947222222222 10.722944444444444, 78.94158333333334 10.723416666666667)"
149,132,S,DA,26,"=B153&"" - "" &B154",234.88702254581588,2.6,83.7642139999999,,10.723416666666667,78.94158333333334,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94158333333334 10.723416666666667, 78.94397222222223 10.723972222222223)"
150,133,S,DA,26,"=B154&"" - "" &B155",268.8093663687915,3.51,78.457611,,10.723972222222223,78.94397222222223,GOOD,Available,"HT,LT",Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94397222222223 10.723972222222223, 78.94636111111112 10.724527777777778)"
151,134,S,DA,26,"=B155&"" - "" &B156",269.81251072896384,4.07,78.6870959999999,,10.724527777777778,78.94636111111112,GOOD,Available,HT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94636111111112 10.724527777777778, 78.94880555555557 10.725083333333334)"
152,135,S,DA,26,"=B156&"" - "" &B157",274.90090548428515,1.81,78.5128019999999,,10.725083333333334,78.94880555555557,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94880555555557 10.725083333333334, 78.95144444444445 10.725694444444445)"
153,136,S,DA,26,"=B157&"" - "" &B158",294.7764896026512,4.33,80.6911319999999,,10.725694444444445,78.95144444444445,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95144444444445 10.725694444444445, 78.95397222222222 10.726305555555555)"
154,137,S,DA,26,"=B158&"" - "" &B159",285.1297896418767,2.78,80.4052429999999,,10.726305555555555,78.95397222222222,GOOD,Available,"HT,LT-2NO",Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95397222222222 10.726305555555555, 78.95644444444444 10.726888888888888)"
155,138,S,DA,26,"=B159&"" - "" &B160",279.41111801871256,3.09,79.358315,,10.726888888888888,78.95644444444444,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95644444444444 10.726888888888888, 78.95863888888888 10.727361111111112)"
156,139,S,DA,26,"=B160&"" - "" &B161",244.23949994627108,1.1,78.196365,,10.727361111111112,78.95863888888888,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95863888888888 10.727361111111112, 78.96086111111111 10.72788888888889)"
157,140,S,DA,26,"=B161&"" - "" &B162",250.17778929839227,0.76,81.3311389999999,,10.72788888888889,78.96086111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96086111111111 10.72788888888889, 78.96308333333333 10.728388888888889)"
158,141,S,DA,26,"=B162&"" - "" &B163",250.06110283330293,2.5,82.2351149999999,,10.728388888888889,78.96308333333333,GOOD,Available,LT - 2NO,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96308333333333 10.728388888888889, 78.96580555555556 10.729027777777778)"
159,142,S,DA,26,"=B163&"" - "" &B164",305.09539355721256,3.04,83.827713,,10.729027777777778,78.96580555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96580555555556 10.729027777777778, 78.96836111111111 10.729611111111112)"
160,143,T,DB,25,"=B164&"" - "" &B165",287.36048376401396,0.66,85.280663,"15°55'12""L",10.729611111111112,78.96836111111111,GOOD,Available,LT -3NO,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96836111111111 10.729611111111112, 78.96930555555556 10.729555555555555)"
161,LILO : 1,T,DB,25,"=B165&"" - "" &B166",103.20428914790111,4.02,85.569359,"7°6'36""R",10.729555555555555,78.96930555555556,GOOD,Available,,,AGRI,LILO to Veeramarasanpatti,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96930555555556 10.729555555555555, 78.9708888888889 10.729666666666667)"
162,144,S,DA,26,"=B166&"" - "" &B167",173.87307337673593,3.12,88.2327729999999,,10.729666666666667,78.9708888888889,GOOD,Available,110 KV,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9708888888889 10.729666666666667, 78.97361111111111 10.72975)"
163,145,T,DB,25,"=B167&"" - "" &B168",299.198950655165,2.57,89.2166519999999,"1°20'24""R",10.72975,78.97361111111111,GOOD,Available,LT -2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97361111111111 10.72975, 78.97575 10.729888888888889)"
164,146,T,DB,25,"=B168&"" - "" &B169",232.75369637850102,3.34,90.9616469999999,"0°20'24""L",10.729888888888889,78.97575,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97575 10.729888888888889, 78.97833333333334 10.73)"
165,147,S,DA,26,"=B169&"" - "" &B170",282.4407511667776,0.03,94.8074799999999,,10.73,78.97833333333334,GOOD,Available,110 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97833333333334 10.73, 78.98097222222222 10.730166666666667)"
166,148,S,DA,26,"=B170&"" - "" &B171",291.26044240271904,0.62,95.445183,,10.730166666666667,78.98097222222222,GOOD,Available,,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98097222222222 10.730166666666667, 78.98375 10.730277777777777)"
167,149,S,DA,26,"=B171&"" - "" &B172",303.57215931585046,1.18,94.6246569999999,,10.730277777777777,78.98375,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98375 10.730277777777777, 78.98647222222222 10.730416666666667)"
