Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,SA,S,26,9-10,,256.6729,,55m,,11.986000438028267,79.47260063758614,,,,,Good,Good,HT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47260063758614 11.986000438028267, 79.46988839593067 11.984964069973854)"
11,SA,S,26,10-11,,317,,56m,,11.984964069973854,79.46988839593067,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46988839593067 11.984964069973854, 79.46760682954904 11.984092761113935)"
12,SA+3,S,29,11-12,,267,6.12,53m,,11.984092761113935,79.46760682954904,,,,,Good,Good,LT-1,ROAD,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46760682954904 11.984092761113935, 79.46519698295239 11.983175530692504)"
13,SA,S,26,12-13,,281.3699,6.12,51m,,11.983175530692504,79.46519698295239,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46519698295239 11.983175530692504, 79.46249388537657 11.982157228259132)"
14,SA,S,26,13-14,,315.192,,51m,,11.982157228259132,79.46249388537657,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46249388537657 11.982157228259132, 79.46008397547405 11.981258038170921)"
15,SA+3,S,29,14-15,,280.6653,,50m,,11.981258038170921,79.46008397547405,,,,,Good,Good,LT-1,ROAD,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46008397547405 11.981258038170921, 79.45765602735139 11.98030448758546)"
16,SA,S,26,15-16,,284.677,,53m,,11.98030448758546,79.45765602735139,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45765602735139 11.98030448758546, 79.45623571895705 11.979781366917925)"
17,SB,T,24,16-17,,165.1484,6.5,57m,"11d33'24""RT",11.979781366917925,79.45623571895705,2W,,,,Good,Good,_,_,Plain,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45623571895705 11.979781366917925, 79.45405237474951 11.979416759238203)"
18,SA,S,26,17-18,,165.1484,,60m,,11.979416759238203,79.45405237474951,,,,,Good,Good,HT-1,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45405237474951 11.979416759238203, 79.4517590077773 11.979024406477125)"
19,SD,T,28,18-19,,253.5035,2.3,59m,"54d45'12""LT",11.979024406477125,79.4517590077773,,,,,Good,Good,110KV S/C -vilupuram-thiruvannamalai (Tower No.204_205),_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4517590077773 11.979024406477125, 79.45152305502977 11.978534923625398)"
20,SD+3,T,31,19-20,,60,,55m,"48d14'44""RT",11.978534923625398,79.45152305502977,,,,,Good,Good,"LT-2,HT-1",CANAL,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45152305502977 11.978534923625398, 79.4491030101479 11.977816397938899)"
21,SA,S,26,20-21,,275.2817,,60m,,11.977816397938899,79.4491030101479,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4491030101479 11.977816397938899, 79.44672863222908 11.977143307545996)"
22,SA,S,26,21-22,,269.0911,,64m,,11.977143307545996,79.44672863222908,,,,,Good,Good,_,_,Plain,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44672863222908 11.977143307545996, 79.44430866899017 11.976415703440818)"
