S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,20,S,DA,26,19 - 20,277.1526247520116,1.31,113.424507,,10.505166666666666,78.99744444444444,,,,,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99744444444444 10.505166666666666, 78.99994444444445 10.505083333333333)"
22,21,T,DB,26,20 - 21,274.7643834733759,5.01,111.584198,"1°40'0"" R",10.505083333333333,78.99994444444445,,,,,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99994444444445 10.505083333333333, 79.00244444444445 10.504916666666666)"
23,22,S,DA,26,21 - 22,272.75820690734855,1.4,110.195374,,10.504916666666666,79.00244444444445,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00244444444445 10.504916666666666, 79.00491666666667 10.504805555555556)"
24,23,S,DA,26,22 - 23,270.97290026931137,1.17,107.048782,,10.504805555555556,79.00491666666667,,,,,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00491666666667 10.504805555555556, 79.00747222222222 10.50463888888889)"
25,24,S,DA,26,23 - 24,279.75457416087175,3.43,103.857262,,10.50463888888889,79.00747222222222,,,,,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00747222222222 10.50463888888889, 79.01 10.504555555555555)"
26,25,T,DC,26,24 - 25,277.8642757774373,2.48,99.1267239999999,"24°54'9"" L",10.504555555555555,79.01,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01 10.504555555555555, 79.01244444444444 10.505555555555556)"
27,26,S,DA,26,25 - 26,291.734870076225,2.04,95.913818,,10.505555555555556,79.01244444444444,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01244444444444 10.505555555555556, 79.01483333333333 10.5065)"
28,27,S,DA,26,26 - 27,280.3648139774132,2.17,94.152657,,10.5065,79.01483333333333,,,,,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01483333333333 10.5065, 79.01716666666667 10.507472222222223)"
29,28,T,DC,26,27 - 28,277.4612274516637,1.93,89.548805,"24°21'55"" R",10.507472222222223,79.01716666666667,2W,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01716666666667 10.507472222222223, 79.01983333333334 10.507361111111111)"
30,29,S,DA,26,28 - 29,291.9732618803242,3.07,91.1244889999999,,10.507361111111111,79.01983333333334,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01983333333334 10.507361111111111, 79.02225 10.507305555555556)"
31,30,S,DA,26,29 - 30,262.7505795107017,3.22,91.914642,,10.507305555555556,79.02225,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02225 10.507305555555556, 79.02477777777777 10.507222222222222)"
32,31,S,DA,26,30 - 31,278.11840356917804,3.42,92.068222,,10.507222222222222,79.02477777777777,,,,,GOOD,Available,"LT,HT 2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02477777777777 10.507222222222222, 79.02725 10.507138888888889)"
33,32,S,DA,26,31 - 32,269.8006447717434,2.61,91.029617,,10.507138888888889,79.02725,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02725 10.507138888888889, 79.02980555555555 10.507083333333334)"
34,33,S,DA,26,32 - 33,280.95005062436167,2.89,90.2703479999999,,10.507083333333334,79.02980555555555,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02980555555555 10.507083333333334, 79.0321388888889 10.507)"
35,34,S,DA,26,33 - 34,255.51480630535147,3.06,90.6727139999999,,10.507,79.0321388888889,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0321388888889 10.507, 79.03463888888889 10.50688888888889)"
36,35,T,DC,26,34 - 35,274.85917653520994,4.01,88.944489,"32°50'25"" R",10.50688888888889,79.03463888888889,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03463888888889 10.50688888888889, 79.0363611111111 10.505694444444444)"
37,36,S,DA,26,35 - 36,229.88440219798386,2.79,86.8998409999999,,10.505694444444444,79.0363611111111,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0363611111111 10.505694444444444, 79.03813888888888 10.504472222222223)"
38,37,S,DA,26,36 - 37,236.23690649769193,3.02,86.542038,,10.504472222222223,79.03813888888888,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03813888888888 10.504472222222223, 79.03988888888888 10.50325)"
39,38,S,DA,26,37 - 38,234.70734190663632,3.24,84.8311389999999,,10.50325,79.03988888888888,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03988888888888 10.50325, 79.04169444444445 10.501972222222221)"
40,39,T,DC,26,38 - 39,242.0943668354911,3.71,83.7122339999999,"11°43'47"" R",10.501972222222221,79.04169444444445,2W,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04169444444445 10.501972222222221, 79.04344444444445 10.500111111111112)"
41,40,S,DA,26,39 - 40,280.99993836750303,3.8,81.516327,,10.500111111111112,79.04344444444445,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04344444444445 10.500111111111112, 79.04519444444445 10.498277777777776)"
42,41,S,DA,26,40 - 41,279.21607535739156,4.09,78.929001,,10.498277777777776,79.04519444444445,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04519444444445 10.498277777777776, 79.047 10.496333333333332)"
43,42,S,DA,26,41 - 42,294.76505252252997,5.11,74.9547199999999,,10.496333333333332,79.047,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.047 10.496333333333332, 79.04872222222222 10.494527777777776)"
44,43,S,DA,26,42 - 43,275.2137797934683,1.73,74.4925539999999,,10.494527777777776,79.04872222222222,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04872222222222 10.494527777777776, 79.05063888888888 10.4925)"
45,44,S,DA,26,43 - 44,304.6824211417628,2.41,71.8567809999999,,10.4925,79.05063888888888,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05063888888888 10.4925, 79.05194444444444 10.491138888888887)"
46,45,S,DA,26,44 - 45,209.1563456459854,0.63,70.4181289999999,,10.491138888888887,79.05194444444444,,,,,GOOD,Available,"HT,LT 2NO",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05194444444444 10.491138888888887, 79.05316666666667 10.48986111111111)"
47,46,T,DC,26,45 - 46,195.04776396503243,1.27,69.95649,"24°40'26"" L",10.48986111111111,79.05316666666667,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05316666666667 10.48986111111111, 79.05538888888888 10.488972222222221)"
48,47,S,DA,26,46 - 47,260.7164840519366,3.05,69.0201569999999,,10.488972222222221,79.05538888888888,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05538888888888 10.488972222222221, 79.05797222222222 10.488)"
49,48,S,DA,26,47 - 48,302.92477813871716,2.41,68.0398639999999,,10.488,79.05797222222222,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05797222222222 10.488, 79.06002777777778 10.487194444444444)"
50,49,S,DA,26,48 - 49,242.74361424745223,2.19,66.831207,,10.487194444444444,79.06002777777778,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06002777777778 10.487194444444444, 79.06233333333333 10.486305555555555)"
51,50,S,DA,26,49 - 50,270.933311876181,1.68,64.3524019999999,,10.486305555555555,79.06233333333333,,,,,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06233333333333 10.486305555555555, 79.06469444444444 10.485416666666666)"
52,51,S,DA,26,50 - 51,276.2432938347378,0.43,62.37162,,10.485416666666666,79.06469444444444,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06469444444444 10.485416666666666, 79.06597222222221 10.484944444444444)"
53,LILO : 1 ,T,DB,26,51 - LILO:1 ,148.6285121049052,1.06,62.814011,"1°58'14"" R",10.484944444444444,79.06597222222221,3W,,,,GOOD,Available,,,PLAIN,LILO to Gandharvakottai,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06597222222221 10.484944444444444, 79.0671111111111 10.484444444444444)"
54,52,T,DB,26,LILO : 1- 52,136.0750331760739,3.74,56.8793599999999,"0°42'48"" R",10.484444444444444,79.0671111111111,,,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0671111111111 10.484444444444444, 79.06908333333332 10.48361111111111)"
