Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GT MUSIRI SS,GANTRY,20,,,,101.969292,,10.97095143721695,78.43612517856849,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43612517856849 10.97095143721695, 78.43578017848004 10.970900435640365)"
1,SD,28,GT-1,38.1493855185171,3.1,104.369919,"47°8'11""LT",10.970900435640365,78.43578017848004,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43578017848004 10.970900435640365, 78.43497217971698 10.969732442750303)"
2,SC,26,1-2,156.585683885375,1.35,98.599953,"22°25'53""RT",10.969732442750303,78.43497217971698,GOOD,GOOD,"HT-1,LT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43497217971698 10.969732442750303, 78.43292718114547 10.96840943772037)"
3,SD,28,2-3,267.315840338747,2.65,104.5158,"59°49'49""RT",10.96840943772037,78.43292718114547,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43292718114547 10.96840943772037, 78.43041118382153 10.969583439990194)"
4,SA,26,3-4,304.291274316253,4.5,102.884689,,10.969583439990194,78.43041118382153,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43041118382153 10.969583439990194, 78.42786218649705 10.970898435632098)"
5,SA,26,4-5,314.469009280582,3.55,102.58049,,10.970898435632098,78.42786218649705,GOOD,GOOD,"HT-2,LT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42786218649705 10.970898435632098, 78.42593918826554 10.971869439970352)"
6,SD,28,5-6,236.170338042331,2.35,95.573509,"50°29'34""RT",10.971869439970352,78.42593918826554,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42593918826554 10.971869439970352, 78.42537718954723 10.97429543559643)"
7,SD,28,6-7,275.450179241748,4.25,93.751831,"41°18'27""RT",10.97429543559643,78.42537718954723,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42537718954723 10.97429543559643, 78.42637318775688 10.976114437670207)"
8,SD,28,7-8,228.901047938303,6.35,98.636963,"58°41'37""LT",10.976114437670207,78.42637318775688,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42637318775688 10.976114437670207, 78.42527418891865 10.977961439498557)"
9,SA,26,8-9,237.136341649666,2.85,102.203537,,10.977961439498557,78.42527418891865,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42527418891865 10.977961439498557, 78.42444919015324 10.979370436399968)"
