S. No ,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,Availability of road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO-31,S,,SA,SC,26,32-31,NO,274.4667557,2.62,14,,79.60761111,11.07047222,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60761111111111 11.070472222222222, 79.60516666666666 11.069527777777777)"
20,T.NO-30,S,,SA,SC,26,31-30,NO,285.2455083,2.77,16,,79.60516667,11.06952778,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60516666666666 11.069527777777777, 79.60283333333332 11.068583333333333)"
21,T.NO-29,S,,SA,SC,26,30-29,NO,274.273586,2.27,16,,79.60283333,11.06858333,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60283333333332 11.068583333333333, 79.60063888888888 11.067722222222223)"
22,T.NO-28,S,,SA,SC,26,29-28,DIFICULT,258.4879107,2.55,17,,79.60063889,11.06772222,GOOD,GOOD,NO,,CANAL CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60063888888888 11.067722222222223, 79.59830555555556 11.066777777777778)"
23,T.NO-27,S,,SA,SC,26,28-27,DIFICULT,275.9438349,2.11,16,,79.59830556,11.06677778,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59830555555556 11.066777777777778, 79.59599999999999 11.065805555555556)"
24,T.NO-26,S,,SA,SC,26,27-26,YES,275.6174886,2.17,15,,79.596,11.06580556,GOOD,GOOD,NO,,"TAAR ROAD, CANAL",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59599999999999 11.065805555555556, 79.59386111111111 11.064444444444446)"
25,T.NO-25,T,,SB,SC,24,26-25,NO,276.5682556,2.27,17,"00°00'0""",79.59386111,11.06444444,4LEG CONCRETE DAMAGE,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59386111111111 11.064444444444446, 79.59169444444444 11.063027777777778)"
26,T.NO-24,S,,SA,SC,26,25-24,NO,282.6393462,1.17,19,,79.59169444,11.06302778,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION LAND,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59169444444444 11.063027777777778, 79.5895 11.061611111111112)"
27,T.NO-23,S,,SA,SC,26,24-23,NO,288.4666359,1.17,18,,79.5895,11.06161111,GOOD,GOOD,NO,230 KV LINE CROSSING ABOVE OUR LINE,,CULTIVATION LAND,EARTH WIRE CONNECT TO 230KV TOWER FROM THIS TOWER. THEN  EARTH WIRE CONNECT TO OUR T.NO-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5895 11.061611111111112, 79.58722222222222 11.060111111111112)"
28,T.NO-22,S,,SA,SC,26,23-22,NO,295.9358038,2.27,21,,79.58722222,11.06011111,GOOD,GOOD,NO,,,CULTIVATION LAND,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58722222222222 11.060111111111112, 79.58477777777777 11.058416666666668)"
29,T.NO-21,S,,SA,SC,26,22-21,NO,327.0428107,2.11,21,,79.58477778,11.05841667,GOOD,GOOD,NO,,,CULTIVATION LAND,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58477777777777 11.058416666666668, 79.58244444444443 11.056833333333334)"
30,T.NO-20,S,,SA,SC,26,21-20,YES,308.7086005,1.77,19,,79.58244444,11.05683333,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58244444444443 11.056833333333334, 79.58197222222222 11.056416666666667)"
31,T.NO-19 LILO,LILO,3W,,SC,32,20-19LILO,YES,70.76722405,1.24,16,LILO,79.58197222,11.05641667,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,"NEED JUCTION BOX. 2EARTH WIRE. OUR E/W CONTINUES TO OUR T.NO-18 AND ANOTER E/W CONNECT TO KADALGUDI - KUTHALAM GTP 110KV TOWER ,CANAL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58197222222222 11.056416666666667, 79.58097222222221 11.058444444444445)"
32,T.NO-18,T,,SB,DC,24,19LILO-18,NO,252.2478939,1.96,20,"00°00'0""",79.58097222,11.05844444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58097222222221 11.058444444444445, 79.57983333333333 11.060666666666668)"
33,T.NO17,S,,DA,DC,26,18-17,NO,272.3545483,1.82,21,,79.57983333,11.06066667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57983333333333 11.060666666666668, 79.57883333333334 11.062777777777779)"
34,T.NO-16,S,,DA,DC,26,17-16,NO,258.9922779,2.11,22,,79.57883333,11.06277778,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57883333333334 11.062777777777779, 79.57777777777777 11.064861111111112)"
35,T.NO-15,S,,DA,DC,26,16-15,NO,257.619875,2.22,19,,79.57777778,11.06486111,GOOD,GOOD,NO,LT ,2NOS TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57777777777777 11.064861111111112, 79.57663888888888 11.067027777777778)"
36,T.NO-14,S,,DA,DC,26,15-14,YES,271.0295187,2.17,19,,79.57663889,11.06702778,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57663888888888 11.067027777777778, 79.57547222222222 11.069333333333333)"
37,T.NO-13,S,,DA,DC,26,14-13,NO,283.9806331,3.14,17,,79.57547222,11.06933333,GOOD,GOOD,NO,"2NOS LT, 11KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57547222222222 11.069333333333333, 79.57547222222222 11.069694444444444)"
38,T.NO-12B,TB,,TB,TB,20,13-12B,,41.01219331,2.68,20,,79.57547222,11.06969444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57547222222222 11.069694444444444, 79.5753611111111 11.070305555555555)"
39,T.NO-12A,TB,,TB,TB,20,12B-12A,NO,70.03570518,,20,,79.57536111,11.07030556,GOOD,GOOD,NO,230 KV LINE CROSSING ABOVE OUR LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5753611111111 11.070305555555555, 79.57519444444443 11.071194444444444)"
40,T.NO-12,T,,DB,DC,24,12A-12,NO,98.47842403,,20,"4°58'52""",79.57519444,11.07119444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57519444444443 11.071194444444444, 79.575 11.07338888888889)"
41,T.NO-11,T,,DB,DC,24,12-Nov,NO,242.9094481,2.71,21,"8°30'49""",79.575,11.07338889,GOOD,GOOD,NO,2NOS LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.575 11.07338888888889, 79.57477777777777 11.07425)"
42,T.NO-10,T,,DB,DC,32,11-Oct,NO,98.71676656,3.15,21,"8°40'10""",79.57477778,11.07425,GOOD,GOOD,YES,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57477777777777 11.07425, 79.57391666666666 11.076333333333332)"
43,T.NO-9,T,,DB,DC,32,10-Sep,NO,249.3932637,3.31,21,"00°00'0""",79.57391667,11.07633333,GOOD,GOOD,NO,,NON ELECTRICAL RAILWAY CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57391666666666 11.076333333333332, 79.57330555555555 11.07775)"
44,T.NO-8,S,,DA,DC,26,09-Aug,YES,170.6985647,2.91,24,,79.57330556,11.07775,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57330555555555 11.07775, 79.57216666666666 11.079472222222222)"
45,T.NO-7,T,,DC,DC,26,08-Jul,NO,226.101747,2.93,23,"21°45'12""",79.57216667,11.07947222,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57216666666666 11.079472222222222, 79.5718611111111 11.081166666666666)"
46,T.NO-6,T,,DC,DC,26,07-Jun,NO,190.2472076,2.45,24,"25°30'53""",79.57186111,11.08116667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5718611111111 11.081166666666666, 79.57233333333333 11.082972222222223)"
47,T.NO-5,S,,DA,DC,29,06-May,YES,205.9368835,2.51,23,,79.57233333,11.08297222,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57233333333333 11.082972222222223, 79.57377777777778 11.084944444444446)"
48,T.NO-4,T,,DD,DC,34,05-Apr,YES,271.00738,2.72,25,"32°44'57""",79.57377778,11.08494444,GOOD,GOOD,NO,11KV,"TAAR ROAD,RIVER",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57377777777778 11.084944444444446, 79.57255555555555 11.083805555555557)"
49,T.NO-3,S,,DA,DC,26,4--3,NO,184.0434731,3.15,22,,79.57255556,11.08380556,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57255555555555 11.083805555555557, 79.57505555555555 11.086166666666667)"
50,T.NO-2,T,,DD,DC,34,03-Feb,YES,377.7247675,2.56,21,"40°6'39""",79.57505556,11.08616667,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57505555555555 11.086166666666667, 79.57519444444443 11.087833333333334)"
51,T.NO-1,T,,DC,DC,26,02-Jan,YES,183.7879213,,25,"28°41'33""",79.57519444,11.08783333,GOOD,GOOD,YES,"3NOS  LT,2NOS 1KV",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57519444444443 11.087833333333334, 79.57505555555555 11.088166666666668)"
52,KADALANGUDI 230KV GANTRY,GANTRY,2W,,GANTRY,20,1-GANTRY,YES,40.31128874,,28,,79.57505556,11.08816667,GOOD,GOOD,,,,PLAIN LAND,NO EARTH WIRE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
