Tower No,Tower Type,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
27 Lilo,T,T,3W,26,,,,,,,11.80712926,78.9255919,GOOD,GOOD,,,,LILO TO SANGARAPURAM SS (SANGARAPURAM - ALAGAPURAM LINE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.925591898711 11.807129257557529, 78.9254027905044 11.804895245080845)"
26,SB,T,,24,27-26,,248,4.3,146.09," 12d26'51""LT",11.80489525,78.92540279,GOOD,GOOD,,,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9254027905044 11.804895245080845, 78.92573302970378 11.802482735220353)"
25,SA,S,,26,26-25,,269.352,8.92,141.15,,11.80248274,78.92573303,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92573302970378 11.802482735220353, 78.9260798685301 11.799948840870224)"
24,SA,S,,26,25-24,,282.904,8.47,139.74,,11.79994884,78.92607987,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9260798685301 11.799948840870224, 78.92637879016658 11.797754247050877)"
23,SA,S,,26,24-23,,245.0003,3.87,141.87,,11.79775425,78.92637879,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92637879016658 11.797754247050877, 78.92679278995537 11.794740245679586)"
22,SD,T,,28,23-22,,336.5279,,141.37,"31d24'31""LT",11.79474025,78.92679279,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92679278995537 11.794740245679586, 78.92805036106654 11.793215018687931)"
21,SA,S,,26,22-21,,217.4204,,142.38,,11.79321502,78.92805036,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92805036106654 11.793215018687931, 78.92968678822392 11.791226249082754)"
20,SA,S,,26,21-20,,283.2737,4.55,141.74,,11.79122625,78.92968679,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92968678822392 11.791226249082754, 78.9305797877015 11.790147246466182)"
19,SD,T,,28,20-19,,154.0446,,143.77," 58d51'16""RT",11.79014725,78.93057979,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9305797877015 11.790147246466182, 78.92948878845873 11.787156246742942)"
18,SC,T,,26,19-18,,351.6639,,141.63," 18d36'3""LT",11.78715625,78.92948879,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92948878845873 11.787156246742942, 78.92943578813426 11.784591243934488)"
17,SB,T,,24,18-17,,283.8662,2.51,141.96," 11d43'30""LT",11.78459124,78.92943579,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92943578813426 11.784591243934488, 78.92989855808831 11.782134246172758)"
16,SA,S,,26,17-16,,276,,143.45,,11.78213425,78.92989856,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92989855808831 11.782134246172758, 78.93035978783308 11.77967725284642)"
15,SA,S,,26,16-15,,276,,141.26,,11.77967725,78.93035979,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93035978783308 11.77967725284642, 78.93077578745829 11.777508252467342)"
14,SB,T,2W,24,15-14,,244.2383,,143.58,"3d41'11""RT",11.77750825,78.93077579,GOOD,GOOD,,,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93077578745829 11.777508252467342, 78.93114478737763 11.774431249492418)"
13,SA,S,,28,14-13,,342.823,7.85,142.6,,11.77443125,78.93114479,GOOD,GOOD,400KV,,PLAIN,LINE CROSSING IN 400KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93114478737763 11.774431249492418, 78.93149278667086 11.771646248069978)"
12,SC,T,,26,13-12,,310.4764,4.55,140.29," 23d18'4""RT",11.77164625,78.93149279,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93149278667086 11.771646248069978, 78.93075578762118 11.769190254202062)"
11,SA,S,,28,11-Dec,,283.3715,3.11,137.56,,11.76919025,78.93075579,GOOD,GOOD,LT-2,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93075578762118 11.769190254202062, 78.93006763408032 11.766884275714851)"
10,SA,S,,26,10-Nov,,266,,137.46,,11.76688428,78.93006763,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93006763408032 11.766884275714851, 78.92932078795289 11.764420248346912)"
9,SA,S,,26,9-Oct,,284.5331,,137.08,,11.76442025,78.92932079,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92932078795289 11.764420248346912, 78.92857578873657 11.761899248186303)"
8,SB,T,,26,8-Sep,,290.5228,7.5,137.92," 8d55'13""RT",11.76189925,78.92857579,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92857578873657 11.761899248186303, 78.92739431549954 11.759441972421447)"
7,SA,S,,26,7-Aug,,300.8444,,140.69,,11.75944197,78.92739432,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92739431549954 11.759441972421447, 78.92604731749833 11.756640424134421)"
6,SA,S,,26,6-Jul,,343.0017,,139.82,,11.75664042,78.92604732,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92604731749833 11.756640424134421, 78.92499395107664 11.754449543137572)"
5,SA,S,,26,5-Jun,,268.2354,8.47,139.91,,11.75444954,78.92499395,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92499395107664 11.754449543137572, 78.92370579129276 11.751770256217553)"
4,SB,T,,24,4-May,,328.0373,7.95,139.87," 6d58'56""RT",11.75177026,78.92370579,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92370579129276 11.751770256217553, 78.92238579270125 11.749715255198918)"
3,SB,T,,24,3-Apr,,269.0958,4.94,143.27,"12d47'45""LT",11.74971526,78.92238579,GOOD,GOOD,"LT-1,HT-2","RIVER,ROAD",PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92238579270125 11.749715255198918, 78.92144779293251 11.747110256287495)"
2,SD,T,,28,2-Mar,,305.8387,10.83,140.69,"33d17'32""RT",11.74711026,78.92144779,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92144779293251 11.747110256287495, 78.92001579361356 11.746040259707144)"
1,SD,T,,28,1-Feb,,195.941,,144.48," 47d15'26""RT",11.74604026,78.92001579,GOOD,GOOD,"LT-1,HT-2",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92001579361356 11.746040259707144, 78.9198217943459 11.746074257323851)"
KALLAKURUCHI GANTRY,GANTRY,T,2W,20,1-GANTRY,,21.4835,,147.77,,11.74607426,78.91982179,GOOD,GOOD,,,PLAIN,KALLAKURICHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
