S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,19,S,,SA+1.5,23.5,18-19,252.8007668,2.55,149.735382,,11.24861111,78.85541667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85541666666666 11.24861111111111, 78.85327777777778 11.247666666666666)"
21,20,S,,SA+1.5,23.5,19-20,254.0369739,3.77,150.238342,,11.24766667,78.85327778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85327777777778 11.247666666666666, 78.85113888888888 11.246722222222221)"
22,21,S,,SA+1.5,23.5,20-21,255.9529709,2.8,151.098389,,11.24672222,78.85113889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85113888888888 11.246722222222221, 78.84894444444444 11.245722222222222)"
23,22,S,,SA+1.5,23.5,21-22,262.9616533,4.1,152.328735,,11.24572222,78.84894444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84894444444444 11.245722222222222, 78.84675 11.24475)"
24,23,S,,SA+1.5,23.5,22-23,263.3973769,2.1,151.258026,,11.24475,78.84675,GOOD,Available,,Perambalur City,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84675 11.24475, 78.8445 11.243722222222221)"
25,24,T,,SB+1.5,22.5,23-24,271.9431413,2.47,151.670593,"4°55'46""R",11.24372222,78.8445,GOOD,Available,HT,Main Road ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8445 11.243722222222221, 78.84211111111111 11.242833333333332)"
26,25,S,,SA+1.5,23.5,24-25,278.2511391,1.39,142.922989,,11.24283333,78.84211111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84211111111111 11.242833333333332, 78.83963888888889 11.241805555555555)"
27,26,S,,SA+1.5,23.5,25-26,293.1730438,2.39,144.863358,,11.24180556,78.83963889,GOOD,Available,,College,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83963888888889 11.241805555555555, 78.83733333333333 11.240972222222222)"
28,27,T,,SC+1.5,23.5,26-27,269.6231104,2.1,145.937302,"46°0'20""R",11.24097222,78.83733333,GOOD,Available,,College Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83733333333333 11.240972222222222, 78.83527777777778 11.241944444444444)"
29,28,T,2W,SC+1.5,23.5,27-28,248.2158616,1.92,146.133972,"56°13'6""R",11.24194444,78.83527778,GOOD,Available,400 KV,College Inside,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83527777777778 11.241944444444444, 78.83488888888888 11.244583333333333)"
30,29,S,,SA,22,28-29,297.2663677,1.1,144.198059,,11.24458333,78.83488889,GOOD,Available,,NH ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83488888888888 11.244583333333333, 78.83469444444444 11.247055555555555)"
31,30,S,,SA,22,29-30,271.5532637,1.47,142.284225,,11.24705556,78.83469444,GOOD,Available,"LT,HT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83469444444444 11.247055555555555, 78.83447222222222 11.249638888888889)"
32,31,S,,SA,22,30-31,288.1337505,3.21,139.577698,,11.24963889,78.83447222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83447222222222 11.249638888888889, 78.83419444444444 11.2525)"
33,32,S,,SA,22,31-32,318.2609228,2.9,137.890564,,11.2525,78.83419444,GOOD,Available,LT,River ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83419444444444 11.2525, 78.83394444444444 11.25511111111111)"
34,33,S,,SA,22,32-33,289.816015,4.22,137.432907,,11.25511111,78.83394444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83394444444444 11.25511111111111, 78.83369444444443 11.257833333333334)"
35,34,S,,SA,22,33-34,303.1036089,2.95,138.802338,,11.25783333,78.83369444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83369444444443 11.257833333333334, 78.83344444444444 11.260777777777777)"
36,35,S,,SA,22,34-35,327.3022731,2.39,138.539383,,11.26077778,78.83344444,GOOD,Available,LT -2No,Alampodi Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83344444444444 11.260777777777777, 78.83319444444444 11.2635)"
37,36,S,,SA,22,35-36,300.9921055,3.11,141.736572,,11.2635,78.83319444,GOOD,Available,LT -2No,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83319444444444 11.2635, 78.83297222222222 11.265694444444444)"
38,37,S,,SA,22,36-37,244.8886586,1.77,143.506927,,11.26569444,78.83297222,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83297222222222 11.265694444444444, 78.83277777777778 11.268027777777778)"
39,38,T,2W,SB,21,37-38,257.934567,2.4,146.462784,"12°24'12""L",11.26802778,78.83277778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83277777777778 11.268027777777778, 78.83197222222222 11.27052777777778)"
40,39,S,,SA,22,38-39,290.4831396,2.59,149.428375,,11.27052778,78.83197222,GOOD,Available,LT-2No,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83197222222222 11.27052777777778, 78.83113888888889 11.273138888888889)"
41,40,S,,SA,22,39-40,304.954233,1.7,149.15509,,11.27313889,78.83113889,GOOD,Available,LT -2No,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83113888888889 11.273138888888889, 78.83027777777778 11.275777777777778)"
42,41,S,,SA,22,40-41,306.0832322,2.36,153.369736,,11.27577778,78.83027778,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83027777777778 11.275777777777778, 78.82944444444443 11.278416666666667)"
43,42,S,,SA,22,41-42,305.1044245,1.25,153.508362,,11.27841667,78.82944444,GOOD,Available,"HT,LT-2No",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82944444444443 11.278416666666667, 78.82863888888889 11.281055555555556)"
44,43,S,,SA,22,42-43,305.3943978,2.1,149.955475,,11.28105556,78.82863889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82863888888889 11.281055555555556, 78.82775 11.283722222222222)"
45,44,S,,SA,22,43-44,310.2900552,1.96,148.172333,,11.28372222,78.82775,GOOD,Available,LT -2No,Canal,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82775 11.283722222222222, 78.82694444444444 11.286277777777778)"
46,45,S,,SA,22,44-45,295.836569,1.88,149.192047,,11.28627778,78.82694444,GOOD,Available,11 KV,Metal Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82694444444444 11.286277777777778, 78.82622222222221 11.288583333333333)"
47,46,S,,SA,22,45-46,268.2573282,3.01,150.681152,,11.28858333,78.82622222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82622222222221 11.288583333333333, 78.82541666666667 11.291083333333333)"
48,47,S,,SA,22,46-47,288.6174731,4.17,155.387695,,11.29108333,78.82541667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82541666666667 11.291083333333333, 78.82463888888888 11.293416666666667)"
49,48,T,,SB,21,47-48,271.9534464,2.99,167.509842,"19°43'53"" L",11.29341667,78.82463889,GOOD,Available,LT,Road,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82463888888888 11.293416666666667, 78.82327777777778 11.295166666666667)"
50,49,S,,SA,22,48-49,246.8134572,1.77,156.405304,,11.29516667,78.82327778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82327777777778 11.295166666666667, 78.82233333333333 11.29636111111111)"
51,LILO : 49/1,T,3W,SB,21,49- 49/1,166.0255777,2.65,154.34465,"0°7'8"" L",11.29636111,78.82233333,GOOD,Available,LT,,AGRI,LILO TO ALAMPADY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82233333333333 11.29636111111111, 78.82188888888888 11.296916666666666)"
52,50,S,,SA,22, 49/1-50,78.64797789,0.99,152.332855,,11.29691667,78.82188889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82188888888888 11.296916666666666, 78.82005555555556 11.299222222222221)"
53,51,S,,SA,22,50-51,322.3708734,1.76,152.162766,,11.29922222,78.82005556,GOOD,Available,"HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82005555555556 11.299222222222221, 78.81869444444445 11.30088888888889)"
54,52,T,,SB,21,51-52,237.6990848,2.25,152.733444,"23°24'17"" R",11.30088889,78.81869444,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81869444444445 11.30088888888889, 78.81797222222222 11.303611111111111)"
55,53,S,,SA,22,52-53,312.7044636,3.37,153.808548,,11.30361111,78.81797222,GOOD,Available,"HT,LT -2No",Canal,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81797222222222 11.303611111111111, 78.81725 11.30625)"
56,54,S,,SA,22,53-54,302.0370537,4.21,156.947357,,11.30625,78.81725,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81725 11.30625, 78.81647222222222 11.309083333333334)"
57,55,S,,SA,22,54-55,323.1966739,3.1,163.663162,,11.30908333,78.81647222,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81647222222222 11.309083333333334, 78.81575 11.311722222222222)"
58,56,S,,SA,22,55-56,304.4590871,1.67,170.274338,,11.31172222,78.81575,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81575 11.311722222222222, 78.81505555555555 11.314277777777779)"
59,57,S,,SA,22,56-57,289.9445197,1.11,172.952148,,11.31427778,78.81505556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81505555555555 11.314277777777779, 78.81436111111111 11.316805555555556)"
60,58,S,2W,SA,22,57-58,290.9376534,1.19,170.286041,,11.31680556,78.81436111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81436111111111 11.316805555555556, 78.81366666666666 11.319388888888888)"
61,59,S,,SA,22,58-59,294.4826009,1.27,169.404404,,11.31938889,78.81366667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81366666666666 11.319388888888888, 78.81297222222221 11.321916666666667)"
