,Tower No, Supspension/Tenion,TOWER TYPE,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,,,,,,,,,,,,10.703908,79.322169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.322169 10.703908, 79.322405 10.703386)"
,,,,,,,,,,,,10.703386,79.322405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.322405 10.703386, 79.3220151 10.7052063)"
1,,,,,,,,,,,,10.7052063,79.3220151,3487449156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3220151 10.7052063, 79.3217678 10.7065272)"
2,,,,,,,,,,,,10.7065272,79.3217678,3487449272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3217678 10.7065272, 79.3209151 10.7087814)"
3,,,,,,,,,,,,10.7087814,79.3209151,3487449276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3209151 10.7087814, 79.320076 10.7109864)"
4,,,,,,,,,,,,10.7109864,79.320076,3487449281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.320076 10.7109864, 79.3192764 10.7130825)"
5,,,,,,,,,,,,10.7130825,79.3192764,3487449286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3192764 10.7130825, 79.3194979 10.7150057)"
6,,,,,,,,,,,,10.7150057,79.3194979,3487449289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3194979 10.7150057, 79.320818 10.7169378)"
7,,,,,,,,,,,,10.7169378,79.320818,3487449294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.320818 10.7169378, 79.3218876 10.7185375)"
8,,,,,,,,,,,,10.7185375,79.3218876,3487449298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3218876 10.7185375, 79.3229224 10.7201341)"
9,,,,,,,,,,,,10.7201341,79.3229224,3487449302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3229224 10.7201341, 79.3240209 10.721771)"
10,,,,,,,,,,,,10.721771,79.3240209,3487449307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3240209 10.721771, 79.3239766 10.7237399)"
11,,,,,,,,,,,,10.7237399,79.3239766,3487449312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3239766 10.7237399, 79.3239113 10.726222)"
12,,,,,,,,,,,,10.726222,79.3239113,3487449329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3239113 10.726222, 79.3248611 10.7280512)"
13,,,,,,,,,,,,10.7280512,79.3248611,3487449334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3248611 10.7280512, 79.3257054 10.7297362)"
14,,,,,,,,,,,,10.7297362,79.3257054,3487449339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3257054 10.7297362, 79.326559 10.7314397)"
15,,,,,,,,,,,,10.7314397,79.326559,3487449343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.326559 10.7314397, 79.3275634 10.7333956)"
16,,,,,,,,,,,,10.7333956,79.3275634,3487449349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3275634 10.7333956, 79.3297714 10.7344921)"
17,,,,,,,,,,,,10.7344921,79.3297714,3487449354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3297714 10.7344921, 79.332003 10.7356004)"
18,,,,,,,,,,,,10.7356004,79.332003,3487449356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.332003 10.7356004, 79.334238 10.7366811)"
19,,,,,,,,,,,,10.7366811,79.334238,3487449361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.334238 10.7366811, 79.3360359 10.7375771)"
20,,,,,,,,,,,,10.7375771,79.3360359,3487449365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3360359 10.7375771, 79.3377914 10.7384432)"
21,,,,,,,,,,,,10.7384432,79.3377914,3487448905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3377914 10.7384432, 79.338717 10.7397475)"
