,Tower No, Supspension/Tenion,JOINT BOX,Tower Type ,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTHING AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO-18,T,2W,DC,DC,35,17-18,NO,217.4971264,1.26,17,"15°16'33.60""",79.64708333,10.80016667,GOOD,GOOD,YES,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64708333333334 10.800166666666668, 79.64825 10.800083333333333)"
20,T.NO-19,T,,DB,DC,35,18-19,NO,127.251719,1.29,17,"14°23'19.39""",79.64825,10.80008333,GOOD,GOOD,NO,LT,ELECTRICAL RAILWAY CROSSING,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64825 10.800083333333333, 79.65055555555556 10.800527777777779)"
21,T.NO-20,S,,DA,DC,26,19-20,NO,256.5306999,AT PRESENT WATER FOR NEXT CROPING,15,,79.65055556,10.80052778,RUSTED,NO EARTH WIRE,NO,,,CULTIVATIONLAND,AT PRESENT WATER FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65055555555556 10.800527777777779, 79.65272222222222 10.800944444444445)"
22,T.NO-21,S,,DA,DC,26,20-21,NO,243.8216561,1.52,15,,79.65272222,10.80094444,GOOD,NO EARTH WIRE,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65272222222222 10.800944444444445, 79.65508333333334 10.801388888888889)"
23,T.NO-22,S,,DA,DC,26,21-22,NO,261.629509,1.66,16,,79.65508333,10.80138889,GOOD,NO EARTH WIRE,NO,LT,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65508333333334 10.801388888888889, 79.65741666666668 10.801333333333334)"
24,T.NO-23,S,,DA,DC,26,22-23,NO,254.0964384,1.53,16,,79.65741667,10.80133333,GOOD,NO EARTH WIRE,NO,"LT, 11KV","CANAL, POND, MUD ROAD",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65741666666668 10.801333333333334, 79.65969444444445 10.80225)"
25,T.NO-24,S,,DA,DC,26,23-24,NO,269.8184575,1.86,15,,79.65969444,10.80225,GOOD,NO EARTH WIRE,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65969444444445 10.80225, 79.66194444444444 10.802666666666667)"
26,T.NO-25,S,,DA,DC,26,24-25,NO,251.4318993,AT PRESENT WATER FOR NEXT CROPING,18,,79.66194444,10.80266667,GOOD,NO EARTH WIRE,NO,,,CULTIVATIONLAND,AT PRESENT WATER FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66194444444444 10.802666666666667, 79.66416666666667 10.803055555555556)"
27,T.NO-26,S,,DA,DC,26,25-26,NO,246.7752013,AT PRESENT WATER FOR NEXT CROPING,18,,79.66416667,10.80305556,GOOD,NO EARTH WIRE,NO,LT,,CULTIVATIONLAND,AT PRESENT WATER FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66416666666667 10.803055555555556, 79.66644444444445 10.803500000000001)"
28,T.NO-27,S,,DA,DC,26,26-27,NO,252.4143419,AT PRESENT WATER FOR NEXT CROPING,17,,79.66644444,10.8035,GOOD,NO EARTH WIRE,NO,,,CULTIVATIONLAND,AT PRESENT WATER FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66644444444445 10.803500000000001, 79.66880555555556 10.803916666666668)"
