S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,22,T,,DC,26,20-21,250.0101259,1.35,84.58329,"39°31'12""L",10.70061111,79.04666667,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04666666666667 10.70061111111111, 79.04625 10.697833333333334)"
23,23,S,,DA,26,21-22,310.9111868,4.17,84.987679,,10.69783333,79.04625,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04625 10.697833333333334, 79.04586111111111 10.69525)"
24,24,S,,DA,26,22-23,287.1048271,3.1,86.639427,,10.69525,79.04586111,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04586111111111 10.69525, 79.0455 10.693027777777777)"
25,25,T,,DB,25,23-24,248.0311778,1.2,88.26786,"0°42'36""L",10.69302778,79.0455,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0455 10.693027777777777, 79.04508333333334 10.690583333333334)"
26,26,S,,DA,26,24-25,274.3159389,1.63,89.058838,,10.69058333,79.04508333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04508333333334 10.690583333333334, 79.04475 10.688472222222222)"
27,27,S,,DA,26,25-26,237.471073,4.8,90.770409,,10.68847222,79.04475,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04475 10.688472222222222, 79.04444444444444 10.686222222222222)"
28,28,S,,DA,26,26-27,250.8853404,4.63,92.824562,,10.68622222,79.04444444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04444444444444 10.686222222222222, 79.04408333333333 10.684027777777779)"
29,29,S,,DA,26,27-28,247.6757344,3.22,94.728401,,10.68402778,79.04408333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04408333333333 10.684027777777779, 79.04375 10.681777777777777)"
30,30,T,,DB,25,28-29,251.4621112,2.32,95.315834,"0°10'48""R",10.68177778,79.04375,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04375 10.681777777777777, 79.04336111111111 10.679333333333332)"
31,31,S,,DA,26,29-30,271.1559196,3.03,99.592491,,10.67933333,79.04336111,GOOD,Available,LT,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04336111111111 10.679333333333332, 79.04305555555555 10.677249999999999)"
32,32,S,,DA,26,30-31,235.5294107,5.1,101.669708,,10.67725,79.04305556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04305555555555 10.677249999999999, 79.04275 10.674805555555555)"
33,33,S,,DA,26,31-32,273.1419426,0.58,102.788368,,10.67480556,79.04275,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04275 10.674805555555555, 79.0423888888889 10.672305555555555)"
34,34,T,2W,DB,25,32-33,277.2378312,1.01,105.856201,"8°26'24""R",10.67230556,79.04238889,GOOD,Available,,Village Road,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0423888888889 10.672305555555555, 79.04244444444444 10.669722222222221)"
35,35,S,,DA,26,33-34,286.447655,0.91,105.065506,,10.66972222,79.04244444,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04244444444444 10.669722222222221, 79.0425 10.667388888888889)"
36,36,S,,DA,26,34-35,257.0896507,1.56,106.640434,,10.66738889,79.0425,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0425 10.667388888888889, 79.04252777777778 10.665000000000001)"
37,37,T,,DB,25,35-36,265.9637976,2.77,109.059799,"2°1'12""R",10.665,79.04252778,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04252777777778 10.665000000000001, 79.04263888888889 10.662305555555555)"
38,38,S,,DA,26,36-37,295.9641773,4.18,108.766289,,10.66230556,79.04263889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04263888888889 10.662305555555555, 79.04275 10.659833333333333)"
39,39,S,,DA,26,37-38,275.6892673,2.1,107.351097,,10.65983333,79.04275,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04275 10.659833333333333, 79.04286111111111 10.657555555555556)"
40,40,T,,DB,25,38-39,251.6465877,1.46,108.225998,"23°4'48""R",10.65755556,79.04286111,GOOD,Available,66 KV,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04286111111111 10.657555555555556, 79.04383333333332 10.655583333333334)"
41,41,T,,DC,26,39-40,244.3411947,1.12,108.072899,"61°8'60""R",10.65558333,79.04383333,GOOD,Available,"66 KV,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04383333333332 10.655583333333334, 79.04447222222223 10.655527777777777)"
42,Gantry (Punalkulam SS),Gantry,2W,H-POLE,12,40-Gantry,67.94634894,,106.636665,,10.65552778,79.04447222,GOOD,NO E/W,HT,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
