S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Tiruvarur SS),Gantry,2W,DP,12,,,,21.327324,,10.7855,79.6145,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61449999999999 10.7855, 79.61441666666666 10.785083333333333)"
2,1,T,,DC,26,Gantry-1,46,1.38,21.644968,"66°48'14"" R",10.78508333,79.61441667,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61441666666666 10.785083333333333, 79.6141111111111 10.785055555555555)"
3,2,T,,DP,12,01-Feb,45,1.46,21.770927,"66°5'23"" R",10.78505556,79.61411111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6141111111111 10.785055555555555, 79.61397222222222 10.78525)"
4,3,T,,DP,12,02-Mar,25.73479929,2.02,21.821014,"40°38'0"" L",10.78525,79.61397222,GOOD,NO E/W,110 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61397222222222 10.78525, 79.61372222222222 10.785305555555555)"
5,4,T,,DC,26,03-Apr,27.96283723,3.16,21.111238,"9°38'9"" L",10.78530556,79.61372222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61372222222222 10.785305555555555, 79.61191666666666 10.7855)"
6,5,S,,DA,26,04-May,200.8526063,2.55,18.218431,,10.7855,79.61191667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61191666666666 10.7855, 79.60941666666666 10.785722222222223)"
7,6,S,,DA,26,05-Jun,273.0178621,2.27,21.290293,,10.78572222,79.60941667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60941666666666 10.785722222222223, 79.60733333333333 10.785916666666667)"
8,7,T,,DC,26,06-Jul,233,1.09,17.152149,"46°5'52"" L",10.78591667,79.60733333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60733333333333 10.785916666666667, 79.60633333333332 10.785083333333333)"
9,8,T,,DC,26,07-Aug,144.4635012,1.75,17.094809,"21°58'37"" L",10.78508333,79.60633333,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60633333333332 10.785083333333333, 79.60505555555555 10.782611111111112)"
10,9,S,,DA,26,08-Sep,306.5235894,6.82,15.624055,,10.78261111,79.60505556,GOOD,Available,2 HT,ROAD & RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60505555555555 10.782611111111112, 79.60402777777777 10.780472222222222)"
11,10,T,,DC,26,09-Oct,262.6604533,2.08,16.129984,"51°41'31"" R",10.78047222,79.60402778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60402777777777 10.780472222222222, 79.60158333333332 10.779916666666667)"
12,11,T,,DC,26,10-Nov,272.7707094,2.74,17.519394,"55°55'40"" L",10.77991667,79.60158333,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60158333333332 10.779916666666667, 79.60080555555555 10.777944444444445)"
13,12,T,,DC,26,11-Dec,234.5913597,3.72,16.342369,"20°59'9"" L",10.77794444,79.60080556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60080555555555 10.777944444444445, 79.60080555555555 10.775)"
14,13,S,,SA,22,Dec-13,325.9431868,2.91,17.252827,,10.775,79.60080556,GOOD,Available,LT -2NO,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60080555555555 10.775, 79.60083333333333 10.772555555555556)"
15,14,S,,SA,22,13-14,271.1256281,2.34,16.559155,,10.77255556,79.60083333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60083333333333 10.772555555555556, 79.60080555555555 10.770222222222223)"
16,15,S,,SA,22,14-15,260,3.92,17.125883,,10.77022222,79.60080556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60080555555555 10.770222222222223, 79.60083333333333 10.767777777777779)"
17,16,S,,SA,22,15-16,270.4461914,2.16,17.287205,,10.76777778,79.60083333,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60083333333333 10.767777777777779, 79.60091666666666 10.765916666666667)"
18,17,T,,DC,26,16-17,206.7555435,1.92,15.885646,"6°32'58"" R",10.76591667,79.60091667,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60091666666666 10.765916666666667, 79.6008611111111 10.765194444444445)"
19,18,T,,DC,26,17-18,79.52711851,2.16,16.145386,"10°13'16"" L",10.76519444,79.60086111,GOOD,Available,"LT,HT",RAILWAY ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6008611111111 10.765194444444445, 79.60094444444444 10.76436111111111)"
20,19,T,,SC,22,18-19,94,3.12,15.968465,"47°13'35"" L",10.76436111,79.60094444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60094444444444 10.76436111111111, 79.60133333333333 10.764083333333334)"
21,20,T,,DP,22,19-20,51.95311841,1.16,17.067503,"39°31'41"" L",10.76408333,79.60133333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60133333333333 10.764083333333334, 79.60161111111111 10.764111111111111)"
22,21,T,,DP,22,20-21,31.20859958,1.71,16.995083,"31°34'46"" R",10.76411111,79.60161111,GOOD,Available,110 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60161111111111 10.764111111111111, 79.60216666666666 10.763805555555555)"
