S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly / Forest / Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO -  364/1,T,3W,DC,32,,,,42,,11.08427997,79.44240203,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4424020312726 11.0842799674719, 79.444165918976 11.0847953706979)"
2,TN - 364/2,T,,DC,32, : ,203.9634073,-,45,57°28'52''RT,11.08479537,79.44416592,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.444165918976 11.0847953706979, 79.4447819888591 11.0842741839587)"
3,GANTRY AT THIRUPANATHAL SS,T,2W,DC,15, : ,91.62033547,-,41,,11.08427418,79.44478199,GOOD,AVAILABLE,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
