S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Ambikapuram SS),2W,Gantry,H-Pole,12,,,,,,10.79086111,78.7345,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7345 10.790861111111111, 78.735 10.790944444444444)"
2, 69/B35,,T,DC,26,Gantry - 69/B35,55,4.35,79,"15°36'19"" L",10.79094444,78.735,GOOD,NO E/W,,,Water Logged,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.735 10.790944444444444, 78.73644444444444 10.791555555555556)"
1, 69/B34,,T,DC,26, 69/B35- 69/B34,169,3.67,78.53907,"29°28'45"" R",10.79155556,78.73644444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73644444444444 10.791555555555556, 78.73838888888889 10.791333333333332)"
2, 69/B33,,T,DB,25, 69/B34- 69/B33,216.3564226,2.16,79.591064,"14°53'4"" R",10.79133333,78.73838889,GOOD,Available,HT - 3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73838888888889 10.791333333333332, 78.74038888888889 10.790583333333334)"
3, 69/B32,,S,DA,26, 69/B33- 69/B32,233.7938391,1.97,79.323586,,10.79058333,78.74038889,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74038888888889 10.790583333333334, 78.7423888888889 10.789638888888888)"
4, 69/B31,,T,DB,25, 69/B32- 69/B31,240.3768255,2.93,79.160385,"7°34'48""R",10.78963889,78.74238889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7423888888889 10.789638888888888, 78.74505555555555 10.788805555555555)"
5, 69/B30,,T,DB,25, 69/B31- 69/B30,308.1273866,1.16,78.268509,"17°14'24""L",10.78880556,78.74505556,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74505555555555 10.788805555555555, 78.74627777777778 10.787972222222223)"
6, 69/B29,,S,DA,26, 69/B30- 69/B29,161.5808098,2.08,80.650146,,10.78797222,78.74627778,GOOD,Available,"LT-4NO,HT-2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74627777777778 10.787972222222223, 78.74861111111112 10.786416666666666)"
7, 69/B28,,T,DB,25, 69/B29- 69/B28,308.4313726,2.69,77.964752,"21°30'0""L",10.78641667,78.74861111,GOOD,Available,HT-2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74861111111112 10.786416666666666, 78.74986111111112 10.784611111111111)"
8, 69/B27,,S,DA,26, 69/B28- 69/B27,243.0690286,3.17,79.375778,,10.78461111,78.74986111,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74986111111112 10.784611111111111, 78.75119444444445 10.782555555555556)"
