S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Pattukottai Urban SS),Gantry,2W,H-POLE,12,,,,23.668957,,10.43230556,79.32419444,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32419444444444 10.432305555555555, 79.32447222222221 10.43225)"
2,77/C,T,,DC,26,Gantry -77C,30.51150634,3.58,22.180899,"78°27'8"" L",10.43225,79.32447222,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32447222222221 10.43225, 79.32516666666666 10.434055555555556)"
3,77/B,T,,DC,26,77C-77/B,214.4828951,4.96,21.614208,"17°55'49"" L",10.43405556,79.32516667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32516666666666 10.434055555555556, 79.32519444444443 10.434805555555556)"
4,LILO : 77/ A,T,3W,DC,26,77/B-77/A ,81.30198763,7.31,26.258104,"90°15'16"" R",10.43480556,79.32519444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32519444444443 10.434805555555556, 79.32466666666666 10.434833333333334)"
5,78,T,,SC,22,77/A-78,59.61699977,5.52,27.560074,"3°39'23"" R",10.43483333,79.32466667,GOOD,Available,HT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32466666666666 10.434833333333334, 79.32316666666667 10.435055555555556)"
6,79,T,,DC,26,78-79,163.7192628,3.8,28.473185,"16°34'12"" R",10.43505556,79.32316667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32316666666667 10.435055555555556, 79.32091666666666 10.436055555555555)"
7,80,T,,DC,26,79-80,270.5936127,1.45,30.207916,"1°19'42"" L",10.43605556,79.32091667,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32091666666666 10.436055555555555, 79.3185 10.437083333333334)"
8,81,S,,DA,26,80-81,289.3868805,1.01,33.180981,,10.43708333,79.3185,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3185 10.437083333333334, 79.31663888888889 10.437916666666666)"
9,82,T,,DC,26,81-82,223.384357,6.22,34.876503,"42°33'18"" L",10.43791667,79.31663889,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31663888888889 10.437916666666666, 79.31452777777777 10.43725)"
10,83,S,,DA,26,82-83,245.0852386,3.51,34.444664,,10.43725,79.31452778,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31452777777777 10.43725, 79.31116666666667 10.436166666666667)"
11,84,S,,DA,26,83-84,386.5296984,7.28,35.385872,,10.43616667,79.31116667,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31116666666667 10.436166666666667, 79.3086111111111 10.435333333333334)"
12,85,T,,DC,26,84-85,293.913254,2.74,34.313667,"0°30'2"" R",10.43533333,79.30861111,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3086111111111 10.435333333333334, 79.30708333333332 10.434861111111111)"
13,86,T,,DC,26,85-86,175.2444277,6.18,39.156845,"5°30'9"" R",10.43486111,79.30708333,GOOD,Available,"LT-3NO, HT-3NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30708333333332 10.434861111111111, 79.30486111111111 10.43436111111111)"
14,87,T,,DC,26,86-87,248.2105291,4.27,39.849243,"21°20'31"" R",10.43436111,79.30486111,GOOD,Available,"LT-4NO, HT-3NO","ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30486111111111 10.43436111111111, 79.30441666666667 10.434444444444445)"
15,Gantry (pattukottai SS),Gantry,2W,H-POLE,12,87-Gantry,50.54017385,,40.868404,,10.43444444,79.30441667,GOOD,NO E/W,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
