S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Tanjavore SS),Gantry,H-POLE,12,,,,133.865982,,10.71561111111111,79.07319444444444,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07319444444444 10.71561111111111, 79.07338888888889 10.715916666666667)"
2,1,T,DC,26,Gantry-1,40.783531811950695,0.35,131.255813999999,"90°57'38"" R",10.715916666666667,79.07338888888889,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07338888888889 10.715916666666667, 79.075 10.714888888888888)"
3,2,S,DA,26,1-2,211.64872737881186,0.93,118.030777,,10.714888888888888,79.075,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.075 10.714888888888888, 79.07674999999999 10.713777777777777)"
4,3,S,DA,26,2-3,225.91147809496113,0.63,110.966446,,10.713777777777777,79.07674999999999,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07674999999999 10.713777777777777, 79.07836111111111 10.712805555555555)"
5,4,T,DC,26,3-4,206.98990176303343,0.81,107.303467,"8°26'12"" L",10.712805555555555,79.07836111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07836111111111 10.712805555555555, 79.08024999999999 10.712)"
6,5,T,DC,26,4-5,224.2363717031316,0.22,103.223206,"53°42'41"" L",10.712,79.08024999999999,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08024999999999 10.712, 79.08116666666666 10.712555555555555)"
7,6,T,DC,26,5-6,116.09377332657661,0.17,102.974953,"48°18'47"" R",10.712555555555555,79.08116666666666,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08116666666666 10.712555555555555, 79.0821111111111 10.71225)"
8,7,S,DA,26,6-7,109.72493088945028,0.47,101.706749,,10.71225,79.0821111111111,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0821111111111 10.71225, 79.08352777777777 10.711749999999999)"
9,8,S,DA,26,7-8,164.02611971874606,2.18,100.175629,,10.711749999999999,79.08352777777777,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08352777777777 10.711749999999999, 79.08569444444444 10.711055555555555)"
10,9,S,DA,26,8-9,247.12745860695293,1.72,97.4276729999999,,10.711055555555555,79.08569444444444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08569444444444 10.711055555555555, 79.08752777777778 10.710555555555555)"
11,10,T,DC,26,9-10,210.53337618177946,1.92,96.30172,"10°15'54"" R",10.710555555555555,79.08752777777778,GOOD,Available,"LT,HT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08752777777778 10.710555555555555, 79.08888888888889 10.709888888888889)"
12,11,S,DA,26,10-11,166.33235997940815,1.63,92.2005999999999,,10.709888888888889,79.08888888888889,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08888888888889 10.709888888888889, 79.09091666666666 10.70886111111111)"
13,12,S,DA,26,11-12,247.9992549738063,1.07,92.3578799999999,,10.70886111111111,79.09091666666666,GOOD,Available,LT -2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09091666666666 10.70886111111111, 79.09313888888889 10.707805555555554)"
14,13,T,DC,26,12-13,269.29262798304325,1.19,89.3092649999999,"4°23'12"" R",10.707805555555554,79.09313888888889,GOOD,Available,"HT,LT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09313888888889 10.707805555555554, 79.09380555555555 10.707416666666665)"
15,14,T,SC,22,13-14,85.53733200328527,1.54,88.223495,"11°36'48"" L",10.707416666666665,79.09380555555555,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09380555555555 10.707416666666665, 79.09616666666666 10.706666666666665)"
16,15,S,SA,22,14-15,270.26756307702306,1.26,85.938828,,10.706666666666665,79.09616666666666,GOOD,Available,LT,Main Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09616666666666 10.706666666666665, 79.09827777777777 10.70586111111111)"
