,Tower No, Supspension/Tenion,Tower Type ,JOINT BOX,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of EartH wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ,T,GANTRY,2W,GANTRY,20,,,,,,,79.38927778,10.94341667,,,,,,,,Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38927777777778 10.943416666666668, 79.38858333333334 10.94375)"
2,T.NO 1 DC,T,DD,,DC,28,GANTRY-1,YES,84.53401682,2.9,34,"60°59'32.79""",79.38858333,10.94375,GOOD,NO EARTH WIRE,YES,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38858333333334 10.94375, 79.38716666666667 10.942833333333333)"
3,T.NO-2,T,DD,,DC,28,1--2,YES,184.7159982,,29,"72°59'41.94""",79.38716667,10.94283333,GOOD,GOOD,NO,"33KV 2N0S, LT",TAAR ROAD,BUSHES,1 EARTH WIRE CONNECT TO OUR TOWER AND OTHER CONNECT TO NEAR BY TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38716666666667 10.942833333333333, 79.38780555555556 10.940777777777779)"
4,T.NO 3,S,DA,,DC,26,02-Mar,NO,235.7222942,2.67,26,,79.38780556,10.94077778,GOOD,GOOD,NO,LT,,CUILTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38780555555556 10.940777777777779, 79.38844444444445 10.938722222222223)"
5,T.NO 4,S,DA,,DC,26,03-Apr,NO,238.2120904,2.02,25,,79.38844444,10.93872222,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38844444444445 10.938722222222223, 79.38908333333335 10.93661111111111)"
6,T.NO 5,S,DA,,DC,29,04-May,NO,243.9610625,3.1,28,,79.38908333,10.93661111,GOOD,GOOD,NO,,RIVER,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38908333333335 10.93661111111111, 79.38988888888889 10.934027777777779)"
7,T.NO 6,S,DA,,DC,26,05-Jun,YES,301.1444836,,29,,79.38988889,10.93402778,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER SURROUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38988888888889 10.934027777777779, 79.39061111111111 10.93163888888889)"
8,T.NO 7,T,DB,,DC,24,06-Jul,NO,275.4087871,2.59,31,"2°45'42.31""",79.39061111,10.93163889,GOOD,GOOD,NO,LT,"TAR ROAD,POND CROSSING",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39061111111111 10.93163888888889, 79.39119444444445 10.929166666666665)"
9,T.NO 8,S,DA,,DC,26,07-Aug,NO,279.2006447,2.72,28,,79.39119444,10.92916667,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39119444444445 10.929166666666665, 79.39172222222223 10.92686111111111)"
10,T.NO 9,S,DA,,DC,26,08-Sep,NO,262.0534297,2.47,26,,79.39172222,10.92686111,GOOD,GOOD,NO,"LT,11KV",CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39172222222223 10.92686111111111, 79.39222222222223 10.924555555555555)"
11,T.NO 10,S,DA,,DC,26,09-Oct,NO,259.6767221,2.91,30,,79.39222222,10.92455556,GOOD,GOOD,NO,LT-2 NOS,CANNEL-5 NOS,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39222222222223 10.924555555555555, 79.39275 10.922305555555555)"
12,T.NO 11,S,DA,,DC,26,10-Nov,YES,257.1711492,2.32,29,,79.39275,10.92230556,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39275 10.922305555555555, 79.39327777777778 10.91986111111111)"
13,T.NO 12,T,DB,2W,DC,24,11-Dec,NO,276.1593743,2.72,33,"7°27'8.50""",79.39327778,10.91986111,GOOD,GOOD,NO,LT,"CANNEL,TAAR ROAD",CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39327777777778 10.91986111111111, 79.3935 10.917527777777778)"
14,T.NO 13,S,DA,,DC,26,Dec-13,NO,257.8565493,2.59,28,,79.3935,10.91752778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3935 10.917527777777778, 79.39366666666668 10.915222222222223)"
15,T.NO 14,S,DA,,DC,29,13-14,NO,257.629579,2.31,32,,79.39366667,10.91522222,GOOD,GOOD,NO,LT-2 NOS,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39366666666668 10.915222222222223, 79.39383333333333 10.913111111111112)"
16,T.NO 15,T,DC,,DC,29,14-15,YES,234.6912866,,29,"28°38'9.39""",79.39383333,10.91311111,GOOD,GOOD,NO,,"TAAR ROAD, RIVER",PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39383333333333 10.913111111111112, 79.39283333333334 10.910833333333334)"
17,T.NO 16,S,DA,,DC,26,15-16,NO,275.2635101,2.67,30,,79.39283333,10.91083333,GOOD,GOOD,NO,33KV-1NOS,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39283333333334 10.910833333333334, 79.39205555555556 10.909083333333333)"
18,T.NO 17,S,DA,,DC,26,16-17,YES,209.5709904,,31,,79.39205556,10.90908333,GOOD,GOOD,NO,11KV-2NOS,POND,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39205555555556 10.909083333333333, 79.3908888888889 10.906472222222222)"
19,T.NO 18,T,DD,,DC,28,17-18,YES,317.3972275,,28,"31°40'11.33""",79.39088889,10.90647222,GOOD,GOOD,NO,,"TAAR ROAD,POND",PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3908888888889 10.906472222222222, 79.38908333333335 10.905222222222223)"
20,T.NO 19,S,DA,,DC,26,18-19,YES,241.0331927,2.72,35,,79.38908333,10.90522222,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38908333333335 10.905222222222223, 79.38711111111112 10.903805555555556)"
21,T.NO 20,S,DA,,DC,26,19-20,NO,267.4864483,2.79,36,,79.38711111,10.90380556,GOOD,GOOD,NO,,"TAAR ROAD, NALA ",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38711111111112 10.903805555555556, 79.38577777777779 10.902888888888889)"
22,T.NO 21,T,DD,,DC,28,20-21,NO,177.2822608,2.17,32,"52°37'33.05""",79.38577778,10.90288889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38577777777779 10.902888888888889, 79.38569444444445 10.900361111111112)"
23,T.NO 22 LILO TO KUMBAKONAM (PATTISWARAM) 230KV ,T,DB,2W,LILO,33,21-22,NO,280.2159881,0.76,28,"3°10'37.43""",79.38569444,10.90036111,GOOD,GOOD,NO,,,CULTIVATION LAND,"(NEED JUCTION BOX) 3EARTH WIRE. OUR EARTH WIRE CONTINUE TO OUR T.NO-23, 2nd E/W CONNECT TO DUMMY T.NO-22, 3rd E/W CONNECT TO 230KV PATTISWARAM T.NO-2",2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38569444444445 10.900361111111112, 79.38552777777778 10.898527777777778)"
24,T.NO 23,S,DA,,DC,26,22-23,NO,200.9004729,1.77,32,,79.38552778,10.89852778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38552777777778 10.898527777777778, 79.3853888888889 10.89625)"
25,T.NO 24,S,DA,,DC,26,23-24,YES,252.5074256,2.27,29,,79.38538889,10.89625,GOOD,GOOD,NO,"LT,230KV CROSSING ABOVE OUR LINE",,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3853888888889 10.89625, 79.38527777777779 10.894583333333333)"
26,T.NO 25,T,DC,,DC,26,24-25,YES,184.6104006,2.86,35,"26°10'38.23""",79.38527778,10.89458333,GOOD,GOOD,NO,LT-2 NOS,TAAR RIOAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38527777777779 10.894583333333333, 79.38452777777779 10.893388888888888)"
27,T.NO 26,T,DD,,DC,28,25-26,YES,156.0640894,,37,"54°1'54.20""",79.38452778,10.89338889,GOOD,GOOD,NO,11KV,MUD ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38452777777779 10.893388888888888, 79.38158333333332 10.89311111111111)"
28,T.NO 27,T,DD,,DC,28,26-27,YES,324.2992445,2.68,37,"69°28'58.72""",79.38158333,10.89311111,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38158333333332 10.89311111111111, 79.38094444444444 10.890777777777778)"
29,T.NO 28,S,DA,,DC,26,27-28,YES,267.591106,,32,,79.38094444,10.89077778,GOOD,GOOD,YES,33KV,,PLAIN LAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38094444444444 10.890777777777778, 79.38044444444444 10.889055555555554)"
30,T.NO 29,S,DA,,DC,32,28-29,NO,196.4510117,1.97,29,,79.38044444,10.88905556,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38044444444444 10.889055555555554, 79.37994444444443 10.887083333333333)"
31,T.NO 30,T,DC,,DC,32,29-30,YES,225.0777643,2.53,30,"19°51'24.82""",79.37994444,10.88708333,GOOD,GOOD,NO,110 KV CROSSING BELOW OUR LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37994444444443 10.887083333333333, 79.37852777777778 10.885)"
