S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO :303,T,DC,26,,,1.24,116.276253,,10.721083333333333,78.53119444444444,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53119444444444 10.721083333333333, 78.52955555555556 10.719944444444444)"
2, 303/1,T,DC,26,303- 303/1,219.62754589658175,1.16,116.228661,"88°21'36""L",10.719944444444444,78.52955555555556,GOOD,NO E/W,"11KV,HT,LT",Kulithalai Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52955555555556 10.719944444444444, 78.52825 10.72161111111111)"
3, 303/2,S,DA,26, 303/1- 303/2,234.63883856247227,2.16,120.3554,,10.72161111111111,78.52825,GOOD,Available,LT - 3NO,Kulithalai Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52825 10.72161111111111, 78.52688888888889 10.723361111111112)"
4, 303/3,S,DA,26, 303/2- 303/3,243.74812630730244,1.02,118.869614,,10.723361111111112,78.52688888888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52688888888889 10.723361111111112, 78.5255 10.725111111111111)"
5, 303/4,T,DB,25, 303/3- 303/4,247.78723707611806,0.97,117.967239,"23°0'36""R",10.725111111111111,78.5255,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5255 10.725111111111111, 78.52336111111111 10.726305555555555)"
6, 303/5,S,DA,26, 303/4- 303/5,267.97871940577244,1.36,117.781502,,10.726305555555555,78.52336111111111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52336111111111 10.726305555555555, 78.52091666666666 10.727638888888889)"
7, 303/6,S,DA,26, 303/5- 303/6,306.77021785153795,1.73,116.445297,,10.727638888888889,78.52091666666666,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52091666666666 10.727638888888889, 78.51875 10.728805555555555)"
8, 303/7,S,DA,26, 303/6- 303/7,269.16833351094766,1.19,120.702232,,10.728805555555555,78.51875,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51875 10.728805555555555, 78.51658333333333 10.73)"
9, 303/8,T,DB,25, 303/7- 303/8,270.5733818030144,2.37,121.65921,"0°3'0""L",10.73,78.51658333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51658333333333 10.73, 78.51416666666667 10.731305555555556)"
10, 303/9,S,DA,26, 303/8- 303/9,302.1585979859541,1.93,123.967102,,10.731305555555556,78.51416666666667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51416666666667 10.731305555555556, 78.51205555555556 10.732472222222222)"
11, 303/10,S,DA,26, 303/9- 303/10,265.27391423015797,1.65,123.220421,,10.732472222222222,78.51205555555556,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51205555555556 10.732472222222222, 78.50975 10.733749999999999)"
12, 303/11,S,DA,26, 303/10- 303/11,287.9066589528112,3.12,128.250809,,10.733749999999999,78.50975,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50975 10.733749999999999, 78.5075 10.735)"
13, 303/12,S,DA,26, 303/11- 303/12,284.6722488821159,2.73,132.862595,,10.735,78.5075,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5075 10.735, 78.50516666666667 10.736249999999998)"
14, 303/13,T,DC,26, 303/12- 303/13,288.5894807059897,1.14,135.263184,"47°10'12""L",10.736249999999998,78.50516666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50516666666667 10.736249999999998, 78.50463888888889 10.738305555555554)"
15, 303/14,S,DA,26, 303/13- 303/14,233.80207449306488,1.76,132.919647,,10.738305555555554,78.50463888888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50463888888889 10.738305555555554, 78.50408333333333 10.740388888888887)"
16, 303/15,S,DA,26, 303/14- 303/15,240.7412431189963,2.36,129.522659,,10.740388888888887,78.50408333333333,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50408333333333 10.740388888888887, 78.50347222222223 10.742666666666667)"
17, 303/16,T,DB,25, 303/15- 303/16,259.44092825341994,1.91,131.518967,"8°23'24""L",10.742666666666667,78.50347222222223,GOOD,Available,"LT-2NO,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50347222222223 10.742666666666667, 78.50333333333333 10.744083333333332)"
18, 303/17,S,DA,26, 303/16- 303/17,158.0508065240802,1.35,132.167801,,10.744083333333332,78.50333333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50333333333333 10.744083333333332, 78.50308333333334 10.745916666666666)"
19, 303/18,T,DC,26, 303/17- 303/18,204.5848846884681,1.08,131.426101999999,"88°44'60""R",10.745916666666666,78.50308333333334,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50308333333334 10.745916666666666, 78.5033611111111 10.745944444444444)"
20,Gantry (Kavalkaran patti SS),Gantry,H-POLE,12, 303/18-Gantry,31.012873093340982,,130.945267,,10.745944444444444,78.5033611111111,GOOD,Available,,,SS,Lamp Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
