S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,"Gantry
 ( Chendur SS )",T,2W,H-POLE,15,,,,,,,34,,12.12724479,79.58979017,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5897901710122 12.1272447891533, 79.5899356808513 12.1275257505476)"
2,29,T,,DC,26,Gantry  - 29,36.38019516,15.5,6.15,4.6,27,35,99°19'7''RT,12.12752575,79.58993568,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5899356808513 12.1275257505476, 79.5883250981569 12.1280509606003)"
3,28,T,,DC,26,29 - 28,186.1703954,16.35,6.75,5.4,23.1,42,69°23'55''LT,12.12805096,79.5883251,GOOD,Available,"LT , HT",NH,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5883250981569 12.1280509606003, 79.5882208272814 12.1304010786116)"
4,27,S,,DC,28,28 - 27,261.6973659,,,,,44,,12.13040108,79.58822083,GOOD,Available,LT -2,Mud Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5882208272814 12.1304010786116, 79.5881344936788 12.132841637358)"
5,26,S,,DC,28,27 - 26,271.6170669,,,,,45,,12.13284164,79.58813449,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5881344936788 12.132841637358, 79.5880750659853 12.135399878025)"
6,25,S,,DC,28,26 - 25,284.5445134,,,,,47,,12.13539988,79.58807507,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5880750659853 12.135399878025, 79.5879619941115 12.1376775763928)"
7,24,T,,DC,26,25 - 24,253.739854,12.95,3.85,2.3,22.2,49,23°48'39''RT,12.13767758,79.58796199,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5879619941115 12.1376775763928, 79.5874233730137 12.1387507114559)"
8,23,T,,DC,26,24 - 23,133.887101,15.15,6.05,4.1,30.7,49,17°50'44''LT,12.13875071,79.58742337,GOOD,Available,,Railway,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5874233730137 12.1387507114559, 79.5870524737983 12.1411445830017)"
9,22,S,,DC,28,23 - 22,269.348934,,,,,51,,12.14114458,79.58705247,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5870524737983 12.1411445830017, 79.5866441074758 12.1436558011919)"
10,21,S,,DC,28,22 - 21,282.8027914,,,,,51,,12.1436558,79.58664411,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5866441074758 12.1436558011919, 79.5862551033496 12.1459773369133)"
11,20,S,,DC,28,21 - 20,261.7552588,,,,,52,,12.14597734,79.5862551,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5862551033496 12.1459773369133, 79.5858929213136 12.1484436281025)"
12,19,S,,DC,28,20 - 19,277.1333725,,,,,53,,12.14844363,79.58589292,GOOD,Available,LT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5858929213136 12.1484436281025, 79.5855309069156 12.15087370947)"
13,18,S,,DC,28,19 - 18,273.167303,,,,,54,,12.15087371,79.58553091,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5855309069156 12.15087370947, 79.5851597562432 12.1532947383821)"
14,17,S,,DC,28,18 - 17,272.3231646,,,,,53,,12.15329474,79.58515976,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5851597562432 12.1532947383821, 79.5846943091601 12.1561763528734)"
15,16,T,2W,DC,26,17 - 16,324.2401571,11.8,2.95,1.3,2,53,2°51'19''RT,12.15617635,79.58469431,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5846943091601 12.1561763528734, 79.5841477252542 12.1587411314249)"
16,15,S,,DC,28,16 - 15,291.363638,,,,,53,,12.15874113,79.58414773,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5841477252542 12.1587411314249, 79.5835456531494 12.16138696298)"
17,14,S,,DC,28,15 - 14,301.4050525,,,,,54,,12.16138696,79.58354565,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5835456531494 12.16138696298, 79.582971073687 12.1640329621732)"
