S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Thuraiyur SS),Gantry,2W,,12,,,,167.163086,,11.13333333,78.59108333,GOOD,,,,SS,Cement Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59108333333333 11.133333333333333, 78.59174999999999 11.133222222222223)"
2,1,T,,DC,26,Gantry-1,73.60070925,6.13,154.970779,"21°21'19""R",11.13322222,78.59175,GOOD,NO E/W,"LT,HT-2NO",Trichy - Thuraiur Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59174999999999 11.133222222222223, 78.59394444444445 11.131916666666667)"
3,2,S,,SA,22,01-Feb,280.5012419,4.02,153.297577,,11.13191667,78.59394444,GOOD,Available,LT -2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59394444444445 11.131916666666667, 78.59602777777778 11.130527777777779)"
4,3,S,,SA,22,02-Mar,276.4152571,3.27,148.168671,,11.13052778,78.59602778,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59602777777778 11.130527777777779, 78.59838888888888 11.128916666666667)"
5,4,S,,SA,22,03-Apr,313.3918018,4.27,143.775345,,11.12891667,78.59838889,GOOD,Available,LT -2NO,"ST,Road",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59838888888888 11.128916666666667, 78.60041666666666 11.127611111111111)"
6,5,S,,SA,22,04-May,262.5880758,2.92,139.213928,,11.12761111,78.60041667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60041666666666 11.127611111111111, 78.60291666666666 11.125916666666667)"
7,6,S,,SA,22,05-Jun,333.7613247,3.21,139.236557,,11.12591667,78.60291667,GOOD,Available,LT -2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60291666666666 11.125916666666667, 78.60544444444444 11.12425)"
8,7,S,,SA,22,06-Jul,330.5831883,4.22,142.316956,,11.12425,78.60544444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60544444444444 11.12425, 78.60766666666666 11.12275)"
9,8,S,,SA,22,07-Aug,295.6368382,3.32,142.936966,,11.12275,78.60766667,GOOD,Available,LT -2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60766666666666 11.12275, 78.61027777777777 11.120944444444445)"
10,9,S,,SA,22,08-Sep,346.1256698,2.49,143.148712,,11.12094444,78.61027778,GOOD,Available,LT,"Village Road,Canal",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61027777777777 11.120944444444445, 78.61261111111111 11.119444444444445)"
