Tower No,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
JAMBUNATHAPURAM SS,GANTRY,2W,20,,,,,,11.03703917,78.4970394,GOOD,GOOD,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49703940175851 11.037039167849713, 78.49643811859363 11.037166428163198)"
50,DC,,26,GT-50,70,1.05,100.91964,,11.03716643,78.49643812,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49643811859363 11.037166428163198, 78.49596811904759 11.038934423366644)"
49,DA,,26,50-49,202.3044472,5.3,112.013031,,11.03893442,78.49596812,GOOD,GOOD,HT-3,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49596811904759 11.038934423366644, 78.49541112006635 11.041055425822655)"
48,DC,,26,49-48,242.5086825,7.15,116.091202,"26°13'41""LT",11.04105543,78.49541112,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49541112006635 11.041055425822655, 78.49384912158158 11.042819425771476)"
47,DA,,26,48-47,259.3785585,6.15,118.306015,,11.04281943,78.49384912,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49384912158158 11.042819425771476, 78.49227912298453 11.044618424599012)"
46,DA,,26,47-46,262.8763169,5.1,116.326561,,11.04461842,78.49227912,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49227912298453 11.044618424599012, 78.49057112459138 11.046563424826571)"
45,DA,,26,46-45,284.9670294,4.9,119.519875,,11.04656342,78.49057112,GOOD,GOOD,"HT-1,LT-2",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49057112459138 11.046563424826571, 78.48901412628369 11.048363418383309)"
44,DB,,24,45-44,262.033427,7.3,116.295418,"6°56'57""RT",11.04836342,78.48901413,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48901412628369 11.048363418383309, 78.48760012711115 11.050403423811785)"
43,DA,,26,44-43,273.6279479,7.05,118.805199,,11.05040342,78.48760013,GOOD,GOOD,LT-2,ROAD-1,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48760012711115 11.050403423811785, 78.4861391285784 11.052550418668583)"
42,DA,,26,43-42,286.3112465,5.7,119.416214,,11.05255042,78.48613913,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4861391285784 11.052550418668583, 78.4848091300094 11.054544421457857)"
