S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,109,S,SA,22,108-109,206.24953074454135,3.11,73.054657,,10.367583333333334,78.96794444444444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96794444444444 10.367583333333334, 78.9658888888889 10.365888888888888)"
21,110,S,SA,22,109-110,292.09944939943915,2.47,76.914055,,10.365888888888888,78.9658888888889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9658888888889 10.365888888888888, 78.96427777777778 10.364583333333332)"
22,111,S,SA,22,110-111,228.78736252480113,5.38,71.514801,,10.364583333333332,78.96427777777778,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96427777777778 10.364583333333332, 78.96244444444444 10.363111111111111)"
23,112,S,SA,22,111-112,259.88609956561777,7.29,68.474052,,10.363111111111111,78.96244444444444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96244444444444 10.363111111111111, 78.96097222222222 10.361888888888888)"
24,113,S,SA,22,112-113,209.1168162743973,0.24,73.5144499999999,,10.361888888888888,78.96097222222222,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96097222222222 10.361888888888888, 78.95905555555557 10.360333333333333)"
25,114,T,SC,22,113-114,273.6454311417884,1.3,82.8307879999999,"44°43'14"" L",10.360333333333333,78.95905555555557,GOOD,Available,"HT,LT-2NO",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95905555555557 10.360333333333333, 78.95897222222223 10.35961111111111)"
26,115,T,SC,22,114-115,79.72557543907294,1.79,72.737396,"18°0'49"" R",10.35961111111111,78.95897222222223,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95897222222223 10.35961111111111, 78.95791666666668 10.357222222222221)"
27,116,S,SA,22,115-116,286.9929191506269,0.41,74.274437,,10.357222222222221,78.95791666666668,GOOD,Available,"LT,HT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95791666666668 10.357222222222221, 78.95694444444445 10.355083333333333)"
28,117,S,SA,22,116-117,260.16953730329396,2.8,75.8137739999999,,10.355083333333333,78.95694444444445,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95694444444445 10.355083333333333, 78.9558888888889 10.352833333333333)"
29,118,S,SA,22,117-118,274.5869575869898,2.1,76.4431459999999,,10.352833333333333,78.9558888888889,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9558888888889 10.352833333333333, 78.95494444444445 10.350638888888888)"
30,119,S,SA,22,118-119,264.2166027931484,1.63,81.758621,,10.350638888888888,78.95494444444445,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95494444444445 10.350638888888888, 78.95386111111111 10.348333333333334)"
31,120,S,SA,22,119-120,281.08896138658315,4.26,88.3464809999999,,10.348333333333334,78.95386111111111,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95386111111111 10.348333333333334, 78.95308333333334 10.34663888888889)"
32,121,T,SC,22,120-121,206.42878648066912,0.53,89.4938199999999,"22°52'24"" R",10.34663888888889,78.95308333333334,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95308333333334 10.34663888888889, 78.95111111111112 10.344861111111111)"
33,122,T,SC,22,121-122,291.23232087510144,3.04,93.351151,"34°2'43"" L",10.344861111111111,78.95111111111112,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95111111111112 10.344861111111111, 78.95055555555555 10.342555555555556)"
