S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,DEVIYAKURICHI GANTRY,T,2W,26,,,2.87,186,,11.58332,78.72401,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72401 11.58332, 78.72403 11.58306)"
2,1,T,,26,GAN - 1,28.85400431,0.85,187,"23°53'28"" LT",11.58306,78.72403,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72403 11.58306, 78.72452 11.58216)"
3,2,T,,28,01-Feb,113.0355033,0.47,188,"59°16'30"" LT",11.58216,78.72452,GOOD,GOOD,,THAR ROAD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72452 11.58216, 78.72731 11.58204)"
4,3,S,,26,02-Mar,304.6977229,1.03,186,,11.58204,78.72731,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72731 11.58204, 78.73013 11.58187)"
5,4,T,,24,03-Apr,308.2555721,0.87,184,"6°24'13"" RT",11.58187,78.73013,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73013 11.58187, 78.73257 11.58145)"
6,5,S,,26,04-May,270.2467441,0.69,184,,11.58145,78.73257,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73257 11.58145, 78.73479 11.58105)"
7,6,S,,26,05-Jun,246.2279637,0.78,185,,11.58105,78.73479,GOOD,GOOD,,THAR ROAD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73479 11.58105, 78.73721 11.58061)"
8,7,T,,28,06-Jul,268.489836,0.54,182,"34°2'46"" RT",11.58061,78.73721,GOOD,GOOD,11 KV (2) LT (1),THAR ROAD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73721 11.58061, 78.73913 11.57875)"
9,8,S,,26,07-Aug,293.6794304,0.69,180,,11.57875,78.73913,GOOD,GOOD,LT (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73913 11.57875, 78.74098 11.57696)"
10,9,S,,26,08-Sep,282.8033355,0.81,179,,11.57696,78.74098,GOOD,GOOD,11 KV (3),"SAND ROAD,CAR TRACK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74098 11.57696, 78.74286 11.57512)"
11,10,T,,24,09-Oct,289.0201713,1.05,178,"14°1'41"" RT",11.57512,78.74286,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74286 11.57512, 78.74437 11.57266)"
12,11,S,,26,10-Nov,318.1924867,0.92,176,,11.57266,78.74437,GOOD,GOOD,,SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74437 11.57266, 78.74589 11.57017)"
13,12,T,,26,11-Dec,321.5988535,0.98,165,"27°53'18"" LT",11.57017,78.74589,GOOD,GOOD,11 KV (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74589 11.57017, 78.74791 11.56897)"
14,13,S,,26,Dec-13,257.3134266,1.72,167,,11.56897,78.74791,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74791 11.56897, 78.750143 11.567656)"
15,14,T,,28,13-14,283.7331977,1.03,169,"35°17'50"" LT",11.567656,78.750143,GOOD,GOOD, LT (1),TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.750143 11.567656, 78.751194 11.567737)"
