,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ALANGUDI,GANTRY,20,,YES,,,,,,78.99791666666667,10.37963888888889,GOOD,GOOD,NO,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99791666666667 10.37963888888889, 78.9978611111111 10.379472222222223)"
2,T.NO 1 DC,T,28,GANTRY -1,YES,,20.615528128088304,0.27,94,"54°22'45.85""",78.9978611111111,10.379472222222223,GOOD,GOOD,YES,"11KV-4 NOS, LT",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9978611111111 10.379472222222223, 78.99930555555555 10.37713888888889)"
3,T.NO 2,T,24,1--2,YES,,303.9111712326482,1.68,90,"2°53'38.11""",78.99930555555555,10.37713888888889,GOOD,GOOD,NO,"11KV,LT",MUD ROAD,PLAIN LAND,EUCALYPTUS TREE BELOW THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99930555555555 10.37713888888889, 79.00030555555556 10.375388888888889)"
4,T.NO 3,S,26,2-3,YES,,221.0701246211256,2.31,88,,79.00030555555556,10.375388888888889,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00030555555556 10.375388888888889, 79.00158333333333 10.373083333333334)"
5,T.NO 4,S,26,3-4,NO,,290.90376415577714,1.68,87,,79.00158333333333,10.373083333333334,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00158333333333 10.373083333333334, 79.00297222222223 10.370750000000001)"
6,T.NO 5,T,28,4-5,NO,,299.6681497923995,2.91,89,"31°28'40.87""",79.00297222222223,10.370750000000001,GOOD,GOOD,NO,LT-3 NOS,,PLAIN LAND,EUCALYPTUS TREE BELOW THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00297222222223 10.370750000000001, 79.00527777777778 10.369527777777778)"
7,T.NO 6,S,26,5-6,NO,,287.31167745150907,2.61,84,,79.00527777777778,10.369527777777778,GOOD,GOOD,YES,,,PLAIN LAND,EUCALYPTUS TREE BELOW THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00527777777778 10.369527777777778, 79.00733333333334 10.368472222222223)"
8,T.NO 7,S,26,6-7,YES,,253.17977802344325,1.91,83,,79.00733333333334,10.368472222222223,GOOD,GOOD,YES,"11KV,LT",MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00733333333334 10.368472222222223, 79.00941666666667 10.36738888888889)"
9,T.NO 8,S,26,7-8,NO,,258.11818998280614,1.61,73,,79.00941666666667,10.36738888888889,GOOD,GOOD,NO,"11KV,LT",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00941666666667 10.36738888888889, 79.01169444444444 10.366166666666667)"
10,T.NO 9,T,29,8-9,NO,,282.36324123369883,1.01,73,"28°33'42.76""",79.01169444444444,10.366166666666667,GOOD,GOOD,NO,LT-3 NOS,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01169444444444 10.366166666666667, 79.01447222222222 10.366194444444444)"
