Tower No,Tower Type,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
85 LILO,T,3W,,,,,,,129.462219,,11.87541522,79.01359474,,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01359473923716 11.87541522195014, 79.01132773994057 11.874520224345613)"
86,SA,,,,85-86,,248,11.48,139.71,,11.87452022,79.01132774,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01132773994057 11.874520224345613, 79.00955274165568 11.873799222623566)"
87,SD,,,,86-87,,209.2304,3.54,142.85," 39d29'30""RT",11.87379922,79.00955274,GOOD,GOOD,LT -1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00955274165568 11.873799222623566, 79.00688474259266 11.874597221741869)"
88,SA,,,,87-88,,303.8499,,138.4,,11.87459722,79.00688474,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00688474259266 11.874597221741869, 79.00397774406753 11.875486221099731)"
89,SC,,,,88-89,,331.7022,12.95,143.57,"18d18'7""LT",11.87548622,79.00397774,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00397774406753 11.875486221099731, 79.00148883071964 11.875433839417093)"
90,SA+3,,,,89-90,,271,9.32,145.83,,11.87543384,79.00148883,GOOD,GOOD,,POND,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00148883071964 11.875433839417093, 78.99910478494918 11.875381276464816)"
91,SA,,,,90-91,,259.7791,8.65,144.59,,11.87538128,78.99910478,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99910478494918 11.875381276464816, 78.99666374882129 11.875332229296683)"
92/1 LILO,DD,3W,KCR,26,91-92/1,,266.1441,13.36,149.83,"76d27'32""RT",11.87533223,78.99666375,GOOD,GOOD,,,PLAIN,D/C TAPPING TO SANGARAPURAM SS,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99666374882129 11.875332229296683, 78.99631074886103 11.876651226736248)"
2,DC,,HCR,24,92/1-2,,150.9215,,150.74,"25d23'2""RT",11.87665123,78.99631075,GOOD,GOOD,,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99631074886103 11.876651226736248, 78.99677327342853 11.879081202771223)"
3,DA,,GCR,25,3-Feb,,274,1.15,147.88,,11.8790812,78.99677327,GOOD,GOOD,"LT-1,",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99677327342853 11.879081202771223, 78.99720546187646 11.881352095447612)"
4,DA,,GCR,25,4-Mar,,255.6324,1.55,153.43,,11.8813521,78.99720546,GOOD,GOOD,"LT-1,400KV",ROAD,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99720546187646 11.881352095447612, 78.99766034698045 11.883740581157687)"
5,DA,,GCR,25,5-Apr,,269.0264,1.32,154.63,,11.88374058,78.99766035,GOOD,GOOD,400KV,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99766034698045 11.883740581157687, 78.99805874799974 11.885835220299414)"
6,DC,,HCR,24,6-May,,235.6356,,155.99," 22d11'21""RT",11.88583522,78.99805875,GOOD,GOOD,,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99805874799974 11.885835220299414, 78.99937142915536 11.887840785903121)"
7,DA,,GCR,25,7-Jun,,264.0082,6.85,151.15,,11.88784079,78.99937143,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99937142915536 11.887840785903121, 79.00078574602212 11.889965219605296)"
8,DA,,GCR,25,8-Jul,,281.062,,152.2,,11.88996522,79.00078575,GOOD,GOOD,LT-1,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00078574602212 11.889965219605296, 79.00239974497437 11.892453221315401)"
9,DA,,GCR,25,9-Aug,,326.6302,3.61,146.31,,11.89245322,79.00239974,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00239974497437 11.892453221315401, 79.00392274417548 11.89479422434024)"
10,DC,,KCR,26,10-Sep,,307.6463,,149.92," 24d29'43""LT",11.89479422,79.00392274,GOOD,GOOD,LT-1,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00392274417548 11.89479422434024, 79.00417374444297 11.896486216984394)"
11,DC,2W,HCR,24,11-Oct,,189,2.95,147.4,"26d42'5""LT",11.89648622,79.00417374,GOOD,GOOD,,,PLAIN,D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00417374444297 11.896486216984394, 79.00341874436121 11.898718220793777)"
