S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 99,S,,DA,26,100-99,352.4826237,3.51,114,,11.56093728,78.98930452,GOOD,GOOD, LT-4 HT-1,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98930452425554 11.560937275316467, 78.98641105872947 11.56178488199)"
21,T.NO 98,S,,DA,26,99-98,329.3038111,3.76,118,,11.56178488,78.98641106,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98641105872947 11.56178488199, 78.98358206539548 11.562587713130231)"
22,T.NO 97,T,2W,DA,26,98-97,321.1619529,3.98,117,"0°0'43""",11.56258771,78.98358207,GOOD,GOOD,,,FOREST,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98358206539548 11.562587713130231, 78.98068883377488 11.563399104770074)"
23,T.NO 96,S,,DA,26,97-96,328.1600219,4.55,116,,11.5633991,78.98068883,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98068883377488 11.563399104770074, 78.9777862943191 11.564228476682649)"
24,T.NO 95,S,,DA,26,96-95,329.6846979,4.67,115,,11.56422848,78.97778629,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9777862943191 11.564228476682649, 78.97497559709997 11.565031343331668)"
25,T.NO 94,S,,DA,26,95-94,319.2444205,4.41,119,,11.56503134,78.9749756,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97497559709997 11.565031343331668, 78.97220161719585 11.565825398634134)"
26,T.NO 93,S,,DA,26,94-93,315.1253719,3.75,118,,11.5658254,78.97220162,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97220161719585 11.565825398634134, 78.96910622926787 11.566698517225579)"
27,T.NO 92,S,,DA,26,93-92,351.2406582,4.59,119,,11.56669852,78.96910623,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96910622926787 11.566698517225579, 78.96635959279148 11.567510779566202)"
28,T.NO 91,S,,DA,26,92-91,312.8338217,5.27,120,,11.56751078,78.96635959,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96635959279148 11.567510779566202, 78.96352134969233 11.568313330755895)"
29,T.NO 90,S,,DA,26,91-90,322.1210952,6.17,119,,11.56831333,78.96352135,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96352134969233 11.568313330755895, 78.96127089892758 11.568957299199365)"
30,T.NO 89,S,,DA,26,90-89,255.6442841,5.55,118,,11.5689573,78.9612709,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96127089892758 11.568957299199365, 78.95833154607817 11.569795236230505)"
31,T.NO 88,S,,DA,26,89-88,333.8038346,4.67,121,,11.56979524,78.95833155,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95833154607817 11.569795236230505, 78.95562172556072 11.5705805310359)"
32,T.NO 87,S,,DA,26,88-87,308.1330881,4.43,122,,11.57058053,78.95562173,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95562172556072 11.5705805310359, 78.95219549498093 11.571559575237439)"
33,T.NO 86,T,2W,DB,24,87-86,389.1657744,3.71,123,"9°21'57""",11.57155958,78.95219549,GOOD,GOOD,,ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95219549498093 11.571559575237439, 78.94903967263872 11.571907809816791)"
34,T.NO 85,S,,DA,26,86-85,346.434698,4.72,120,,11.57190781,78.94903967,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94903967263872 11.571907809816791, 78.94616793005737 11.572267062148644)"
35,T.NO 84,S,,DA,26,85-84,315.8053198,3.76,121,,11.57226706,78.94616793,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94616793005737 11.572267062148644, 78.94292017901809 11.572650728306717)"
36,T.NO 83,S,,DA,26,84-83,356.8487074,5.31,125,,11.57265073,78.94292018,GOOD,GOOD,LT-3,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94292017901809 11.572650728306717, 78.939663457836 11.573007177933556)"
37,T.NO 82,S,,DA,26,83-82,357.4758733,4.32,123,,11.57300718,78.93966346,GOOD,GOOD,LT-2 HT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.939663457836 11.573007177933556, 78.93659928767524 11.573355923654292)"
38,T.NO 81,S,,DA,26,82-81,336.5070579,3.87,125,,11.57335592,78.93659929,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93659928767524 11.573355923654292, 78.93356241455838 11.573731945106118)"
39,T.NO 80,S,,DA,26,81-80,333.911665,4.18,124,,11.57373195,78.93356241,GOOD,GOOD,LT-3 HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93356241455838 11.573731945106118, 78.9309293753571 11.574038514231095)"
40,T.NO 79,S,,DA,26,80-79,289.2490277,3.81,124,,11.57403851,78.93092938,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9309293753571 11.574038514231095, 78.92792026181216 11.574378519577937)"
41,T.NO 78,S,,DA,26,79-78,330.4300228,3.13,123,,11.57437852,78.92792026,GOOD,GOOD,LT-2,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92792026181216 11.574378519577937, 78.92516799458815 11.574693218904041)"
42,T.NO 77,S,,DA,26,78-77,302.2730554,2.86,121,,11.57469322,78.92516799,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92516799458815 11.574693218904041, 78.92259924598613 11.574982093592718)"
43,T.NO 76,S,,DA,26,77-76,282.0567319,3.86,121,,11.57498209,78.92259925,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92259924598613 11.574982093592718, 78.91958069413509 11.575358093548676)"
44,T.NO 75,S,,DA,26,76-75,331.9292093,4.36,124,,11.57535809,78.91958069,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91958069413509 11.575358093548676, 78.91691091576783 11.575673303922578)"
45,T.NO 74,S,,DA,26,75-74,293.3428029,3.54,125,,11.5756733,78.91691092,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91691091576783 11.575673303922578, 78.91415797193484 11.576078270420497)"
46,T.NO 73,S,,DA,26,74-73,303.6593486,5.81,126,,11.57607827,78.91415797,GOOD,GOOD,HT-1 LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91415797193484 11.576078270420497, 78.91128673899897 11.57636486054246)"
47,T.NO 72 DEVIYAKURICHI LILO,T,3W,DD,28,73-72,314.8412298,,124,"60°57'18""",11.57636486,78.91128674,GOOD,GOOD,,,,DEVIYAKURICHI LILO NEED 3WAY JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91128673899897 11.57636486054246, 78.9111869195054 11.576228568796838)"
48,DP1,T,,DP,15,72-DP1,18.60107524,,125,,11.57622857,78.91118692,GOOD,MISSING,HT-2 LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9111869195054 11.576228568796838, 78.9112031717589 11.57650886696946)"
49,DP2,T,,DP,15,DP1-DP2,31.06444913,,124,,11.57650887,78.91120317,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9112031717589 11.57650886696946, 78.91125400822467 11.577069595614047)"
50,T.NO 1,T,,DB,24,DP2-1,62.28964601,5.13,124,"4°38'34""",11.5770696,78.91125401,GOOD,GOOD,HT-2 LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91125400822467 11.577069595614047, 78.91127329443711 11.579410600753732)"
51,T.NO 2,T,,DC,26,01-Feb,259.0308862,4.12,119,"22°49'45""",11.5794106,78.91127329,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91127329443711 11.579410600753732, 78.91052483606792 11.581447805007073)"
52,T.NO 3,S,,DA,26,02-Mar,239.7415275,5.37,115,,11.58144781,78.91052484,GOOD,GOOD,LT-2,MUD ROAD-1 CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91052483606792 11.581447805007073, 78.90962033754084 11.58351099196562)"
53,T.NO 4,S,,DA,26,03-Apr,248.6966023,3.13,117,,11.58351099,78.90962034,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90962033754084 11.58351099196562, 78.90867875513136 11.585628133939652)"
54,T.NO 5,T,,DB,24,04-May,255.785066,4.15,120,"14°36'53""",11.58562813,78.90867876,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90867875513136 11.585628133939652, 78.90837839615683 11.587804137408844)"
55,T.NO 6,T,,DC,26,05-Jun,242.9855963,4.99,124,"21°11'3""",11.58780414,78.9083784,GOOD,GOOD,LT-1,MUD ROAD-I,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90837839615683 11.587804137408844, 78.90727333749535 11.5897122121278)"
56,T.NO 7,S,,DA,26,06-Jul,243.115199,6.15,126,,11.58971221,78.90727334,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90727333749535 11.5897122121278, 78.90619495353864 11.59172892981062)"
57,T.NO 8,S,,DA,26,07-Aug,252.2538404,5.48,129,,11.59172893,78.90619495,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90619495353864 11.59172892981062, 78.90522897612703 11.59342108547446)"
58,T.NO 9,T,2W,DB,26,08-Sep,214.848784,4.85,130,"5°14'38""",11.59342109,78.90522898,GOOD,GOOD,LT-1,MUD ROAD-2,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90522897612703 11.59342108547446, 78.90409893187773 11.594985513356928)"
59,T.NO 10,S,,DA,26,09-Oct,212.5088233,3.65,131,,11.59498551,78.90409893,GOOD,GOOD,LT-2,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90409893187773 11.594985513356928, 78.9029865327302 11.59664044300962)"
60,T.NO 11,S,,DA,26,10-Nov,219.6724835,4.71,131,,11.59664044,78.90298653,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9029865327302 11.59664044300962, 78.90178056246968 11.598547751380073)"
61,T.NO 12,S,,DA,26,11-Dec,248.6845391,5.67,133,,11.59854775,78.90178056,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90178056246968 11.598547751380073, 78.90042885321168 11.600327460233698)"
62,T.NO 13,S,,DA,26,Dec-13,246.0081299,5.15,133,,11.60032746,78.90042885,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90042885321168 11.600327460233698, 78.89918705929227 11.602116997208714)"
63,T.NO 14,S,,DA,26,13-14,239.9103999,5.86,135,,11.602117,78.89918706,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89918705929227 11.602116997208714, 78.897945045411 11.603933638430512)"
64,T.NO 15,S,,DA,26,14-15,242.4046204,5.03,131,,11.60393364,78.89794505,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.897945045411 11.603933638430512, 78.89665650271557 11.605840312493825)"
65,T.NO 16,S,,DA,26,15-16,253.505424,5.83,132,,11.60584031,78.8966565,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89665650271557 11.605840312493825, 78.89541472471674 11.607620786688846)"
66,T.NO 17,S,,DA,26,16-17,239.081576,6.73,132,,11.60762079,78.89541472,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89541472471674 11.607620786688846, 78.89435776123334 11.609203765228859)"
67,T.NO 18,T,,DC,26,17-18,209.6950166,6.13,130,"15°45'20""",11.60920377,78.89435776,GOOD,GOOD,HT-1,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89435776123334 11.609203765228859, 78.89365504069912 11.611223146218169)"
68,T.NO 19,S,,DA,26,18-19,236.2223529,4.13,134,,11.61122315,78.89365504,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89365504069912 11.611223146218169, 78.89301532310343 11.613396629172762)"
69,T.NO 20,S,,DA,26,19-20,250.4096644,3.87,133,,11.61339663,78.89301532,GOOD,GOOD,LT-2,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89301532310343 11.613396629172762, 78.8922201588801 11.615514745365369)"
70,T.NO 21,S,,DA,26,20-21,249.89998,2.83,134,,11.61551475,78.89222016,GOOD,GOOD,LT-1,MUD ROAD-I,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8922201588801 11.615514745365369, 78.89150748506783 11.617633460048188)"
71,T.NO 22,S,,DA,26,21-22,246.9838051,3.88,136,,11.61763346,78.89150749,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89150748506783 11.617633460048188, 78.89087907141509 11.619517800098283)"
72,T.NO 23,S,,DA,26,22-23,219.4766502,4.18,139,,11.6195178,78.89087907,GOOD,GOOD,LT-1,MUD ROAD-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89087907141509 11.619517800098283, 78.89023224459726 11.621411040403716)"
73,T.NO 24,T,2W,DC,26,23-24,221.0452442,3.13,137,"29°38'18""",11.62141104,78.89023224,GOOD,GOOD,LT-2,MUD ROAD-I,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89023224459726 11.621411040403716, 78.89066743105181 11.62327604330948)"
74,T.NO 25,S,,DA,26,24-25,211.7474911,4.79,136,,11.62327604,78.89066743,GOOD,GOOD,LT-1,MUD ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89066743105181 11.62327604330948, 78.89100985818702 11.625284975092365)"
75,T.NO 26,S,,DA,26,25-26,225.3996451,3.85,136,,11.62528498,78.89100986,GOOD,GOOD,LT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89100985818702 11.625284975092365, 78.89147105742558 11.627349003662403)"
76,T.NO 27,S,,DA,26,26-27,233.8546557,5.23,137,,11.627349,78.89147106,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89147105742558 11.627349003662403, 78.89187725528177 11.629412630040935)"
77,T.NO 28,S,,DA,26,27-28,232.594067,5.05,138,,11.62941263,78.89187726,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89187725528177 11.629412630040935, 78.89224739807655 11.63139465119145)"
78,T.NO 29,S,,DA,26,28-29,222.9910312,5.86,138,,11.63139465,78.8922474,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89224739807655 11.63139465119145, 78.89262711958256 11.633322514789734)"
79,T.NO 30,T,,DB,24,29-30,217.2970317,2.13,141,"1°33'20""",11.63332251,78.89262712,GOOD,GOOD,,RAILWAY,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89262711958256 11.633322514789734, 78.8927676811774 11.634136959640896)"
80,T.NO 31,T,,DC,26,30-31,91.41115906,3.05,141,"17°17'53""",11.63413696,78.89276768,GOOD,GOOD,LT-2,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8927676811774 11.634136959640896, 78.89243136391238 11.636186116531592)"
81,T.NO 32,S,,DA,26,31-32,229.6823894,4.78,136,,11.63618612,78.89243136,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89243136391238 11.636186116531592, 78.89218562888715 11.638380542284724)"
82,T.NO 33,S,,DA,26,32-33,244.2826232,3.12,134,,11.63838054,78.89218563,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89218562888715 11.638380542284724, 78.89189411523697 11.640565593776964)"
83,T.NO 34,S,,DA,26,33-34,243.8524144,4.03,133,,11.64056559,78.89189412,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89189411523697 11.640565593776964, 78.89156721610425 11.642578663677215)"
84,T.NO 35,S,,DA,26,34-35,225.5770378,3.18,128,,11.64257866,78.89156722,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89156721610425 11.642578663677215, 78.89131290498572 11.644691681414487)"
85,T.NO 36,S,,DA,26,35-36,235.4400136,4.86,131,,11.64469168,78.8913129,GOOD,GOOD,LT-2 HT-1,THAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89131290498572 11.644691681414487, 78.89093933292247 11.646812861980518)"
86,T.NO 37,S,,DA,26,36-37,238.2141893,3.18,133,,11.64681286,78.89093933,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89093933292247 11.646812861980518, 78.89079741258809 11.648610373010222)"
87,T.NO 38,T,,DB,24,37-38,199.4918545,4.86,138,"5°30'25""",11.64861037,78.89079741,GOOD,GOOD,,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89079741258809 11.648610373010222, 78.89066483016798 11.649169753665344)"
88,GT 110KV CHINNASALEM SS,T,2W,GT,15,38-GT,63.56099433,,139,,11.64916975,78.89066483,GOOD,MISSING,,,,110KV CHINNASALEM SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL ,23487M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
