S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,"Gantry
 ( Chendur SS )",T,H-POLE,15,,,,,,,34,,12.1272447891533,79.5897901710122,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5897901710122 12.1272447891533, 79.5899356808513 12.1275257505476)"
2,29,T,DC,26,Gantry  - 29,36.380195163401446,15.5,6.15,4.6,27,35,99°19'7''RT,12.1275257505476,79.5899356808513,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5899356808513 12.1275257505476, 79.5883250981569 12.1280509606003)"
3,28,T,DC,26,29 - 28,186.1703954418992,16.35,6.75,5.4,23.1,42,69°23'55''LT,12.1280509606003,79.5883250981569,GOOD,Available,"LT , HT",NH,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5883250981569 12.1280509606003, 79.5882208272814 12.1304010786116)"
4,27,S,DC,28,28 - 27,261.6973658939812,,,,,44,,12.1304010786116,79.5882208272814,GOOD,Available,LT -2,Mud Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5882208272814 12.1304010786116, 79.5881344936788 12.132841637358)"
5,26,S,DC,28,27 - 26,271.6170668898274,,,,,45,,12.132841637358,79.5881344936788,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5881344936788 12.132841637358, 79.5880750659853 12.135399878025)"
6,25,S,DC,28,26 - 25,284.54451336869516,,,,,47,,12.135399878025,79.5880750659853,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5880750659853 12.135399878025, 79.5879619941115 12.1376775763928)"
7,24,T,DC,26,25 - 24,253.73985396020421,12.95,3.85,2.3,22.2,49,23°48'39''RT,12.1376775763928,79.5879619941115,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5879619941115 12.1376775763928, 79.5874233730137 12.1387507114559)"
8,23,T,DC,26,24 - 23,133.8871009941227,15.15,6.05,4.1,30.7,49,17°50'44''LT,12.1387507114559,79.5874233730137,GOOD,Available,,Railway,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5874233730137 12.1387507114559, 79.5870524737983 12.1411445830017)"
9,22,S,DC,28,23 - 22,269.3489339858762,,,,,51,,12.1411445830017,79.5870524737983,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5870524737983 12.1411445830017, 79.5866441074758 12.1436558011919)"
10,21,S,DC,28,22 - 21,282.8027913538853,,,,,51,,12.1436558011919,79.5866441074758,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5866441074758 12.1436558011919, 79.5862551033496 12.1459773369133)"
11,20,S,DC,28,21 - 20,261.7552588320008,,,,,52,,12.1459773369133,79.5862551033496,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5862551033496 12.1459773369133, 79.5858929213136 12.1484436281025)"
12,19,S,DC,28,20 - 19,277.13337250423376,,,,,53,,12.1484436281025,79.5858929213136,GOOD,Available,LT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5858929213136 12.1484436281025, 79.5855309069156 12.15087370947)"
13,18,S,DC,28,19 - 18,273.16730302792354,,,,,54,,12.15087370947,79.5855309069156,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5855309069156 12.15087370947, 79.5851597562432 12.1532947383821)"
14,17,S,DC,28,18 - 17,272.323164559721,,,,,53,,12.1532947383821,79.5851597562432,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5851597562432 12.1532947383821, 79.5846943091601 12.1561763528734)"
15,16,T,DC,26,17 - 16,324.2401571353373,11.8,2.95,1.3,2,53,2°51'19''RT,12.1561763528734,79.5846943091601,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5846943091601 12.1561763528734, 79.5841477252542 12.1587411314249)"
16,15,S,DC,28,16 - 15,291.36363801749786,,,,,53,,12.1587411314249,79.5841477252542,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5841477252542 12.1587411314249, 79.5835456531494 12.16138696298)"
17,14,S,DC,28,15 - 14,301.40505245652645,,,,,54,,12.16138696298,79.5835456531494,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5835456531494 12.16138696298, 79.582971073687 12.1640329621732)"
18,13,T,DC,26,14 - 13,300.78376842018383,11.8,2.9,1.3,19.4,55,12°38'17''LT,12.1640329621732,79.582971073687,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.582971073687 12.1640329621732, 79.5829864963889 12.1663203835487)"
19,12,S,DC,28,13 - 12,254.5215541493679,,,,,56,,12.1663203835487,79.5829864963889,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5829864963889 12.1663203835487, 79.582984317094 12.1684721019119)"
20,11,S,DC,28,12 - 11,239.50577617466615,,,,,59,,12.1684721019119,79.582984317094,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.582984317094 12.1684721019119, 79.5829437486827 12.1709218807518)"
21,10,T,DC,26,11 - 10,272.51070041767,13.55,4.15,2.9,19.7,60,14°50'57''RT,12.1709218807518,79.5829437486827,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5829437486827 12.1709218807518, 79.5823818258941 12.1729079727083)"
22,9,S,DC,28,10 - 9,229.5372010081623,,,,,61,,12.1729079727083,79.5823818258941,GOOD,Available,,"ROAD, CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5823818258941 12.1729079727083, 79.5817442983388 12.1752914506942)"
23,8,S,DC,28,9 - 8,274.11653322053144,,,,,60,,12.1752914506942,79.5817442983388,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5817442983388 12.1752914506942, 79.5811620913445 12.1776481065899)"
24,7,S,DC,28,8 - 7,269.76320256904006,,,,,61,,12.1776481065899,79.5811620913445,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5811620913445 12.1776481065899, 79.580462956801 12.1800232026726)"
25,6,S,DC,28,7 - 6,275.00840281720167,,,,,60,,12.1800232026726,79.580462956801,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.580462956801 12.1800232026726, 79.5798291172832 12.1823842171579)"
