S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20.0,19.0,S,DA,26.0,18-19,280.16628631615754,3.69,36.4938849999999,,10.559277777777778,79.22788888888888,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22788888888888 10.559277777777778, 79.22652777777778 10.557166666666667)"
21.0,20.0,T,DC,26.0,19-20,277.8875594332127,3.26,35.1189499999999,"12°7'7"" L",10.557166666666667,79.22652777777778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22652777777778 10.557166666666667, 79.22566666666667 10.554944444444445)"
22.0,21.0,S,DA,26.0,20-21,262.5196473238377,4.28,35.101002,,10.554944444444445,79.22566666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22566666666667 10.554944444444445, 79.22480555555556 10.552444444444445)"
23.0,22.0,S,DA,26.0,21-22,292.40674063596657,3.09,35.108677,,10.552444444444445,79.22480555555556,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22480555555556 10.552444444444445, 79.22408333333334 10.550305555555557)"
24.0,23.0,S,DA,26.0,22-23,251.31200224648907,2.75,34.363529,,10.550305555555557,79.22408333333334,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22408333333334 10.550305555555557, 79.22308333333334 10.547444444444444)"
25.0,24.0,S,DA,26.0,23-24,334.72780703357563,2.07,35.612228,,10.547444444444444,79.22308333333334,GOOD,Available,"LT-2NO,HT","ROAD,CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22308333333334 10.547444444444444, 79.22233333333334 10.545111111111112)"
26.0,25.0,T,DC,26.0,24-25,270.39729629033434,1.63,36.128532,"1°12'12"" R",10.545111111111112,79.22233333333334,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22233333333334 10.545111111111112, 79.2215 10.542805555555555)"
27.0,26.0,S,DA,26.0,25-26,270.69957491823374,0.86,37.66507,,10.542805555555555,79.2215,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2215 10.542805555555555, 79.22069444444445 10.540444444444445)"
28.0,27.0,S,DA,26.0,26-27,276.5785467368494,1.17,36.478382,,10.540444444444445,79.22069444444445,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22069444444445 10.540444444444445, 79.21988888888889 10.53811111111111)"
29.0,28.0,S,DA,26.0,27-28,272.4286905686536,3.21,37.373798,,10.53811111111111,79.21988888888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21988888888889 10.53811111111111, 79.21908333333333 10.535722222222223)"
30.0,29.0,S,DA,26.0,28-29,278.61870491950015,2.77,36.0590819999999,,10.535722222222223,79.21908333333333,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21908333333333 10.535722222222223, 79.21825 10.53325)"
31.0,30.0,T,DC,26.0,29-30,286.64191653543674,3.47,34.8849409999999,"0°0'48"" R",10.53325,79.21825,GOOD,Available,LT,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21825 10.53325, 79.21738888888889 10.530805555555556)"
32.0,31.0,S,DA,26.0,30-31,286.7919211070636,2.09,35.566811,,10.530805555555556,79.21738888888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21738888888889 10.530805555555556, 79.21661111111112 10.528472222222224)"
33.0,32.0,S,DA,26.0,31-32,271.44566021720186,0.91,36.140106,,10.528472222222224,79.21661111111112,GOOD,Available,"LT,HT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21661111111112 10.528472222222224, 79.21583333333334 10.526305555555556)"
34.0,33.0,S,DA,26.0,32-33,254.05428229546823,1.27,37.438465,,10.526305555555556,79.21583333333334,GOOD,Available,,METAL ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21583333333334 10.526305555555556, 79.215 10.523861111111112)"
35.0,34.0,S,DA,26.0,33-34,285.17582005721505,0.37,37.7475549999999,,10.523861111111112,79.215,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.215 10.523861111111112, 79.21447222222223 10.522250000000001)"
36.0,35.0,T,DC,26.0,34-35,189.04917211001703,1.55,39.755119,"28°38'56"" R",10.522250000000001,79.21447222222223,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21447222222223 10.522250000000001, 79.21219444444445 10.520166666666668)"
37.0,36.0,S,DA,26.0,35-36,337.4576726200722,2.7,41.932808,,10.520166666666668,79.21219444444445,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21219444444445 10.520166666666668, 79.21016666666667 10.51827777777778)"
38.0,37.0,S,DA,26.0,36-37,306.9877561926875,3.91,42.0335159999999,,10.51827777777778,79.21016666666667,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21016666666667 10.51827777777778, 79.20822222222222 10.516444444444444)"
39.0,38.0,T,DC,26.0,37-38,293.7828706091054,0.86,42.8209269999999,"15°42'30"" L",10.516444444444444,79.20822222222222,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20822222222222 10.516444444444444, 79.20702777777778 10.514472222222222)"
40.0,39.0,S,DA,26.0,38-39,254.02781924345243,1.29,43.7832719999999,,10.514472222222222,79.20702777777778,GOOD,Available,"LT,HT -2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20702777777778 10.514472222222222, 79.20586111111112 10.51238888888889)"
41.0,40.0,S,DA,26.0,39-40,261.8111608814313,3.17,42.864521,,10.51238888888889,79.20586111111112,GOOD,Available,LT -2NO,"ROAD,CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20586111111112 10.51238888888889, 79.20497222222222 10.510777777777777)"
42.0,41.0,T,DC,26.0,40-41,205.12418864554985,2.17,43.5926019999999,"6°18'1"" R",10.510777777777777,79.20497222222222,GOOD,Available,"LT -2NO,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20497222222222 10.510777777777777, 79.20341666666667 10.508527777777777)"
