S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,379,S,,DC,26,,,16.45,7.55,5.1,39.4,58,,12.218504,79.608235,GOOD,,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.608235 12.218504, 79.609489 12.220934)"
2,378,S,,DC,26,379 - 378,304,16.35,7.6,4.9,41.8,58,,12.220934,79.609489,GOOD,24F OPGW Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.609489 12.220934, 79.6103995107114 12.2225579246878)"
3,LILO : 1,T,3W,DC,26,378 - LILO :1,205,15.35,7.25,3.7,47.1,57,,12.22255792,79.61039951,GOOD,NO E/W,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6103995107114 12.2225579246878, 79.6127279195934 12.2219729516655)"
4,2,S,,DC,28,LILO : 1 - 2,262.9631277,,,,,56,,12.22197295,79.61272792,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6127279195934 12.2219729516655, 79.6149550750851 12.2214236855506)"
5,3,T,,DC,28,3-Feb,251.3147271,15,6.75,3.5,43.3,55,0°28'9''RT,12.22142369,79.61495508,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6149550750851 12.2214236855506, 79.6174216177314 12.2207942046225)"
6,4,S,,DC,28,4-Mar,278.7454967,,,,,53,,12.2207942,79.61742162,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6174216177314 12.2207942046225, 79.6199616696685 12.2201741114258)"
7,5,S,,DC,28,5-Apr,286.2424982,,,,,52,,12.22017411,79.61996167,GOOD,Available,LT-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6199616696685 12.2201741114258, 79.6222673635929 12.21957991831)"
8,6,S,,DC,28,6-May,260.8271037,,,,,52,,12.21957992,79.62226736,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6222673635929 12.21957991831, 79.624826 12.218946)"
9,7,S,,DC,28,7-Jun,310.5152412,,,,,50,,12.218946,79.624826,GOOD,Available,,"ROAD, CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.624826 12.218946, 79.6272687613964 12.2183753550052)"
10,8,T,,DC,26,8-Jul,267.494053,15.6,6,4.8,21.2,48,13°39'2''LT,12.21837536,79.62726876,GOOD,Available,LT-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6272687613964 12.2183753550052, 79.6294562704861 12.2183862514793)"
11,9,S,,DC,28,9-Aug,239.5054566,,,,,48,,12.21838625,79.62945627,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6294562704861 12.2183862514793, 79.6318274270743 12.2184251435101)"
12,10,S,,DC,28,10-Sep,259.5189755,,,,,45,,12.21842514,79.63182743,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6318274270743 12.2184251435101, 79.6339597832411 12.2184267360717)"
13,11,S,,DC,28,11-Oct,233.501337,,,,,45,,12.21842674,79.63395978,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6339597832411 12.2184267360717, 79.6367901843041 12.2185130696743)"
14,12,T,,DC,26,12-Nov,309.5965245,15.35,5.75,4.6,20.6,45,11°23'17''RT,12.21851307,79.63679018,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6367901843041 12.2185130696743, 79.638740401715 12.2181881871074)"
15,13,T,,DC,26,13-Dec,216.7055968,11.25,20.85,0.8,21.4,45,39°55'51''RT,12.21818819,79.6387404,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.638740401715 12.2181881871074, 79.6394875645637 12.2173263598233)"
16,14,T,2W,DC,26,13 - 14,126.7815838,12.15,3.25,1.6,21.1,44,20°5'7''LT,12.21732636,79.63948756,GOOD,Available,,RAILWAY,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6394875645637 12.2173263598233, 79.6418950986117 12.2159887757152)"
17,15,S,,DC,28,14 - 15,302.336447,,,,,46,,12.21598878,79.6418951,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6418950986117 12.2159887757152, 79.6427332051098 12.2156403400003)"
18,16,T,,DC,26,15 - 16,100.4970119,13.4,3.9,2.8,17.4,64,19°10'48''LT,12.21564034,79.64273321,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6427332051098 12.2156403400003, 79.6444341447204 12.215531207621)"
19,17,S,,DC,28,16 - 17,186.9574077,,,,,44,,12.21553121,79.64443414,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6444341447204 12.215531207621, 79.6466138586401 12.2152616456151)"
20,18,S,,DC,28,17 - 18,240.5222704,,,,,43,,12.21526165,79.64661386,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6466138586401 12.2152616456151, 79.6496754325926 12.2150777466595)"
21,19,S,,DC,28,18 - 19,335.2231006,,,,,44,,12.21507775,79.64967543,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6496754325926 12.2150777466595, 79.6527268644422 12.2150927502661)"
22,20,T,,DC,26,19 - 20,333.5029975,13.4,4,2.8,19.2,44,11°11'16''RT,12.21509275,79.65272686,GOOD,Available,"LT, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6527268644422 12.2150927502661, 79.6551924850791 12.2146256268024)"
23,21,S,,DC,28,20 - 21,274.6923489,,,,,44,,12.21462563,79.65519249,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6551924850791 12.2146256268024, 79.6562874969094 12.2143777739256)"
24,22,S,,DC,28,21 - 22,123.7519355,,,,,45,,12.21437777,79.6562875,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6562874969094 12.2143777739256, 79.6575015317648 12.2142209485173)"
25,23,S,,DC,28,22 - 23,134.7224239,,,,,49,,12.21422095,79.65750153,GOOD,Available,HT,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6575015317648 12.2142209485173, 79.6596737857908 12.2135896235704)"
26,24,T,,DC,26,23 - 24,247.9439717,13.9,4.95,3,28.2,44,87°7'18''LT,12.21358962,79.65967379,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6596737857908 12.2135896235704, 79.660417009145 12.2156726941466)"
27,25,T,,DC,26,24 - 25,245.6839358,13.75,4.95,2.9,29.7,45,17°39'56''RT,12.21567269,79.66041701,GOOD,Available,"LT, 2HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.660417009145 12.2156726941466, 79.6611749008297 12.2166618425399)"
28,26,T,,DC,26,25 - 26,138.502434,15.15,26.65,0,99.6,44,61°55'5''RT,12.21666184,79.6611749,GOOD,Available,"2LT, HT",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6611749008297 12.2166618425399, 79.6615152060985 12.216609288007)"
29,"Gantry 
( Tindivanam SS )",T,2W,H-POLE,15,26 - Gantry ,38.97873657,,,,,47,,12.21660929,79.66151521,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
