S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Peravurani SS),H-POLE,2W,H-POLE,12,,,,39,,10.30505556,79.17223333,GOOD,,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17223333333334 10.305055555555557, 79.17194444444445 10.305166666666667)"
2,85,T,,DC,26,Gantry - 85,34.59756878,1.99,38.696011,"37°36'52"" L",10.30516667,79.17194444,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17194444444445 10.305166666666667, 79.17016666666667 10.304666666666668)"
3,74,T,,DC,26,85-74,200.8244615,2.16,38.696011,"28°17'32"" L",10.30466667,79.17016667,GOOD,Available,"LT,3 HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17016666666667 10.304666666666668, 79.16852777777778 10.303055555555556)"
4,73,S,,DA,26,74-73,252.8189654,3.45,38.551655,,10.30305556,79.16852778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16852777777778 10.303055555555556, 79.167 10.301527777777778)"
5,72,S,,DA,26,73-72,239.5215613,3.26,38.500042,,10.30152778,79.167,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.167 10.301527777777778, 79.16533333333334 10.299916666666666)"
6,71,S,,DA,26,72-71,254.7568438,2.73,36.230675,,10.29991667,79.16533333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16533333333334 10.299916666666666, 79.16397222222223 10.298694444444445)"
7,70,S,,DA,26,71-70,199.617124,3.12,36.196125,,10.29869444,79.16397222,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16397222222223 10.298694444444445, 79.16230555555556 10.297083333333333)"
8,69,T,,DC,26,70-69,256.1608404,2.66,35.434097,"18°46'29"" L",10.29708333,79.16230556,GOOD,Available,66 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16230555555556 10.297083333333333, 79.16111111111111 10.294694444444444)"
9,68,S,,DA,26,69-68,294.0324021,3.29,33.641121,,10.29469444,79.16111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16111111111111 10.294694444444444, 79.16002777777778 10.292388888888889)"
10,67,S,,DA,26,68-67,281.9999979,2.56,31.919184,,10.29238889,79.16002778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16002777777778 10.292388888888889, 79.1588888888889 10.290083333333333)"
11,66,S,,DA,26,67-66,283.5045332,3.18,30.822037,,10.29008333,79.15888889,GOOD,Available,"LT,3 HT",POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1588888888889 10.290083333333333, 79.15769444444445 10.287611111111111)"
12,65,T,,DB,26,66-65,305.136537,4.67,31.986883,"1°19'14"" L",10.28761111,79.15769444,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15769444444445 10.287611111111111, 79.15675 10.285555555555556)"
13,64,S,,DA,26,65-64,248.1750421,3.09,31.996265,,10.28555556,79.15675,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15675 10.285555555555556, 79.15566666666668 10.283111111111111)"
14,LILO: 63/1,T,4W,DC,26,64-LILO: 63/1,296.2292798,4.17,32.09687,"2°9'39"" R",10.28311111,79.15566667,GOOD,Available,,,PLAIN,LILO to Sethubavachatram,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15566666666668 10.283111111111111, 79.15466666666667 10.281083333333335)"
15,62,S,,DA,26,LILO: 63/1-62,250.0045928,3.26,36.341255,,10.28108333,79.15466667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15466666666667 10.281083333333335, 79.15363888888889 10.278944444444445)"
16,61,S,,DA,26,62-61,261.4630239,2.09,38.814575,,10.27894444,79.15363889,GOOD,Available,LT,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15363888888889 10.278944444444445, 79.15255555555557 10.276722222222222)"
17,60,T,,DB,26,61-60,273.3855789,3.19,40.33168,"9°55'57"" R",10.27672222,79.15255556,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15255555555557 10.276722222222222, 79.15136111111111 10.275055555555557)"
18,59,S,,DA,26,60-59,225.5120613,2.47,39.424004,,10.27505556,79.15136111,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15136111111111 10.275055555555557, 79.15002777777778 10.273277777777778)"
19,58,S,,DA,26,59-58,243.1597946,1.83,40.543289,,10.27327778,79.15002778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15002777777778 10.273277777777778, 79.14872222222223 10.271500000000001)"
20,LILO :  57/1,T,3W,DB,26,58- 57/1,244.8094338,1.67,37.711792,"7°6'57"" L",10.2715,79.14872222,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14872222222223 10.271500000000001, 79.1481388888889 10.270444444444445)"
21,56,S,,DA,26, 57/1-56,133.5385193,2.23,36.86441,,10.27044444,79.14813889,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1481388888889 10.270444444444445, 79.147 10.268472222222224)"
22,55,S,,DA,26,56-55,249.8610395,2.12,35.195938,,10.26847222,79.147,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.147 10.268472222222224, 79.14586111111112 10.266472222222223)"
23,54,T,,DC,26,55-54,254.1048752,1.16,34.461521,"25°20'14"" L",10.26647222,79.14586111,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14586111111112 10.266472222222223, 79.14569444444444 10.263916666666667)"
24,53,S,,DA,26,54-53,284.3804826,2.34,33.685104,,10.26391667,79.14569444,GOOD,Available,"LT,HT,66KV",Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14569444444444 10.263916666666667, 79.14558333333333 10.261305555555555)"
25,52,T,,DC,26,53-52,289.191626,1.91,32.089291,"51°36'13"" L",10.26130556,79.14558333,GOOD,Available,HT,"ROAD ,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14558333333333 10.261305555555555, 79.14627777777778 10.260722222222222)"
26,51,T,,DC,26,52-51,99.40589192,0.92,32.067959,"60°32'4"" R",10.26072222,79.14627778,GOOD,Available,,Rail Way,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14627777777778 10.260722222222222, 79.14580555555557 10.258416666666667)"
27,50,T,2W,DB,26,51-50,260.1567929,1.36,31.883133,"15°47'41"" R",10.25841667,79.14580556,GOOD,Available,HT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14580555555557 10.258416666666667, 79.14469444444445 10.25625)"
28,49,S,,DA,26,50-49,266.8305063,2.43,33.662346,,10.25625,79.14469444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14469444444445 10.25625, 79.14352777777779 10.254)"
29,48,S,,DA,26,49-48,280.6575089,1.32,32.521622,,10.254,79.14352778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14352777777779 10.254, 79.14233333333334 10.25175)"
30,47,S,,DA,26,48-47,282.0240093,2.01,33.442146,,10.25175,79.14233333,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14233333333334 10.25175, 79.14119444444445 10.249833333333333)"
31,46,S,,DA,26,47-46,245.0220135,2.19,34.380077,,10.24983333,79.14119444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14119444444445 10.249833333333333, 79.14008333333334 10.247527777777776)"
32,45,T,,DB,26,46-45,284.3114264,0.91,33.562489,"2°3'26"" L",10.24752778,79.14008333,GOOD,Available,"HT,LT","ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14008333333334 10.247527777777776, 79.13908333333335 10.245194444444444)"
