Tower No,Tower Type,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
THIRUKOILUR GANTRY,GANTRY,T,2W,20,,,,,115.549004,,11.95921921,79.18600165,GOOD,GOOD,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1860016490135 11.959219208064185, 79.18559917102793 11.959295338870335)"
143 LILO,T,T,,26,GANTRY -143,,12,,111,,11.95929534,79.18559917,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18559917102793 11.959295338870335, 79.1855766492616 11.959184209514211)"
1,SD,T,,28,143-1,,44,,108.173981," 67d4'12""LT",11.95918421,79.18557665,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1855766492616 11.959184209514211, 79.1846966492407 11.95659420263841)"
2,SA,S,,26,2-Jan,,302,5.45,113.90197,,11.9565942,79.18469665,GOOD,GOOD,"HT-3,LT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1846966492407 11.95659420263841, 79.18430064972651 11.95537421074441)"
3,SA,S,,26,3-Feb,,142,,114.444435,,11.95537421,79.18430065,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18430064972651 11.95537421074441, 79.1837366499236 11.953625204767762)"
4,SA,S,,26,4-Mar,,203,,110.52549,,11.9536252,79.18373665,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1837366499236 11.953625204767762, 79.18293465008259 11.951248203992174)"
5,SC,T,,26,5-Apr,,277,1.03,116.319336,"25d7'38""RT",11.9512482,79.18293465,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18293465008259 11.951248203992174, 79.18106965167162 11.949284203728539)"
6,SA,S,,26,6-May,,298,2.1,114.416664,,11.9492842,79.18106965,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18106965167162 11.949284203728539, 79.17927065184568 11.947392203777556)"
7,SA,S,,26,7-Jun,,286.735,,114.768562,,11.9473922,79.17927065,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17927065184568 11.947392203777556, 79.17745165309357 11.945514212207216)"
8 LILO,SB,T,2W,26,8-Jul,,287.106,,117.009506,,11.94551421,79.17745165,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17745165309357 11.945514212207216, 79.17556765379288 11.943492211501269)"
8A,SA,S,,26,8-8A,,303.58,4.36,116.94207,,11.94349221,79.17556765,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17556765379288 11.943492211501269, 79.17383265463305 11.941651212441117)"
9,SA,S,,26,8A-9,,277.857,,117.477402,,11.94165121,79.17383265,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17383265463305 11.941651212441117, 79.17232365559744 11.940017208028689)"
10,SA,S,,26,10-Sep,,244.338,7.43,113.883148,,11.94001721,79.17232366,GOOD,GOOD,LT-3,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17232365559744 11.940017208028689, 79.17076665620688 11.938336207262136)"
11,SA,S,,26,11-Oct,,251.704,8.14,117.797585,,11.93833621,79.17076666,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17076665620688 11.938336207262136, 79.169081657369 11.936517206588643)"
12,SA,S,,26,12-Nov,,272.381,,114.782768,,11.93651721,79.16908166,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.169081657369 11.936517206588643, 79.16738765821027 11.93471921040582)"
13,SB,T,,24,13-Dec,,271.336,7.12,119.422386,"2d50'36""RT",11.93471921,79.16738766,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16738765821027 11.93471921040582, 79.16564865839409 11.933030215059464)"
14,SB,T,,24,13-14,,266.092,3.47,119.96534,"10d0'45""RT",11.93303022,79.16564866,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16564865839409 11.933030215059464, 79.16366265947445 11.931658211871182)"
15,SA,S,,26,14-15,,264.289,6.89,124.229271,,11.93165821,79.16366266,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16366265947445 11.931658211871182, 79.16149866128264 11.930168212396232)"
16,SA,S,,26,15-16,,287.663,2.47,123.531616,,11.93016821,79.16149866,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16149866128264 11.930168212396232, 79.1590676622269 11.928524215742113)"
17,SA,S,,26,16-17,,321.276,0.12,124.544128,,11.92852422,79.15906766,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1590676622269 11.928524215742113, 79.15708066269124 11.927190214039301)"
18,SA,S,,26,17-18,,261.991,4.3,130.687546,,11.92719021,79.15708066,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15708066269124 11.927190214039301, 79.15534766415352 11.926018210615773)"
19,SA,S,,26,18-19,,229.034,,129.498352,,11.92601821,79.15534766,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15534766415352 11.926018210615773, 79.15383766495367 11.924984215040755)"
20,SA,S,,26,19-20,,200.369,8.92,119.113792,,11.92498422,79.15383766,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15383766495367 11.924984215040755, 79.15168766592139 11.923548209652937)"
21,SC,T,2W,26,20-21,,283.024,,122.421539,"19d53'4""LT",11.92354821,79.15168767,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15168766592139 11.923548209652937, 79.15052866607184 11.921963211837895)"
22,SA,S,,26,21-22,,216.083,1.34,124.078682,,11.92196321,79.15052867,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15052866607184 11.921963211837895, 79.14948766721723 11.920495211167895)"
23,SA,S,,26,22-23,,198.088,6.13,118.163376,,11.92049521,79.14948767,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14948766721723 11.920495211167895, 79.14822066744968 11.918765215539723)"
24,SC,T,,26,23-24,,235.978,7.42,112.306938," 25d26'49""RT",11.91876522,79.14822067,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14822066744968 11.918765215539723, 79.14603266819582 11.917565218224853)"
25,SA,S,,26,24-25,,272.851,9.71,120.015778,,11.91756522,79.14603267,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14603266819582 11.917565218224853, 79.14385367002188 11.91636421730625)"
26,SA,S,,26,25-26,,272.05,,119.905495,,11.91636422,79.14385367,GOOD,GOOD,LT-1,METAL RD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14385367002188 11.91636421730625, 79.14156367072391 11.915126214195327)"
27,SB,T,,24,26-27,,284.614,5.71,117.878693," 11d41'51""RT",11.91512621,79.14156367,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14156367072391 11.915126214195327, 79.13909267228243 11.91437021836736)"
