,Tower No, Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,KGTPS GANTRY,T,2W,20,,,,31,,11.03385,79.58405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58405 11.03385, 79.58361 11.03376)"
2,35,T,,28,Gantry-35,49.0957668,1.87,27,"35⁰41'14"" LT",11.03376,79.58361,GOOD,GOOD,11 KV,"TAAR, SS BOUNDARY",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58361 11.03376, 79.58239 11.03245)"
3,34,T,,28,35-34,196.8825496,1.23,26,"82⁰16'10"" RT",11.03245,79.58239,GOOD,GOOD,"LT, 11 KV-4","CANAL, TAAR",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58239 11.03245, 79.58088 11.03349)"
4,33,S,,26,34-33,201.1285578,3.45,26,,11.03349,79.58088,GOOD,GOOD,110 KV S/LINE,"CANAL, SAND",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58088 11.03349, 79.57898 11.03485)"
5,32,T,,24,33-32,256.3683235,5.08,26,"7⁰36'3"" LT",11.03485,79.57898,GOOD,GOOD,LT -3 110 KV DC,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57898 11.03485, 79.57667 11.03608)"
6,TAPPING 31,T,,24,32-31,286.7273466,1.93,27,"9⁰38'57"" RT",11.03608,79.57667,GOOD,GOOD,110 KV DC,"CANAL, TAAR",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57667 11.03608, 79.57584 11.03672)"
7,TAPPING 30,T,,26,31-30,115.0439348,2.86,27,"18⁰37'57"" LT",11.03672,79.57584,GOOD,GOOD,"LT, 110 KV DC",,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57584 11.03672, 79.57385 11.03741)"
8,29,S,,26,30-29,230.4375373,3.17,26,,11.03741,79.57385,GOOD,GOOD,110 KV DC,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57385 11.03741, 79.57183 11.03813)"
9,28,S,,26,29-28,234.6379626,3.56,26,,11.03813,79.57183,GOOD,GOOD,110 KV DC,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57183 11.03813, 79.56998 11.03875)"
10,TAPPING 27,T,3W,28,28-27,213.4510834,1.78,23,"66⁰39'6"" LT",11.03875,79.56998,GOOD,GOOD,110 KV DC,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56998 11.03875, 79.56966 11.0384)"
