S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,395,S,DC,26,,,16.15,6.4,5.3,17.8,58,,12.190495,79.576101,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.576101 12.190495, 79.578481 12.192049)"
2,394,S,DC,26,395 -394,311,16.35,6.45,5.6,11.4,59,,12.192049,79.578481,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.578481 12.192049, 79.579775892198 12.1929197665303)"
3,LILO : 1,T,DC,26,394 - LILO :1,173,13.15,3.45,2.7,12.7,61,,12.1929197665303,79.579775892198,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.579775892198 12.1929197665303, 79.5781783014535 12.194367069751)"
4,2,T,DC,26,LILO : 1 - 2,237.82286967820244,12.95,3.75,2.4,20.8,62,5°40'29''RT,12.194367069751,79.5781783014535,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5781783014535 12.194367069751, 79.5764067862182 12.195677915588)"
5,3,S,DC,28,2 - 3,242.70804785702026,,,,,62,,12.195677915588,79.5764067862182,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5764067862182 12.195677915588, 79.5748382806777 12.1968269906938)"
6,4,T,DC,26,3 - 4,214.30026416474348,15.2,5.3,4.6,10.6,63,1°52'60''RT,12.1968269906938,79.5748382806777,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5748382806777 12.1968269906938, 79.5725138112902 12.1984151937067)"
7,5,T,DC,26,4 - 5,309.4528109780759,13.5,4.2,2.9,21.3,62,8°26'31''LT,12.1984151937067,79.5725138112902,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5725138112902 12.1984151937067, 79.5708236005157 12.1999795082956)"
8,6,T,DC,26,5 - 6,254.0165644258272,13.5,4.15,2.9,20.4,63,20°32'21''LT,12.1999795082956,79.5708236005157,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5708236005157 12.1999795082956, 79.5699039380997 12.2018099483102)"
9,7,S,DC,28,6 - 7,227.34920764985102,,,,,63,,12.2018099483102,79.5699039380997,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5699039380997 12.2018099483102, 79.5689007919281 12.203775672242)"
10,8,S,DC,28,7 - 8,244.7936496493021,,,,,63,,12.203775672242,79.5689007919281,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5689007919281 12.203775672242, 79.5678792893886 12.2057501971721)"
11,9,S,DC,28,8 - 9,246.5632443735062,,,,,66,,12.2057501971721,79.5678792893886,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5678792893886 12.2057501971721, 79.5668742991983 12.2078243829309)"
12,10,T,DC,26,9 - 10,255.6585926694012,12.75,3.25,2.3,15.4,64,15°23'52''RT,12.2078243829309,79.5668742991983,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5668742991983 12.2078243829309, 79.5656826440244 12.2091832570731)"
13,11,S,DC,28,10 - 11,200.00642981784108,,,,,65,,12.2091832570731,79.5656826440244,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5656826440244 12.2091832570731, 79.5643251109868 12.2108335699886)"
14,12,S,DC,28,11 - 12,236.32129388817648,,,,,65,,12.2108335699886,79.5643251109868,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5643251109868 12.2108335699886, 79.5628424361348 12.2126401215791)"
15,13,S,DC,28,12 - 13,258.3207538821358,,,,,68,,12.2126401215791,79.5628424361348,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5628424361348 12.2126401215791, 79.5612424984574 12.2144760098308)"
16,14,T,DC,26,13 - 14,268.97608088223853,18.75,8.9,7.7,17.6,65,3°41'56''LT,12.2144760098308,79.5612424984574,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5612424984574 12.2144760098308, 79.5600113645195 12.2160878498107)"
17,15,S,DC,28,14 - 15,224.50491691522973,,,,,65,,12.2160878498107,79.5600113645195,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5600113645195 12.2160878498107, 79.5585025381296 12.2180689126253)"
18,16,T,DC,26,15 - 16,275.3057462639837,18.7,8.9,7.6,20.3,66,1°21'38''LT,12.2180689126253,79.5585025381296,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5585025381296 12.2180689126253, 79.556909808889 12.2202664799988)"
19,17,S,DC,28,16 - 17,300.0282960140391,,,,,66,,12.2202664799988,79.556909808889,GOOD,Available,LT -3,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.556909808889 12.2202664799988, 79.5552523713558 12.2225179430097)"
20,18,T,DC,26,17 - 18,308.9773227229902,14.7,5.8,3.7,32.3,67,17°59'37''LT,12.2225179430097,79.5552523713558,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5552523713558 12.2225179430097, 79.5547010935842 12.224178481847)"
21,19,S,DC,28,18 - 19,194.72345315310145,,,,,71,,12.224178481847,79.5547010935842,GOOD,Available,LT -1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5547010935842 12.224178481847, 79.5538328960537 12.2266510594636)"
22,20,S,DC,28,19 - 20,290.853765435746,,,,,76,,12.2266510594636,79.5538328960537,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5538328960537 12.2266510594636, 79.5531514473259 12.2285731136798)"
23,21,S,DC,28,20 - 21,226.66248269298984,,,,,78,,12.2285731136798,79.5531514473259,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5531514473259 12.2285731136798, 79.5524509716778 12.2306125983595)"
